BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59463,59753,327,37,58671
"Baldwin City Public Library",26477,26609,139,7,26231
"Basehor Community Library",64756,65194,449,11,62829
"Bern Community Library",12562,12604,43,1,12322
"Bonner Springs City Library",60322,60828,510,4,58781
"Burlingame Community Library",13944,14030,89,3,13872
"Carbondale City Library",10628,10676,51,3,10587
"Centralia Community Library",8245,8281,40,4,8202
"Corning City Library",5129,5128,0,1,5057
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2468,2483,17,2,2433
"Doniphan County Library - Highland",4562,4633,71,0,4505
"Doniphan County Library - Troy",11484,11595,117,6,11345
"Doniphan County Library - Wathena",7964,8076,113,1,7914
"Effingham Community Library",8691,8753,62,0,8652
"Eudora Community Library",16532,16678,148,2,16439
"Everest, Barnes Reading Room",7765,7782,17,0,7698
"Hiawatha, Morrill Public Library",31064,31173,118,9,30503
"Highland Community College",4282,4293,13,2,4028
"Holton, Beck-Bookman Library",25741,25783,54,12,25186
"Horton Public Library",14208,14253,46,1,13692
"Lansing Community Library",23492,23675,195,12,23277
"Leavenworth Public Library",89014,89670,730,74,83510
"Linwood Community Library",12272,12428,159,3,12236
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13948,13989,53,12,13753
"McLouth Public Library",4021,4212,192,1,4182
"Meriden-Ozawkie Public Library",16335,16444,113,4,16297
"Northeast Kansas Library System",815,827,12,0,739
"Nortonville Public Library",17082,17204,124,2,16764
"Osage City Library",22345,22464,123,4,22356
"Osawatomie Public Library",17493,17574,89,8,17429
"Oskaloosa Public Library",10796,10816,21,1,10595
"Ottawa Library",70827,71219,410,18,68979
"Overbrook Public Library",21921,22001,84,4,21659
"Paola Free Library",29778,30005,230,3,28876
"Perry-Lecompton Community Library",12667,12754,87,0,12735
"Pomona Community Library",7558,7647,97,8,7494
"Prairie Hills Schools - Axtell Public School",12225,12432,212,5,10963
"Prairie Hills Schools - Sabetha Elementary School",16469,16477,12,4,13254
"Prairie Hills Schools - Sabetha High School",3848,3850,2,0,3653
"Prairie Hills Schools - Sabetha Middle School",4753,4753,0,0,4207
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13526,13526,0,0,9620
"Richmond Public Library",8110,8112,4,2,8070
"Rossville Community Library",15977,16022,81,36,15934
"Sabetha, Mary Cotton Library",30138,30274,143,7,29643
"Seneca Free Library",22511,22584,77,4,22487
"Silver Lake Library",11622,11681,63,4,10970
"Tonganoxie Public Library",26427,26680,268,15,26357
"Valley Falls, Delaware Township Library",10717,10735,19,1,10665
"Wellsville City Library",23564,23623,65,6,22813
"Wetmore Public Library",11254,11371,117,0,11285
"Williamsburg Community Library",14448,14513,69,4,14383
"Winchester Public Library",10783,10869,91,5,10681
