Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",2824,0,79,7,41,127,0,608,2216
"Baldwin City Public Library",858,0,34,0,29,63,3,278,580
"Basehor Community Library",3008,0,197,4,49,250,1,864,2144
"Bern Community Library",54,0,0,0,0,0,0,50,4
"Bonner Springs City Library",2770,0,276,5,71,352,0,1424,1346
"Burlingame Community Library",414,0,9,2,10,21,7,296,118
"Carbondale City Library",172,0,6,0,1,7,0,86,86
"Centralia Community Library",94,0,5,0,0,5,0,72,22
"Corning City Library",14,0,2,0,0,2,0,14,0
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",32,0,1,1,0,2,0,32,0
"Doniphan County Library - Highland",312,0,6,0,1,7,1,226,86
"Doniphan County Library - Troy",200,0,10,2,3,15,0,156,44
"Doniphan County Library - Wathena",176,0,4,1,5,10,0,144,32
"Effingham Community Library",104,0,2,1,2,5,0,92,12
"Eudora Community Library",1092,0,43,5,35,83,1,576,516
"Everest, Barnes Reading Room",32,0,6,0,0,6,0,10,22
"Hiawatha, Morrill Public Library",1104,0,34,11,48,93,3,670,434
"Highland Community College",3,0,0,0,0,0,0,2,1
"Holton, Beck-Bookman Library",984,0,35,3,37,75,1,612,372
"Horton Public Library",56,0,8,0,1,9,0,36,20
"Lansing Community Library",1490,0,109,2,52,163,17,384,1106
"Leavenworth Public Library",3812,0,176,1,69,246,4,966,2846
"Linwood Community Library",288,0,17,2,1,20,0,124,164
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",340,0,2,2,9,13,1,126,214
"McLouth Public Library",76,0,5,0,0,5,0,44,32
"Meriden-Ozawkie Public Library",1076,0,2,5,20,27,0,462,614
"Northeast Kansas Library System",40,0,1,0,1,2,0,22,18
"Nortonville Public Library",52,0,2,0,1,3,0,38,14
"Osage City Library",894,0,94,3,42,139,27,668,226
"Osawatomie Public Library",960,0,17,3,44,64,15,676,284
"Oskaloosa Public Library",146,0,18,1,4,23,0,109,37
"Ottawa Library",2450,0,178,8,60,246,0,1112,1338
"Overbrook Public Library",342,0,7,0,3,10,1,172,170
"Paola Free Library",1144,0,98,1,23,122,6,682,462
"Perry-Lecompton Community Library",22,0,0,0,2,2,0,14,8
"Pomona Community Library",23,0,12,1,5,18,0,34,-11
"Prairie Hills Schools - Axtell Public School",0,0,4,5,0,9,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,0,5,1,1,7,0,0,0
"Prairie Hills Schools - Sabetha High School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Sabetha Middle School",0,0,0,0,0,0,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,5,0,0,5,0,0,0
"Richmond Public Library",164,0,0,0,2,2,0,98,66
"Rossville Community Library",658,0,5,0,5,10,0,502,156
"Sabetha, Mary Cotton Library",1632,0,1,0,18,19,5,498,1134
"Seneca Free Library",540,0,6,2,37,45,17,214,326
"Silver Lake Library",494,0,13,7,14,34,0,286,208
"Tonganoxie Public Library",1472,0,40,5,39,84,13,748,724
"Valley Falls, Delaware Township Library",478,0,13,0,1,14,0,256,222
"Wellsville City Library",628,0,29,0,13,42,0,342,286
"Wetmore Public Library",226,0,1,1,0,2,0,46,180
"Williamsburg Community Library",58,0,1,0,0,1,0,52,6
"Winchester Public Library",466,0,3,0,5,8,0,174,292
