branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-05-01,2023-05-02,2023-05-03,2023-05-04,2023-05-05,2023-05-06,2023-05-07,2023-05-08,2023-05-09,2023-05-10,2023-05-11,2023-05-12,2023-05-13,2023-05-14,2023-05-15,2023-05-16,2023-05-17,2023-05-18,2023-05-19,2023-05-20,2023-05-21,2023-05-22,2023-05-23,2023-05-24,2023-05-25,2023-05-26,2023-05-27,2023-05-28,2023-05-29,2023-05-30,2023-05-31,"2023-05-01 - 2023-05-30"
" DAY",Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,-
"Atchison Public Library",72,81,54,59,52,23,6,67,60,54,54,43,23,4,57,62,55,64,45,32,6,76,79,54,62,47,35,2,5,103,59,585
"Baldwin City Public Library",35,25,41,34,30,23,4,37,29,30,38,35,15,3,53,39,35,40,42,19,4,46,46,42,41,32,26,2,2,47,58,381
"Basehor Community Library",80,78,78,69,55,55,39,64,80,99,80,56,42,28,78,89,70,84,68,66,26,90,80,88,81,97,54,12,10,162,139,1004
"Bern Community Library",,,5,,1,1,,,,6,1,,3,,,1,4,1,1,3,,2,,5,2,2,3,,,,6,15
"Bonner Springs City Library",52,67,48,51,53,43,23,62,60,57,52,52,28,19,67,66,61,44,55,41,24,56,56,52,46,44,42,5,11,123,88,702
"Burlingame Community Library",5,8,14,5,6,5,,8,5,12,6,8,4,1,10,4,10,12,4,6,2,9,4,9,6,6,5,1,,6,8,85
"Carbondale City Library",11,10,8,9,10,9,,12,13,19,6,6,8,1,7,11,8,13,9,5,,4,10,9,11,17,,,2,10,7,115
"Centralia Community Library",5,,5,2,1,3,,7,,9,3,15,2,,5,,5,2,6,5,,13,,6,6,11,2,,1,,9,53
