branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",585,6505,51,161,2
"Baldwin City Public Library",381,3964,54,107,1
"Basehor Community Library",1005,6466,52,254,3
"Bern Community Library",15,177,0,3,0
"Bonner Springs City Library",702,8013,38,158,7
"Burlingame Community Library",85,651,8,18,0
"Carbondale City Library",115,765,10,20,1
"Centralia Community Library",53,241,2,21,1
"Corning City Library",6,146,0,9,0
"Digital Content",0,56,0,0,0
"Doniphan County Library - Elwood",9,406,0,3,0
"Doniphan County Library - Highland",58,376,4,14,3
"Doniphan County Library - Troy",116,941,10,31,0
"Doniphan County Library - Wathena",51,556,2,10,0
"Effingham Community Library",61,341,10,12,0
"Eudora Community Library",258,1865,32,64,2
"Everest, Barnes Reading Room",25,149,2,3,0
"Hiawatha, Morrill Public Library",314,2556,30,56,0
"Highland Community College",9,9636,0,5,2
"Holton, Beck-Bookman Library",389,4038,36,84,0
"Horton Public Library",34,1196,4,13,1
"Lansing Community Library",359,3195,33,103,5
"Leavenworth Public Library",1112,14554,156,306,13
"Linwood Community Library",93,636,5,24,1
"Louisburg Library",0,630,10,2,0
"Lyndon Carnegie Library",85,976,7,16,0
"McLouth Public Library",40,594,2,11,0
"Meriden-Ozawkie Public Library",244,1741,38,74,2
"Northeast Kansas Library System",11,345,0,0,0
"Nortonville Public Library",57,515,7,11,0
"Osage City Library",373,2032,49,73,5
"Osawatomie Public Library",225,2732,17,33,2
"Oskaloosa Public Library",152,1206,19,33,0
"Ottawa Library",871,8864,64,226,4
"Overbrook Public Library",157,1165,5,33,0
"Paola Free Library",593,5249,65,111,9
"Perry-Lecompton Community Library",19,251,3,6,0
"Pomona Community Library",26,398,4,3,0
"Prairie Hills Schools - Axtell Public School",49,258,1,2,3
"Prairie Hills Schools - Sabetha Elementary School",217,545,1,3,45
"Prairie Hills Schools - Sabetha High School",9,297,0,0,9
"Prairie Hills Schools - Sabetha Middle School",1,237,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,213,0,5,0
"Richmond Public Library",52,241,1,13,0
"Rossville Community Library",245,1346,12,47,1
"Sabetha, Mary Cotton Library",331,1988,8,81,0
"Seneca Free Library",330,1660,20,107,0
"Silver Lake Library",195,1085,11,40,1
"Tonganoxie Public Library",682,5004,75,216,6
"Valley Falls, Delaware Township Library",81,599,4,10,0
"Wellsville City Library",233,1198,14,53,2
"Wetmore Public Library",50,321,1,27,0
"Williamsburg Community Library",68,668,12,6,0
"Winchester Public Library",71,751,8,14,0
