Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1613,1219,394,"We borrowerd more than we lent",,"1.32 : 1"
"Baldwin City Public Library",476,463,13,"We borrowerd more than we lent",,"1.03 : 1"
"Basehor Community Library",1279,1322,-43,,"We lent more than we borrowed","0.97 : 1"
"Bern Community Library",132,119,13,"We borrowerd more than we lent",,"1.11 : 1"
"Bonner Springs City Library",1218,1544,-326,,"We lent more than we borrowed","0.79 : 1"
"Burlingame Community Library",195,188,7,"We borrowerd more than we lent",,"1.04 : 1"
"Carbondale City Library",122,190,-68,,"We lent more than we borrowed","0.64 : 1"
"Centralia Community Library",41,71,-30,,"We lent more than we borrowed","0.58 : 1"
"Corning City Library",5,31,-26,,"We lent more than we borrowed","0.16 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",8,10,-2,,"We lent more than we borrowed","0.80 : 1"
"Doniphan County Library - Highland",171,73,98,"We borrowerd more than we lent",,"2.34 : 1"
"Doniphan County Library - Troy",111,273,-162,,"We lent more than we borrowed","0.41 : 1"
"Doniphan County Library - Wathena",77,109,-32,,"We lent more than we borrowed","0.71 : 1"
"Effingham Community Library",61,165,-104,,"We lent more than we borrowed","0.37 : 1"
"Eudora Community Library",555,454,101,"We borrowerd more than we lent",,"1.22 : 1"
"Everest, Barnes Reading Room",89,89,0,,,"1.00 : 1"
"Hiawatha, Morrill Public Library",707,419,288,"We borrowerd more than we lent",,"1.69 : 1"
"Highland Community College",3,74,-71,,"We lent more than we borrowed","0.04 : 1"
"Holton, Beck-Bookman Library",496,420,76,"We borrowerd more than we lent",,"1.18 : 1"
"Horton Public Library",32,43,-11,,"We lent more than we borrowed","0.74 : 1"
"Lansing Community Library",763,519,244,"We borrowerd more than we lent",,"1.47 : 1"
"Leavenworth Public Library",1907,1256,651,"We borrowerd more than we lent",,"1.52 : 1"
"Linwood Community Library",176,327,-151,,"We lent more than we borrowed","0.54 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",209,211,-2,,"We lent more than we borrowed","0.99 : 1"
"McLouth Public Library",53,62,-9,,"We lent more than we borrowed","0.85 : 1"
"Meriden-Ozawkie Public Library",449,445,4,"We borrowerd more than we lent",,"1.01 : 1"
"Northeast Kansas Library System",18,50,-32,,"We lent more than we borrowed","0.36 : 1"
"Nortonville Public Library",61,299,-238,,"We lent more than we borrowed","0.20 : 1"
"Osage City Library",440,572,-132,,"We lent more than we borrowed","0.77 : 1"
"Osawatomie Public Library",363,497,-134,,"We lent more than we borrowed","0.73 : 1"
"Oskaloosa Public Library",171,102,69,"We borrowerd more than we lent",,"1.68 : 1"
"Ottawa Library",880,1019,-139,,"We lent more than we borrowed","0.86 : 1"
"Overbrook Public Library",241,421,-180,,"We lent more than we borrowed","0.57 : 1"
"Paola Free Library",467,359,108,"We borrowerd more than we lent",,"1.30 : 1"
"Perry-Lecompton Community Library",11,166,-155,,"We lent more than we borrowed","0.07 : 1"
"Prairie Hills Schools - Axtell Public School",1,48,-47,,"We lent more than we borrowed","0.02 : 1"
"Prairie Hills Schools - Sabetha Elementary School",15,73,-58,,"We lent more than we borrowed","0.21 : 1"
"Prairie Hills Schools - Sabetha High School",3,20,-17,,"We lent more than we borrowed","0.15 : 1"
"Prairie Hills Schools - Sabetha Middle School",0,1,-1,,"We lent more than we borrowed","0.00 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",51,68,-17,,"We lent more than we borrowed","0.75 : 1"
"Richmond Public Library",77,153,-76,,"We lent more than we borrowed","0.50 : 1"
"Rossville Community Library",401,562,-161,,"We lent more than we borrowed","0.71 : 1"
"Sabetha, Mary Cotton Library",959,538,421,"We borrowerd more than we lent",,"1.78 : 1"
"Seneca Free Library",231,676,-445,,"We lent more than we borrowed","0.34 : 1"
"Silver Lake Library",311,178,133,"We borrowerd more than we lent",,"1.75 : 1"
"Tonganoxie Public Library",815,533,282,"We borrowerd more than we lent",,"1.53 : 1"
"Valley Falls, Delaware Township Library",293,66,227,"We borrowerd more than we lent",,"4.44 : 1"
"Wellsville City Library",475,507,-32,,"We lent more than we borrowed","0.94 : 1"
"Wetmore Public Library",136,238,-102,,"We lent more than we borrowed","0.57 : 1"
"Williamsburg Community Library",22,243,-221,,"We lent more than we borrowed","0.09 : 1"
"Winchester Public Library",278,183,95,"We borrowerd more than we lent",,"1.52 : 1"
