branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2023-05-01,Monday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-05-01,Monday,"8:00 - 8:59",0,2,0,2,0,1,1
"Atchison Public Library",2023-05-01,Monday,"9:00 - 9:59",19,7,180,206,6,2,8
"Atchison Public Library",2023-05-01,Monday,"10:00 - 10:59",13,4,46,63,5,3,7
"Atchison Public Library",2023-05-01,Monday,"11:00 - 11:59",18,2,76,96,5,2,5
"Atchison Public Library",2023-05-01,Monday,"12:00 - 12:59",13,3,41,57,2,2,4
"Atchison Public Library",2023-05-01,Monday,"13:00 - 13:59",27,6,40,73,8,2,9
"Atchison Public Library",2023-05-01,Monday,"14:00 - 14:59",3,3,0,6,1,1,2
"Atchison Public Library",2023-05-01,Monday,"15:00 - 15:59",17,1,31,49,6,1,7
"Atchison Public Library",2023-05-01,Monday,"16:00 - 16:59",49,7,13,69,12,2,13
"Atchison Public Library",2023-05-01,Monday,"17:00 - 17:59",18,0,57,75,8,0,8
"Atchison Public Library",2023-05-01,Monday,"18:00 - 18:59",12,7,17,36,3,3,5
"Atchison Public Library",2023-05-01,Monday,"19:00 - 19:59",1,1,13,15,1,1,2
"Atchison Public Library",2023-05-01,Monday,"20:00 - 20:59",0,13,1,14,0,2,2
"Atchison Public Library",2023-05-01,Monday,"22:00 - 22:59",0,4,0,4,0,1,1
"Atchison Public Library",2023-05-02,Tuesday,"7:00 - 7:59",0,6,0,6,0,1,1
"Atchison Public Library",2023-05-02,Tuesday,"8:00 - 8:59",0,0,5,5,0,0,
"Atchison Public Library",2023-05-02,Tuesday,"9:00 - 9:59",14,5,33,52,3,5,6
"Atchison Public Library",2023-05-02,Tuesday,"10:00 - 10:59",20,2,207,229,6,1,7
"Atchison Public Library",2023-05-02,Tuesday,"11:00 - 11:59",53,10,34,97,8,1,8
"Atchison Public Library",2023-05-02,Tuesday,"12:00 - 12:59",45,0,35,80,13,0,13
"Atchison Public Library",2023-05-02,Tuesday,"13:00 - 13:59",30,7,52,89,12,4,13
