branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",958,1103
"Baldwin City Public Library",304,335
"Basehor Community Library",1038,861
"Bern Community Library",73,24
"Bonner Springs City Library",1014,753
"Burlingame Community Library",142,150
"Carbondale City Library",202,84
"Centralia Community Library",54,31
"Corning City Library",17,7
"Digital Content",0,0
"Doniphan County Library - Elwood",7,27
"Doniphan County Library - Highland",139,158
"Doniphan County Library - Troy",258,89
"Doniphan County Library - Wathena",154,71
"Effingham Community Library",136,43
"Eudora Community Library",319,413
"Everest, Barnes Reading Room",81,40
"Hiawatha, Morrill Public Library",320,484
"Highland Community College",46,3
"Holton, Beck-Bookman Library",326,407
"Horton Public Library",18,25
"Lansing Community Library",338,521
"Leavenworth Public Library",911,1229
"Linwood Community Library",272,134
"Louisburg Library",0,0
"Lyndon Carnegie Library",187,166
"McLouth Public Library",38,33
"Meriden-Ozawkie Public Library",374,331
"Northeast Kansas Library System",34,16
"Nortonville Public Library",214,32
"Osage City Library",464,369
"Osawatomie Public Library",398,264
"Oskaloosa Public Library",76,140
"Ottawa Library",759,681
"Overbrook Public Library",330,165
"Paola Free Library",281,372
"Perry-Lecompton Community Library",131,9
"Pomona Community Library",53,40
"Prairie Hills Schools - Axtell Public School",18,3
"Prairie Hills Schools - Sabetha Elementary School",31,19
"Prairie Hills Schools - Sabetha High School",8,1
"Prairie Hills Schools - Sabetha Middle School",0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,5
"Richmond Public Library",109,49
"Rossville Community Library",488,285
"Sabetha, Mary Cotton Library",412,689
"Seneca Free Library",547,190
"Silver Lake Library",152,215
"Tonganoxie Public Library",422,604
"Valley Falls, Delaware Township Library",84,219
"Wellsville City Library",445,269
"Wetmore Public Library",186,109
"Williamsburg Community Library",168,26
"Winchester Public Library",191,227
