branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6557,5045,1512,11960,3038,3519
"Baldwin City Public Library",3377,2733,644,3973,1344,2033
"Basehor Community Library",10879,8268,2611,17790,3918,6961
"Bern Community Library",253,153,100,389,127,126
"Bonner Springs City Library",6642,5257,1385,13388,2870,3772
"Burlingame Community Library",706,551,155,1097,384,322
"Carbondale City Library",794,686,108,1018,504,290
"Centralia Community Library",385,331,54,501,209,176
"Corning City Library",25,19,6,81,17,8
"Digital Content",0,0,0,1,0,0
"Doniphan County Library - Elwood",53,52,1,210,42,11
"Doniphan County Library - Highland",432,398,34,836,306,126
"Doniphan County Library - Troy",646,545,101,2451,331,315
"Doniphan County Library - Wathena",420,294,126,664,207,213
"Effingham Community Library",486,387,99,655,173,313
"Eudora Community Library",2568,2061,507,3437,835,1733
"Everest, Barnes Reading Room",198,141,57,372,62,136
"Hiawatha, Morrill Public Library",2515,2130,385,3473,1109,1406
"Highland Community College",12,10,2,98,12,0
"Holton, Beck-Bookman Library",2376,2085,291,3347,1408,968
"Horton Public Library",131,115,16,225,97,34
"Lansing Community Library",2629,2060,569,4031,1132,1497
"Leavenworth Public Library",10629,8133,2496,20654,5232,5397
"Linwood Community Library",841,736,105,1593,320,521
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",633,506,127,1111,411,222
"McLouth Public Library",221,180,41,358,98,123
"Meriden-Ozawkie Public Library",2234,1843,391,2756,848,1386
"Northeast Kansas Library System",35,27,8,138,32,3
"Nortonville Public Library",303,226,77,726,138,165
"Osage City Library",2774,2611,163,3984,1649,1125
"Osawatomie Public Library",1271,951,320,2303,713,558
"Oskaloosa Public Library",795,691,104,1140,511,284
"Ottawa Library",7547,6534,1013,9790,3024,4519
"Overbrook Public Library",1221,1068,153,2057,723,498
"Paola Free Library",3605,2781,824,4240,1471,2134
"Perry-Lecompton Community Library",61,49,12,293,36,25
"Pomona Community Library",257,224,33,412,30,227
"Prairie Hills Schools - Axtell Public School",116,114,2,544,3,113
"Prairie Hills Schools - Sabetha Elementary School",420,364,56,1396,7,413
"Prairie Hills Schools - Sabetha High School",17,10,7,112,16,1
"Prairie Hills Schools - Sabetha Middle School",2,2,0,97,0,2
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,161,0,0
"Richmond Public Library",542,455,87,792,393,149
"Rossville Community Library",1578,1200,378,2523,748,829
"Sabetha, Mary Cotton Library",5362,4504,858,5728,1210,4152
"Seneca Free Library",2531,2194,337,2899,847,1684
"Silver Lake Library",1479,1057,422,2562,494,985
"Tonganoxie Public Library",5088,4455,633,6053,2071,3017
"Valley Falls, Delaware Township Library",758,597,161,1024,401,357
"Wellsville City Library",2265,1698,567,2757,794,1471
"Wetmore Public Library",239,200,39,661,180,59
"Williamsburg Community Library",261,228,33,697,123,138
"Winchester Public Library",725,629,96,1109,296,429
