Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1788,1239,549,"We borrowerd more than we lent",,"1.44 : 1"
"Baldwin City Public Library",541,510,31,"We borrowerd more than we lent",,"1.06 : 1"
"Basehor Community Library",1106,1392,-286,,"We lent more than we borrowed","0.79 : 1"
"Bern Community Library",82,144,-62,,"We lent more than we borrowed","0.57 : 1"
"Bonner Springs City Library",1249,1516,-267,,"We lent more than we borrowed","0.82 : 1"
"Burlingame Community Library",219,200,19,"We borrowerd more than we lent",,"1.10 : 1"
"Carbondale City Library",81,179,-98,,"We lent more than we borrowed","0.45 : 1"
"Centralia Community Library",52,66,-14,,"We lent more than we borrowed","0.79 : 1"
"Corning City Library",1,57,-56,,"We lent more than we borrowed","0.02 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",20,23,-3,,"We lent more than we borrowed","0.87 : 1"
"Doniphan County Library - Highland",182,125,57,"We borrowerd more than we lent",,"1.46 : 1"
"Doniphan County Library - Troy",119,316,-197,,"We lent more than we borrowed","0.38 : 1"
"Doniphan County Library - Wathena",85,123,-38,,"We lent more than we borrowed","0.69 : 1"
"Effingham Community Library",21,144,-123,,"We lent more than we borrowed","0.15 : 1"
"Eudora Community Library",769,480,289,"We borrowerd more than we lent",,"1.60 : 1"
"Everest, Barnes Reading Room",74,118,-44,,"We lent more than we borrowed","0.63 : 1"
"Hiawatha, Morrill Public Library",619,360,259,"We borrowerd more than we lent",,"1.72 : 1"
"Highland Community College",11,72,-61,,"We lent more than we borrowed","0.15 : 1"
"Holton, Beck-Bookman Library",441,456,-15,,"We lent more than we borrowed","0.97 : 1"
"Horton Public Library",48,108,-60,,"We lent more than we borrowed","0.44 : 1"
"Lansing Community Library",776,414,362,"We borrowerd more than we lent",,"1.87 : 1"
"Leavenworth Public Library",1710,1361,349,"We borrowerd more than we lent",,"1.26 : 1"
"Linwood Community Library",188,354,-166,,"We lent more than we borrowed","0.53 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",234,219,15,"We borrowerd more than we lent",,"1.07 : 1"
"McLouth Public Library",41,59,-18,,"We lent more than we borrowed","0.69 : 1"
"Meriden-Ozawkie Public Library",583,491,92,"We borrowerd more than we lent",,"1.19 : 1"
"Northeast Kansas Library System",36,41,-5,,"We lent more than we borrowed","0.88 : 1"
"Nortonville Public Library",116,288,-172,,"We lent more than we borrowed","0.40 : 1"
"Osage City Library",485,557,-72,,"We lent more than we borrowed","0.87 : 1"
"Osawatomie Public Library",428,477,-49,,"We lent more than we borrowed","0.90 : 1"
"Oskaloosa Public Library",181,119,62,"We borrowerd more than we lent",,"1.52 : 1"
"Ottawa Library",912,1041,-129,,"We lent more than we borrowed","0.88 : 1"
"Overbrook Public Library",198,497,-299,,"We lent more than we borrowed","0.40 : 1"
"Paola Free Library",494,333,161,"We borrowerd more than we lent",,"1.48 : 1"
"Perry-Lecompton Community Library",20,177,-157,,"We lent more than we borrowed","0.11 : 1"
"Prairie Hills Schools - Axtell Public School",8,64,-56,,"We lent more than we borrowed","0.13 : 1"
"Prairie Hills Schools - Sabetha Elementary School",110,107,3,"We borrowerd more than we lent",,"1.03 : 1"
"Prairie Hills Schools - Sabetha High School",3,22,-19,,"We lent more than we borrowed","0.14 : 1"
"Prairie Hills Schools - Sabetha Middle School",26,35,-9,,"We lent more than we borrowed","0.74 : 1"
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,,,
"Pomona Community Library",93,76,17,"We borrowerd more than we lent",,"1.22 : 1"
"Richmond Public Library",89,180,-91,,"We lent more than we borrowed","0.49 : 1"
"Rossville Community Library",453,676,-223,,"We lent more than we borrowed","0.67 : 1"
"Sabetha, Mary Cotton Library",1006,697,309,"We borrowerd more than we lent",,"1.44 : 1"
"Seneca Free Library",332,543,-211,,"We lent more than we borrowed","0.61 : 1"
"Silver Lake Library",415,266,149,"We borrowerd more than we lent",,"1.56 : 1"
"Tonganoxie Public Library",1015,491,524,"We borrowerd more than we lent",,"2.07 : 1"
"Valley Falls, Delaware Township Library",214,158,56,"We borrowerd more than we lent",,"1.35 : 1"
"Wellsville City Library",408,510,-102,,"We lent more than we borrowed","0.80 : 1"
"Wetmore Public Library",120,250,-130,,"We lent more than we borrowed","0.48 : 1"
"Williamsburg Community Library",29,218,-189,,"We lent more than we borrowed","0.13 : 1"
"Winchester Public Library",329,211,118,"We borrowerd more than we lent",,"1.56 : 1"
