branchname,"""COLLECTION CODE""",TOTAL ITEMS,ADULT ITEMS,YOUNG ADULT ITEMS,JUVENILE ITEMS,TOTAL ADDED LM,ADULT ADDED LM,YOUNG ADULT ADDED LM,JUVENILE ADDED LM,TOTAL DELETED LM,ADULT DELETED LM,YOUNG ADULT DELETED LM,JUVENILE DELETED LM
Atchison Public Library,Software,,,,,,,,,,,,
Atchison Public Library,Spanish,,,,,,,,,,,,
Atchison Public Library,Special collection - Dyslexic and Autistic Reading Engagement,,,,,,,,,,,,
Atchison Public Library,Sports & Recreation,,,,,,,,,,,,
Atchison Public Library,VG-Gameboy,,,,,,,,,,,,
Atchison Public Library,VG-Nintendo 3DS,1,1,,,,,,,,,,
Atchison Public Library,VG-Nintendo DS,,,,,,,,,,,,
Atchison Public Library,VG-Nintendo Gamecube,,,,,,,,,,,,
Atchison Public Library,VG-Nintendo Switch,,,,,,,,,,,,
Atchison Public Library,VG-Nintendo Wii,,,,,,,,,,,,
Atchison Public Library,VG-Nintendo Wii U,,,,,,,,,,,,
Atchison Public Library,VG-PlayStation 2 (PS2),,,,,,,,,,,,
Atchison Public Library,VG-PlayStation 3 (PS3),,,,,,,,,,,,
Atchison Public Library,VG-PlayStation 4 (PS4),8,8,,,,,,,,,,
Atchison Public Library,VG-PlayStation 5 (PS5),,,,,,,,,,,,
Atchison Public Library,VG-PlayStation Portable (PSP),,,,,,,,,,,,
Atchison Public Library,VG--Videogame,,,,,,,,,,,,
Atchison Public Library,VG-XBox,,,,,,,,,,,,
Atchison Public Library,VG-XBox 360,6,2,4,,,,,,,,,
Atchison Public Library,VG-XBox One,4,4,,,,,,,,,,
Atchison Public Library,VG-XBox X,,,,,,,,,,,,
Atchison Public Library,Video (Blu-ray),52,52,,,,,,,,,,
Atchison Public Library,Video (Blu-ray/DVD combined edition),1,1,,,,,,,,,,
Atchison Public Library,Video (DVD),4764,3973,1,790,13,10,,3,40,,,
Atchison Public Library,Video (media player),,,,,,,,,,,,
Atchison Public Library,Video (VHS cassette),1,1,,,,,,,,,,
Atchison Public Library,Video-TV series (Blu-ray),6,6,,,,,,,,,,
Atchison Public Library,Video-TV series (Blu-ray/DVD combined edition),3,3,,,,,,,,,,
Atchison Public Library,Video-TV series (DVD),1147,973,,174,13,5,,8,7,1,,
Atchison Public Library,Video-TV series (media player),,,,,,,,,,,,
Atchison Public Library,Western,731,731,,,,,,,,,,
Baldwin City Public Library,(Unclassified),,,,,,,,,,,,
Baldwin City Public Library,Action & Adventure,,,,,,,,,,,,
Baldwin City Public Library,Adult literacy,,,,,,,,,,,,
Baldwin City Public Library,African American history and literature,,,,,,,,,,,,
Baldwin City Public Library,Archival materials,,,,,,,,,,,,
Baldwin City Public Library,Atlas,,,,,,,,,,,,
Baldwin City Public Library,Audiobook (cassette),,,,,,,,,,,,
Baldwin City Public Library,Audiobook (CD),560,494,,66,,,,,18,,,
Baldwin City Public Library,Audiobook (downloadable),,,,,,,,,,,,
Baldwin City Public Library,Audiobook (media player),,,,,,,,,,,,
Baldwin City Public Library,Audio-visual equipment,,,,,,,,,,,,
Baldwin City Public Library,Bakeware,10,10,,,,,,,,,,
Baldwin City Public Library,Battle of the books,1,,,1,,,,,,,,
Baldwin City Public Library,Bicycle,,,,,,,,,,,,
Baldwin City Public Library,Bilingual,,,,,,,,,,,,
Baldwin City Public Library,Binder,60,60,,,,,,,,,,
Baldwin City Public Library,Biography,564,375,3,186,2,2,,,2,,,
Baldwin City Public Library,Blu-ray player,,,,,,,,,,,,
Baldwin City Public Library,Board Book,203,1,,202,2,,,2,1,,,
Baldwin City Public Library,Chapter Books,,,,,,,,,,,,
Baldwin City Public Library,Classics,,,,,,,,,,,,
Baldwin City Public Library,Contemporary Issues,,,,,,,,,,,,
Baldwin City Public Library,Downloadable Book,,,,,,,,,,,,
Baldwin City Public Library,Downloadable Graphic Novel,,,,,,,,,,,,
Baldwin City Public Library,Downloadable Magazine,,,,,,,,,,,,
Baldwin City Public Library,Downloadable Movie,,,,,,,,,,,,
Baldwin City Public Library,Downloadable Music,,,,,,,,,,,,
Baldwin City Public Library,Downloadable TV Show,,,,,,,,,,,,
Baldwin City Public Library,Easy Reader,949,7,1,941,11,,,11,,,,
Baldwin City Public Library,Education,1,,,1,,,,,,,,
Baldwin City Public Library,Fiction,11521,7865,1192,2464,55,33,5,17,5,1,,
Baldwin City Public Library,Gadget,19,11,1,7,,,,,,,,
Baldwin City Public Library,Genealogy,48,46,,2,,,,,,,,
Baldwin City Public Library,Graphic Novel,957,18,472,467,7,1,2,4,1,,,
Baldwin City Public Library,Historical ,,,,,,,,,,,,
Baldwin City Public Library,Holiday,,,,,,,,,,,,
Baldwin City Public Library,Holiday video,,,,,,,,,,,,
Baldwin City Public Library,Inspirational,2,,,2,,,,,,,,
Baldwin City Public Library,Interlibrary Loan,12,11,,1,7,7,,,13,4,1,
Baldwin City Public Library,Kansas,408,398,1,9,1,1,,,1,,,
Baldwin City Public Library,Kansas notable books,3,,,3,,,,,,,,
Baldwin City Public Library,Large Print,466,466,,,1,1,,,1,,,
Baldwin City Public Library,Large Print Non-Fiction,52,51,,1,,,,,,,,
Baldwin City Public Library,LGBTQ+,,,,,,,,,,,,
Baldwin City Public Library,Lynda.com course,,,,,,,,,,,,
Baldwin City Public Library,Magazine,52,45,3,4,7,7,,,,,,
Baldwin City Public Library,Map,,,,,,,,,,,,
Baldwin City Public Library,McNaughton Fiction,,,,,,,,,,,,
Baldwin City Public Library,McNaughton Non-fiction,3,1,,2,,,,,,,,
Baldwin City Public Library,Miscellaneous,94,88,,6,2,,,2,8,,,
Baldwin City Public Library,Music : compact disc,6,5,,1,,,,,,,,
Baldwin City Public Library,Music : record,,,,,,,,,,,,
Baldwin City Public Library,Musical instrument : brass instruments,,,,,,,,,,,,
Baldwin City Public Library,Musical instrument : drums and percussion,,,,,,,,,,,,
Baldwin City Public Library,Musical instrument : misceleaneous,,,,,,,,,,,,
Baldwin City Public Library,Musical instrument : stringed instruments,,,,,,,,,,,,
Baldwin City Public Library,Musical instrument : woodwind instruments,,,,,,,,,,,,
Baldwin City Public Library,Mystery,1,1,,,,,,,,,,
Baldwin City Public Library,Mystery-Cozy,,,,,,,,,,,,
Baldwin City Public Library,Non-Fiction,4399,2657,32,1710,7,3,,4,5,,,
Baldwin City Public Library,On Display,,,,,,,,,,,,
Baldwin City Public Library,Online Resource,,,,,,,,,,,,
Baldwin City Public Library,Oversize,,,,,,,,,,,,
Baldwin City Public Library,Paperback,1,1,,,,,,,,,,
Baldwin City Public Library,Parenting,27,12,,15,,,,,,,,
Baldwin City Public Library,Periodical - Comic books,,,,,,,,,,,,
Baldwin City Public Library,Picture Book,3307,19,,3288,13,,,13,,,,
Baldwin City Public Library,Professional Collection,5,5,,,,,,,,,,
Baldwin City Public Library,Public Computer,8,8,,,,,,,,,,
Baldwin City Public Library,Puzzles & Board Games,19,,4,15,,,,,,,,
Baldwin City Public Library,Read and listen - easy reader,1,,,1,,,,,,,,
Baldwin City Public Library,Read and listen - fiction,,,,,,,,,,,,
Baldwin City Public Library,Read and listen - non-fiction,,,,,,,,,,,,
Baldwin City Public Library,Read and listen - picture book,1,,,1,,,,,,,,
Baldwin City Public Library,Record player,,,,,,,,,,,,
Baldwin City Public Library,Recreation : athletic / sports equipment,,,,,,,,,,,,
Baldwin City Public Library,Recreation : basketball equipment,,,,,,,,,,,,
Baldwin City Public Library,Recreation : fishing equipment,,,,,,,,,,,,
Baldwin City Public Library,Recreation : football equipment,,,,,,,,,,,,
Baldwin City Public Library,Recreation : softball / baseball equipment,,,,,,,,,,,,
Baldwin City Public Library,Recreation : tennis equipment,,,,,,,,,,,,
Baldwin City Public Library,Reference,56,52,1,3,46,46,,,,,,
Baldwin City Public Library,Romance,,,,,,,,,,,,
Baldwin City Public Library,Sci Fi-Fantasy,1,1,,,,,,,,,,
Baldwin City Public Library,Software,,,,,,,,,,,,
Baldwin City Public Library,Spanish,,,,,,,,,,,,
Baldwin City Public Library,Special collection - Dyslexic and Autistic Reading Engagement,,,,,,,,,,,,
Baldwin City Public Library,Sports & Recreation,,,,,,,,,,,,
Baldwin City Public Library,VG-Gameboy,,,,,,,,,,,,
Baldwin City Public Library,VG-Nintendo 3DS,,,,,,,,,,,,
Baldwin City Public Library,VG-Nintendo DS,,,,,,,,,,,,
Baldwin City Public Library,VG-Nintendo Gamecube,,,,,,,,,,,,
Baldwin City Public Library,VG-Nintendo Switch,1,,,1,,,,,,,,
Baldwin City Public Library,VG-Nintendo Wii,19,17,,2,,,,,,,,
Baldwin City Public Library,VG-Nintendo Wii U,7,7,,,,,,,,,,
Baldwin City Public Library,VG-PlayStation 2 (PS2),1,1,,,,,,,,,,
Baldwin City Public Library,VG-PlayStation 3 (PS3),12,12,,,,,,,,,,
Baldwin City Public Library,VG-PlayStation 4 (PS4),,,,,,,,,,,,
Baldwin City Public Library,VG-PlayStation 5 (PS5),,,,,,,,,,,,
Baldwin City Public Library,VG-PlayStation Portable (PSP),,,,,,,,,,,,
Baldwin City Public Library,VG--Videogame,2,1,,1,,,,,,,,
Baldwin City Public Library,VG-XBox,,,,,,,,,,,,
Baldwin City Public Library,VG-XBox 360,12,12,,,,,,,,,,
Baldwin City Public Library,VG-XBox One,2,2,,,,,,,,,,
Baldwin City Public Library,VG-XBox X,,,,,,,,,,,,
Baldwin City Public Library,Video (Blu-ray),165,129,,36,,,,,,,,
Baldwin City Public Library,Video (Blu-ray/DVD combined edition),2,1,,1,,,,,,,,
Baldwin City Public Library,Video (DVD),2745,2056,2,687,10,6,,4,25,,,
Baldwin City Public Library,Video (media player),,,,,,,,,,,,
