Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4038,1788,5826
"Baldwin City Public Library",2575,541,3116
"Basehor Community Library",8095,1106,9201
"Bern Community Library",154,82,236
"Bonner Springs City Library",5312,1249,6561
"Burlingame Community Library",450,219,669
"Carbondale City Library",629,81,710
"Centralia Community Library",300,52,352
"Corning City Library",16,1,17
"Digital Content",,,
"Doniphan County Library - Elwood",159,20,179
"Doniphan County Library - Highland",253,182,435
"Doniphan County Library - Troy",544,119,663
"Doniphan County Library - Wathena",421,85,506
"Effingham Community Library",214,21,235
"Eudora Community Library",1694,769,2463
"Everest, Barnes Reading Room",121,74,195
"Hiawatha, Morrill Public Library",1515,619,2134
"Highland Community College",65,11,76
"Holton, Beck-Bookman Library",1803,441,2244
"Horton Public Library",128,48,176
"Lansing Community Library",1681,776,2457
"Leavenworth Public Library",8601,1710,10311
"Linwood Community Library",682,188,870
"Louisburg Library",,,
"Lyndon Carnegie Library",450,234,684
"McLouth Public Library",149,41,190
"Meriden-Ozawkie Public Library",1255,583,1838
"Northeast Kansas Library System",14,36,50
"Nortonville Public Library",276,116,392
"Osage City Library",1590,485,2075
"Osawatomie Public Library",1036,428,1464
"Oskaloosa Public Library",521,181,702
"Ottawa Library",6101,912,7013
"Overbrook Public Library",945,198,1143
"Paola Free Library",3111,494,3605
"Perry-Lecompton Community Library",93,20,113
"Pomona Community Library",159,93,252
"Prairie Hills Schools - Axtell Public School",553,8,561
"Prairie Hills Schools - Sabetha Elementary School",2340,110,2450
"Prairie Hills Schools - Sabetha High School",39,3,42
"Prairie Hills Schools - Sabetha Middle School",167,26,193
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",373,89,462
"Rossville Community Library",1343,453,1796
"Sabetha, Mary Cotton Library",2899,1006,3905
"Seneca Free Library",1517,332,1849
"Silver Lake Library",1101,415,1516
"Tonganoxie Public Library",3121,1015,4136
"Valley Falls, Delaware Township Library",375,214,589
"Wellsville City Library",1386,408,1794
"Wetmore Public Library",167,120,287
"Williamsburg Community Library",390,29,419
"Winchester Public Library",295,329,624
