branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5826,4148,1678,10763,2875,2949
"Baldwin City Public Library",3116,2419,697,3889,1376,1740
"Basehor Community Library",9201,6976,2225,17076,3565,5629
"Bern Community Library",236,147,89,361,141,95
"Bonner Springs City Library",6561,5086,1475,13487,2958,3601
"Burlingame Community Library",669,474,195,1090,255,414
"Carbondale City Library",710,597,113,1006,483,227
"Centralia Community Library",352,264,88,393,243,109
"Corning City Library",17,16,1,103,14,3
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",179,161,18,429,119,52
"Doniphan County Library - Highland",435,398,37,898,289,145
"Doniphan County Library - Troy",663,543,120,2665,398,261
"Doniphan County Library - Wathena",506,375,131,929,228,278
"Effingham Community Library",235,185,50,482,126,109
"Eudora Community Library",2463,1817,646,3254,917,1546
"Everest, Barnes Reading Room",195,116,79,418,60,135
"Hiawatha, Morrill Public Library",2134,1673,461,3019,1059,1075
"Highland Community College",76,64,12,191,69,7
"Holton, Beck-Bookman Library",2244,1950,294,3267,1149,1095
"Horton Public Library",176,155,21,373,112,64
"Lansing Community Library",2457,1926,531,4136,1035,1422
"Leavenworth Public Library",10311,7876,2435,21454,5142,5164
"Linwood Community Library",870,680,190,1773,361,509
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",684,500,184,1022,425,259
"McLouth Public Library",190,166,24,350,64,126
"Meriden-Ozawkie Public Library",1838,1311,527,2743,695,1143
"Northeast Kansas Library System",50,37,13,132,44,6
"Nortonville Public Library",392,303,89,783,157,235
"Osage City Library",2075,1879,196,3556,1466,609
"Osawatomie Public Library",1464,1180,284,2433,835,629
"Oskaloosa Public Library",702,618,84,1078,492,209
"Ottawa Library",7013,5927,1086,13260,2864,4144
"Overbrook Public Library",1143,1012,131,2096,677,466
"Paola Free Library",3605,2744,861,4228,1655,1950
"Perry-Lecompton Community Library",113,107,6,407,46,67
"Pomona Community Library",252,217,35,505,60,192
"Prairie Hills Schools - Axtell Public School",561,554,7,789,7,554
"Prairie Hills Schools - Sabetha Elementary School",2450,2190,260,2629,7,2443
"Prairie Hills Schools - Sabetha High School",42,38,4,75,41,1
"Prairie Hills Schools - Sabetha Middle School",193,182,11,300,3,190
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",462,430,32,806,382,80
"Rossville Community Library",1796,1336,460,3101,845,951
"Sabetha, Mary Cotton Library",3905,2984,921,4818,1195,2710
"Seneca Free Library",1849,1517,332,2565,813,1036
"Silver Lake Library",1516,1044,472,2706,439,1077
"Tonganoxie Public Library",4136,3534,602,5761,2060,2076
"Valley Falls, Delaware Township Library",589,471,118,967,323,266
"Wellsville City Library",1794,1394,400,3890,758,1036
"Wetmore Public Library",287,229,58,767,190,97
"Williamsburg Community Library",419,338,81,701,154,265
"Winchester Public Library",624,531,93,1226,231,393
