branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14,2023-10-15,2023-10-16,2023-10-17,2023-10-18,2023-10-19,2023-10-20,2023-10-21,2023-10-22,2023-10-23,2023-10-24,2023-10-25,2023-10-26,2023-10-27,2023-10-28,2023-10-29,2023-10-30,2023-10-31,"2023-10-01 - 2023-10-30"
" DAY",Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,-
"Atchison Public Library",5,60,71,47,72,58,23,8,56,58,62,56,48,30,5,68,70,62,67,42,33,7,53,53,61,60,55,38,6,56,49,590
"Baldwin City Public Library",4,44,36,46,31,25,18,1,42,50,30,28,32,20,2,46,41,39,37,2,4,1,46,40,44,37,22,13,2,27,27,338
"Basehor Community Library",42,74,78,87,79,65,54,43,8,128,79,80,74,47,47,78,96,81,84,64,38,41,87,84,84,84,68,58,37,80,58,957
"Bern Community Library",,3,,9,3,3,1,,,1,3,1,2,1,,2,1,5,3,,5,,4,,1,,3,1,,1,,28
"Bonner Springs City Library",33,60,76,56,49,44,37,21,64,50,74,57,51,32,21,65,88,58,67,58,39,23,71,63,61,59,49,49,35,57,52,695
"Burlingame Community Library",,9,3,7,10,6,7,1,5,2,11,9,4,1,,9,7,11,7,7,2,1,4,4,4,10,6,2,,5,3,65
"Carbondale City Library",,15,7,14,12,13,8,,7,9,14,9,8,7,,9,8,12,13,6,6,,8,8,19,7,6,7,,8,6,113
"Centralia Community Library",,10,,6,4,7,2,,11,1,10,3,14,1,,8,,14,2,8,2,,9,,10,2,6,2,,7,,57
"Corning City Library",,,2,,,,,,,,2,1,,,,,2,,,,2,,,,,1,,1,,1,,8
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,4,2,2,2,2,,,2,8,,7,4,,,1,3,3,5,3,,,6,5,5,2,5,,,1,6,32
