branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
"Doniphan County Library - Highland",1,9,6,11,7,2,3,,3,3,9,6,4,5,,8,3,12,2,5,1,,1,4,9,8,,5,,9,3,47
"Doniphan County Library - Troy",,17,10,14,8,15,1,,4,16,7,18,7,4,,12,16,16,16,12,6,,9,6,13,13,13,6,,9,13,119
"Doniphan County Library - Wathena",,15,3,5,2,3,4,1,4,5,24,1,4,1,,11,3,2,7,8,2,,6,3,2,6,6,2,,7,1,72
"Effingham Community Library",,3,3,7,2,,3,,2,6,4,2,4,3,,5,2,5,2,3,,,6,5,4,2,3,1,,3,7,32
"Eudora Community Library",2,33,18,34,24,29,2,2,3,33,31,26,19,14,1,41,25,23,22,25,6,,24,15,27,23,25,10,1,38,40,227
"Everest, Barnes Reading Room",1,1,5,,5,4,3,,,3,2,1,,,,,5,5,1,2,1,,,4,1,1,2,6,,,4,26
"Hiawatha, Morrill Public Library",6,20,26,37,25,21,7,3,1,40,33,18,23,17,11,24,26,15,36,18,18,3,17,25,33,21,22,8,5,22,9,267
"Highland Community College",1,2,5,4,4,1,,,4,2,4,,2,,,5,3,1,1,1,,,5,3,3,1,1,,,3,,30
"Holton, Beck-Bookman Library",,28,29,34,32,25,12,,28,30,32,40,25,9,,23,27,32,41,30,19,,32,24,28,30,34,10,,28,26,320
"Horton Public Library",,4,2,3,1,3,2,,,7,3,3,6,,,3,2,9,5,3,1,,2,6,1,7,6,,,1,1,44
"Lansing Community Library",5,40,38,34,28,27,16,3,2,43,35,31,28,5,4,30,38,15,36,29,12,4,30,22,30,48,25,3,2,34,35,338
"Leavenworth Public Library",45,105,133,91,93,94,75,39,74,102,96,86,110,63,49,90,95,92,86,74,64,43,103,91,95,98,93,74,35,98,96,1114
"Linwood Community Library",1,6,10,13,3,9,4,,7,11,11,13,13,9,1,5,7,6,7,23,7,1,8,5,7,7,13,5,1,8,11,85
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",1,14,11,12,14,1,,,1,13,16,11,2,3,,21,6,4,7,,7,,18,6,4,12,,3,2,21,7,100
"McLouth Public Library",,5,4,5,2,3,,,,7,2,,5,4,,6,1,4,3,1,1,,1,2,3,6,4,5,,2,4,44
"Meriden-Ozawkie Public Library",2,28,13,20,13,25,,,16,21,17,23,20,3,,18,10,16,16,11,11,2,14,20,14,19,17,8,,17,12,176
"Northeast Kansas Library System",,1,3,1,,,,,1,1,1,2,1,,,2,1,1,,2,,,1,4,1,,,,,1,5,13
"Nortonville Public Library",,,9,8,,9,,,1,5,5,6,9,1,,,8,8,2,5,,2,1,3,6,5,4,1,,,4,48
"Osage City Library",1,38,48,50,25,31,15,,29,36,37,31,29,16,1,37,26,38,29,34,14,,30,31,32,24,25,11,,30,43,299
"Osawatomie Public Library",,32,23,16,18,25,13,,33,20,17,14,31,15,,35,28,33,25,21,9,,36,16,24,20,20,6,2,44,17,264
"Oskaloosa Public Library",,20,17,12,11,6,10,1,9,14,14,15,13,8,,15,6,10,22,14,6,,11,14,10,14,14,5,1,13,12,134
"Ottawa Library",4,78,81,66,71,69,28,5,77,60,47,55,55,34,5,89,62,54,56,59,21,3,71,73,63,68,64,20,,82,57,743
"Overbrook Public Library",,17,9,14,14,17,7,,12,13,15,9,14,7,,14,21,12,12,25,11,,11,12,8,12,13,10,,13,11,150
"Paola Free Library",2,57,63,57,58,51,31,1,69,49,45,51,28,33,1,65,61,70,56,41,25,2,69,48,46,65,48,29,,61,33,545
"Perry-Lecompton Community Library",,,4,,2,,3,,,2,,5,,7,,,3,,2,,1,,,7,,3,,3,,,4,29
"Pomona Community Library",,,4,1,1,1,,,,2,2,4,2,1,,,5,4,4,6,6,,,4,3,5,3,1,,1,3,36
"Prairie Hills Schools - Axtell Public School",,9,30,29,30,11,,,17,23,,,25,,,10,20,37,,,,,,13,30,27,9,,,24,14,107
"Prairie Hills Schools - Sabetha Elementary School",,76,72,54,50,49,,,78,75,52,52,37,,,79,73,63,1,,,,,124,59,53,46,,,83,66,360
"Prairie Hills Schools - Sabetha High School",,,,,4,2,,,1,1,3,,2,,,5,,1,,,,,,2,2,2,1,,,5,4,21
"Prairie Hills Schools - Sabetha Middle School",,33,3,18,10,3,,,26,10,5,1,7,,,14,6,4,,,,,,3,1,1,5,,,27,1,112
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",,9,,12,13,8,2,,2,1,14,8,9,6,,10,1,16,11,13,7,,7,,10,11,13,7,,7,,40
"Rossville Community Library",,19,20,13,20,13,3,1,36,17,26,27,26,,3,19,35,21,26,14,4,1,13,26,22,25,20,7,,15,12,210
"Sabetha, Mary Cotton Library",,32,29,40,23,25,13,,22,26,34,26,28,8,1,43,25,41,31,31,19,,39,22,32,38,28,14,2,30,28,306
"Seneca Free Library",,31,30,33,25,25,7,3,30,25,19,32,19,8,3,39,14,29,24,13,10,,31,30,16,36,15,11,1,24,25,263
"Silver Lake Library",,17,27,25,20,12,1,,18,22,13,24,16,3,12,20,23,14,25,18,4,,30,29,15,35,15,3,,28,18,179
"Tonganoxie Public Library",20,38,40,49,56,4,37,6,59,55,42,50,42,31,16,49,40,49,65,46,21,13,55,38,39,61,41,27,19,55,32,538
"Valley Falls, Delaware Township Library",2,6,6,8,6,6,8,,5,8,7,5,7,5,2,4,14,6,2,9,5,,6,7,6,5,11,2,,5,7,69
"Wellsville City Library",,13,18,19,63,22,11,,13,24,22,20,13,6,2,16,16,24,15,17,7,,11,13,18,20,27,7,,14,18,189
"Wetmore Public Library",,2,1,12,2,10,1,,5,4,3,1,5,,,5,3,3,3,8,1,,4,4,9,,9,3,,1,3,38
"Williamsburg Community Library",,13,1,14,1,,10,,,3,9,2,,1,,10,1,12,,,4,,8,2,12,2,,5,,7,,62
"Winchester Public Library",,4,6,5,7,5,3,,3,7,8,5,3,,,7,9,8,6,6,,,4,10,5,2,4,4,,9,6,50
