branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",590,6806,60,116,6
"Baldwin City Public Library",338,4169,33,44,2
"Basehor Community Library",958,6824,55,190,0
"Bern Community Library",28,181,0,3,1
"Bonner Springs City Library",695,8329,72,118,9
"Burlingame Community Library",65,701,14,25,0
"Carbondale City Library",113,825,6,18,0
"Centralia Community Library",57,251,2,12,0
"Corning City Library",8,155,3,4,0
"Digital Content",0,33,0,0,21
"Doniphan County Library - Elwood",32,422,1,10,0
"Doniphan County Library - Highland",47,394,3,2,1
"Doniphan County Library - Troy",119,974,6,26,2
"Doniphan County Library - Wathena",72,575,1,9,0
"Effingham Community Library",32,349,0,1,0
"Eudora Community Library",227,2016,18,28,1
"Everest, Barnes Reading Room",26,166,3,9,0
"Hiawatha, Morrill Public Library",267,2639,11,43,3
"Highland Community College",30,10212,3,2,501
"Holton, Beck-Bookman Library",320,4148,13,46,0
"Horton Public Library",46,1229,6,11,0
"Lansing Community Library",338,3345,17,51,2
"Leavenworth Public Library",1114,15451,148,199,3
"Linwood Community Library",85,666,6,22,0
"Louisburg Library",0,668,3,1,0
"Lyndon Carnegie Library",100,1016,9,18,1
"McLouth Public Library",44,624,8,8,0
"Meriden-Ozawkie Public Library",176,1896,13,22,0
"Northeast Kansas Library System",13,225,2,2,124
"Nortonville Public Library",48,535,3,7,0
"Osage City Library",299,2110,12,49,7
"Osawatomie Public Library",264,2881,42,56,6
"Oskaloosa Public Library",134,1245,5,26,0
"Ottawa Library",743,9221,51,137,5
"Overbrook Public Library",150,1221,4,34,1
"Paola Free Library",545,5491,45,74,10
"Perry-Lecompton Community Library",29,297,4,3,0
"Pomona Community Library",36,443,33,7,1
"Prairie Hills Schools - Axtell Public School",107,266,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",360,540,1,0,0
"Prairie Hills Schools - Sabetha High School",21,362,2,1,0
"Prairie Hills Schools - Sabetha Middle School",112,242,0,2,2
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0
"Richmond Public Library",40,247,5,6,0
"Rossville Community Library",210,1401,16,33,0
"Sabetha, Mary Cotton Library",306,2034,9,57,2
"Seneca Free Library",263,1709,6,38,2
"Silver Lake Library",179,1124,6,24,0
"Tonganoxie Public Library",538,5243,38,101,4
"Valley Falls, Delaware Township Library",69,621,4,16,0
"Wellsville City Library",189,1250,7,30,0
"Wetmore Public Library",38,327,1,7,0
"Williamsburg Community Library",62,680,4,7,0
"Winchester Public Library",50,775,4,2,0
