BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",60109,60198,389,300,59119
"Baldwin City Public Library",26809,26906,177,80,26541
"Basehor Community Library",63526,63801,362,87,61405
"Bern Community Library",12701,12712,12,1,12431
"Bonner Springs City Library",60157,60386,445,216,58275
"Burlingame Community Library",13181,13217,40,4,13058
"Carbondale City Library",10522,10580,138,80,10490
"Centralia Community Library",8401,8408,43,36,8347
"Corning City Library",5294,5394,100,0,5311
"Digital Content",361,362,1,0,362
"Doniphan County Library - Elwood",2186,2206,30,10,2160
"Doniphan County Library - Highland",4493,4560,103,36,4446
"Doniphan County Library - Troy",10669,10794,162,37,10574
"Doniphan County Library - Wathena",8019,8123,155,51,7974
"Effingham Community Library",8680,8707,39,12,8606
"Eudora Community Library",15973,15932,93,134,15745
"Everest, Barnes Reading Room",7803,7807,27,23,7723
"Hiawatha, Morrill Public Library",31528,31568,117,77,30913
"Highland Community College",4322,4328,11,5,4060
"Holton, Beck-Bookman Library",25842,25898,78,22,25272
"Horton Public Library",14436,14303,69,203,13697
"Lansing Community Library",23441,23658,238,21,23275
"Leavenworth Public Library",89530,89810,630,350,84016
"Linwood Community Library",12688,12382,93,399,12131
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",14242,14065,55,232,13829
"McLouth Public Library",4623,4412,39,250,4371
"Meriden-Ozawkie Public Library",16312,16330,120,102,16198
"Northeast Kansas Library System",922,924,2,0,754
"Nortonville Public Library",16077,16200,189,66,15879
"Osage City Library",21932,21855,146,223,21761
"Osawatomie Public Library",17920,17993,102,29,17848
"Oskaloosa Public Library",10828,10757,80,151,10566
"Ottawa Library",70724,70735,515,504,68531
"Overbrook Public Library",22217,22372,163,8,22025
"Paola Free Library",29662,29438,153,377,28328
"Perry-Lecompton Community Library",12879,12907,54,26,12888
"Pomona Community Library",7835,7929,104,10,7777
"Prairie Hills Schools - Axtell Public School",12646,12673,181,154,11314
"Prairie Hills Schools - Sabetha Elementary School",16617,16581,6,42,13352
"Prairie Hills Schools - Sabetha High School",3868,3934,66,0,3703
"Prairie Hills Schools - Sabetha Middle School",4734,4735,1,0,4221
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13425,13421,0,4,9522
"Richmond Public Library",8111,8119,24,16,8077
"Rossville Community Library",15849,15984,184,49,15898
"Sabetha, Mary Cotton Library",28934,29076,181,39,28439
"Seneca Free Library",22552,22630,94,16,22536
"Silver Lake Library",10106,10099,101,108,9368
"Tonganoxie Public Library",27073,27026,268,315,26749
"Valley Falls, Delaware Township Library",9970,9963,14,21,9904
"Wellsville City Library",23720,23561,82,241,22738
"Wetmore Public Library",11760,11802,42,0,11716
"Williamsburg Community Library",14618,14697,93,14,14562
"Winchester Public Library",10991,11090,140,41,10912
