branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",962,1129
"Baldwin City Public Library",377,332
"Basehor Community Library",1171,798
"Bern Community Library",100,18
"Bonner Springs City Library",1129,816
"Burlingame Community Library",182,159
"Carbondale City Library",191,46
"Centralia Community Library",45,33
"Corning City Library",42,0
"Digital Content",0,0
"Doniphan County Library - Elwood",36,45
"Doniphan County Library - Highland",194,185
"Doniphan County Library - Troy",285,93
"Doniphan County Library - Wathena",211,60
"Effingham Community Library",123,12
"Eudora Community Library",406,541
"Everest, Barnes Reading Room",112,46
"Hiawatha, Morrill Public Library",265,394
"Highland Community College",60,4
"Holton, Beck-Bookman Library",380,373
"Horton Public Library",99,35
"Lansing Community Library",311,627
"Leavenworth Public Library",1048,1259
"Linwood Community Library",325,148
"Louisburg Library",0,0
"Lyndon Carnegie Library",180,189
"McLouth Public Library",71,45
"Meriden-Ozawkie Public Library",368,371
"Northeast Kansas Library System",37,29
"Nortonville Public Library",232,72
"Osage City Library",466,445
"Osawatomie Public Library",388,325
"Oskaloosa Public Library",90,147
"Ottawa Library",758,786
"Overbrook Public Library",377,152
"Paola Free Library",231,325
"Perry-Lecompton Community Library",138,17
"Pomona Community Library",70,67
"Prairie Hills Schools - Axtell Public School",44,10
"Prairie Hills Schools - Sabetha Elementary School",85,73
"Prairie Hills Schools - Sabetha High School",18,3
"Prairie Hills Schools - Sabetha Middle School",36,25
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",148,77
"Rossville Community Library",556,277
"Sabetha, Mary Cotton Library",538,677
"Seneca Free Library",418,209
"Silver Lake Library",226,255
"Tonganoxie Public Library",356,807
"Valley Falls, Delaware Township Library",149,148
"Wellsville City Library",377,338
"Wetmore Public Library",197,100
"Williamsburg Community Library",191,19
"Winchester Public Library",147,292
