CHECK_OUT_LIBRARY,COLLECTION_CODE,CKO_RENW_ALL,CKO_RENEW_ADULT,CKO_RENEW_YA,CKO_RENEW_CHILDRENS,CKO_RENEW_OTHER
"Atchison Public Library","VG-Nintendo Wii U",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 2 (PS2)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 3 (PS3)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation 4 (PS4)",5,3,0,2,0
"Atchison Public Library","VG-PlayStation 5 (PS5)",0,0,0,0,0
"Atchison Public Library","VG-PlayStation Portable (PSP)",0,0,0,0,0
"Atchison Public Library",VG-XBox,0,0,0,0,0
"Atchison Public Library","VG-XBox 360",0,0,0,0,0
"Atchison Public Library","VG-XBox One",0,0,0,0,0
"Atchison Public Library","VG-XBox X",0,0,0,0,0
"Atchison Public Library","Video (Blu-ray)",27,25,0,2,0
"Atchison Public Library","Video (Blu-ray/DVD combined edition)",2,2,0,0,0
"Atchison Public Library","Video (DVD)",810,615,4,191,0
"Atchison Public Library","Video (media player)",0,0,0,0,0
"Atchison Public Library","Video (VHS cassette)",0,0,0,0,0
"Atchison Public Library","Video-TV series (Blu-ray)",2,2,0,0,0
"Atchison Public Library","Video-TV series (Blu-ray/DVD combined edition)",1,1,0,0,0
"Atchison Public Library","Video-TV series (DVD)",301,264,0,37,0
"Atchison Public Library","Video-TV series (media player)",0,0,0,0,0
"Atchison Public Library",Western,11,11,0,0,0
"Baldwin City Public Library",(Unclassified),0,0,0,0,0
"Baldwin City Public Library","Action & Adventure",0,0,0,0,0
"Baldwin City Public Library","Adult literacy",0,0,0,0,0
"Baldwin City Public Library","African American history and literature",1,0,1,0,0
"Baldwin City Public Library","Archival materials",0,0,0,0,0
"Baldwin City Public Library",Atlas,0,0,0,0,0
"Baldwin City Public Library","Audio-visual equipment",0,0,0,0,0
"Baldwin City Public Library","Audiobook (cassette)",0,0,0,0,0
"Baldwin City Public Library","Audiobook (CD)",24,19,0,5,0
"Baldwin City Public Library","Audiobook (downloadable)",0,0,0,0,0
"Baldwin City Public Library","Audiobook (media player)",0,0,0,0,0
"Baldwin City Public Library",Bakeware,1,1,0,0,0
"Baldwin City Public Library","Battle of the books",0,0,0,0,0
"Baldwin City Public Library",Bicycle,0,0,0,0,0
"Baldwin City Public Library",Bilingual,0,0,0,0,0
"Baldwin City Public Library",Binder,0,0,0,0,0
"Baldwin City Public Library",Biography,18,14,0,4,0
"Baldwin City Public Library","Blu-ray player",0,0,0,0,0
"Baldwin City Public Library","Board Book",94,0,0,94,0
"Baldwin City Public Library","Chapter Books",1,0,0,1,0
"Baldwin City Public Library",Classics,0,0,0,0,0
"Baldwin City Public Library","Contemporary Issues",0,0,0,0,0
"Baldwin City Public Library","Downloadable Book",0,0,0,0,0
"Baldwin City Public Library","Downloadable Graphic Novel",0,0,0,0,0
"Baldwin City Public Library","Downloadable Magazine",0,0,0,0,0
"Baldwin City Public Library","Downloadable Movie",0,0,0,0,0
"Baldwin City Public Library","Downloadable Music",0,0,0,0,0
"Baldwin City Public Library","Downloadable TV Show",0,0,0,0,0
"Baldwin City Public Library","Easy Reader",174,3,0,171,0
"Baldwin City Public Library",Education,0,0,0,0,0
"Baldwin City Public Library",Fiction,931,676,69,186,0
"Baldwin City Public Library",Gadget,9,6,0,3,0
"Baldwin City Public Library",Genealogy,1,0,0,1,0
"Baldwin City Public Library","Graphic Novel",286,9,74,201,2
"Baldwin City Public Library","Historical ",0,0,0,0,0
"Baldwin City Public Library",Holiday,0,0,0,0,0
"Baldwin City Public Library","Holiday video",0,0,0,0,0
"Baldwin City Public Library",Inspirational,3,3,0,0,0
"Baldwin City Public Library","Interlibrary Loan",13,12,1,0,0
"Baldwin City Public Library",Kansas,1,1,0,0,0
"Baldwin City Public Library","Kansas notable books",0,0,0,0,0
"Baldwin City Public Library","Large Print",88,88,0,0,0
"Baldwin City Public Library","Large Print Non-Fiction",4,4,0,0,0
"Baldwin City Public Library",LGBTQ+,0,0,0,0,0
"Baldwin City Public Library","Lynda.com course",0,0,0,0,0
"Baldwin City Public Library",Magazine,4,4,0,0,0
"Baldwin City Public Library",Map,0,0,0,0,0
"Baldwin City Public Library","McNaughton Fiction",0,0,0,0,0
"Baldwin City Public Library","McNaughton Non-fiction",0,0,0,0,0
"Baldwin City Public Library",Miscellaneous,55,54,0,1,0
"Baldwin City Public Library","Music : compact disc",0,0,0,0,0
"Baldwin City Public Library","Music : record",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : brass instruments",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : drums and percussion",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : misceleaneous",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : stringed instruments",0,0,0,0,0
"Baldwin City Public Library","Musical instrument : woodwind instruments",0,0,0,0,0
"Baldwin City Public Library",Mystery,28,28,0,0,0
"Baldwin City Public Library",Mystery-Cozy,0,0,0,0,0
"Baldwin City Public Library",Non-Fiction,340,179,1,160,0
"Baldwin City Public Library","On Display",0,0,0,0,0
"Baldwin City Public Library","Online Resource",0,0,0,0,0
"Baldwin City Public Library",Oversize,3,3,0,0,0
"Baldwin City Public Library",Paperback,3,3,0,0,0
"Baldwin City Public Library",Parenting,1,1,0,0,0
"Baldwin City Public Library","Periodical - Comic books",0,0,0,0,0
"Baldwin City Public Library","Picture Book",654,3,0,651,0
"Baldwin City Public Library","Professional Collection",2,2,0,0,0
"Baldwin City Public Library","Public Computer",0,0,0,0,0
"Baldwin City Public Library","Puzzles & Board Games",0,0,0,0,0
"Baldwin City Public Library","Read and listen - easy reader",0,0,0,0,0
"Baldwin City Public Library","Read and listen - fiction",0,0,0,0,0
"Baldwin City Public Library","Read and listen - non-fiction",0,0,0,0,0
"Baldwin City Public Library","Read and listen - picture book",0,0,0,0,0
"Baldwin City Public Library","Record player",0,0,0,0,0
"Baldwin City Public Library","Recreation : athletic / sports equipment",0,0,0,0,0
"Baldwin City Public Library","Recreation : basketball equipment",0,0,0,0,0
"Baldwin City Public Library","Recreation : fishing equipment",0,0,0,0,0
"Baldwin City Public Library","Recreation : football equipment",0,0,0,0,0
"Baldwin City Public Library","Recreation : softball / baseball equipment",0,0,0,0,0
"Baldwin City Public Library","Recreation : tennis equipment",0,0,0,0,0
"Baldwin City Public Library",Reference,0,0,0,0,0
"Baldwin City Public Library",Romance,0,0,0,0,0
"Baldwin City Public Library","Sci Fi-Fantasy",13,13,0,0,0
"Baldwin City Public Library",Software,0,0,0,0,0
"Baldwin City Public Library",Spanish,0,0,0,0,0
"Baldwin City Public Library","Special collection - Dyslexic and Autistic Reading Engagement",2,0,0,2,0
"Baldwin City Public Library","Sports & Recreation",0,0,0,0,0
"Baldwin City Public Library",VG--Videogame,2,0,0,2,0
"Baldwin City Public Library",VG-Gameboy,0,0,0,0,0
"Baldwin City Public Library","VG-Nintendo 3DS",0,0,0,0,0
"Baldwin City Public Library","VG-Nintendo DS",0,0,0,0,0
"Baldwin City Public Library","VG-Nintendo Gamecube",0,0,0,0,0
"Baldwin City Public Library","VG-Nintendo Switch",0,0,0,0,0
"Baldwin City Public Library","VG-Nintendo Wii",2,2,0,0,0
"Baldwin City Public Library","VG-Nintendo Wii U",0,0,0,0,0
"Baldwin City Public Library","VG-PlayStation 2 (PS2)",0,0,0,0,0
"Baldwin City Public Library","VG-PlayStation 3 (PS3)",0,0,0,0,0
"Baldwin City Public Library","VG-PlayStation 4 (PS4)",0,0,0,0,0
"Baldwin City Public Library","VG-PlayStation 5 (PS5)",0,0,0,0,0
"Baldwin City Public Library","VG-PlayStation Portable (PSP)",0,0,0,0,0
"Baldwin City Public Library",VG-XBox,0,0,0,0,0
"Baldwin City Public Library","VG-XBox 360",0,0,0,0,0
"Baldwin City Public Library","VG-XBox One",0,0,0,0,0
"Baldwin City Public Library","VG-XBox X",0,0,0,0,0
"Baldwin City Public Library","Video (Blu-ray)",1,0,0,1,0
"Baldwin City Public Library","Video (Blu-ray/DVD combined edition)",0,0,0,0,0
"Baldwin City Public Library","Video (DVD)",319,210,3,106,0
"Baldwin City Public Library","Video (media player)",0,0,0,0,0
"Baldwin City Public Library","Video (VHS cassette)",0,0,0,0,0
"Baldwin City Public Library","Video-TV series (Blu-ray)",1,1,0,0,0
"Baldwin City Public Library","Video-TV series (Blu-ray/DVD combined edition)",0,0,0,0,0
"Baldwin City Public Library","Video-TV series (DVD)",37,37,0,0,0
"Baldwin City Public Library","Video-TV series (media player)",0,0,0,0,0
"Baldwin City Public Library",Western,0,0,0,0,0
"Basehor Community Library",(Unclassified),0,0,0,0,0
"Basehor Community Library","Action & Adventure",0,0,0,0,0
"Basehor Community Library","Adult literacy",0,0,0,0,0
"Basehor Community Library","African American history and literature",0,0,0,0,0
"Basehor Community Library","Archival materials",0,0,0,0,0
"Basehor Community Library",Atlas,0,0,0,0,0
"Basehor Community Library","Audio-visual equipment",0,0,0,0,0
"Basehor Community Library","Audiobook (cassette)",0,0,0,0,0
"Basehor Community Library","Audiobook (CD)",138,112,1,25,0
"Basehor Community Library","Audiobook (downloadable)",0,0,0,0,0
"Basehor Community Library","Audiobook (media player)",139,40,3,96,0
"Basehor Community Library",Bakeware,0,0,0,0,0
"Basehor Community Library","Battle of the books",0,0,0,0,0
"Basehor Community Library",Bicycle,0,0,0,0,0
"Basehor Community Library",Bilingual,0,0,0,0,0
"Basehor Community Library",Binder,0,0,0,0,0
"Basehor Community Library",Biography,127,60,2,65,0
"Basehor Community Library","Blu-ray player",0,0,0,0,0
"Basehor Community Library","Board Book",235,0,1,233,1
"Basehor Community Library","Chapter Books",0,0,0,0,0
"Basehor Community Library",Classics,0,0,0,0,0
"Basehor Community Library","Contemporary Issues",0,0,0,0,0
"Basehor Community Library","Downloadable Book",0,0,0,0,0
"Basehor Community Library","Downloadable Graphic Novel",0,0,0,0,0
"Basehor Community Library","Downloadable Magazine",0,0,0,0,0
"Basehor Community Library","Downloadable Movie",0,0,0,0,0
"Basehor Community Library","Downloadable Music",0,0,0,0,0
"Basehor Community Library","Downloadable TV Show",0,0,0,0,0
"Basehor Community Library","Easy Reader",390,0,1,389,0
"Basehor Community Library",Education,1,0,0,1,0
"Basehor Community Library",Fiction,2320,1241,356,722,1
"Basehor Community Library",Gadget,6,5,1,0,0
"Basehor Community Library",Genealogy,0,0,0,0,0
"Basehor Community Library","Graphic Novel",981,4,655,321,1
"Basehor Community Library","Historical ",1,1,0,0,0
"Basehor Community Library",Holiday,10,1,0,9,0
"Basehor Community Library","Holiday video",0,0,0,0,0
"Basehor Community Library",Inspirational,6,6,0,0,0
"Basehor Community Library","Interlibrary Loan",1,0,0,1,0
"Basehor Community Library",Kansas,3,3,0,0,0
"Basehor Community Library","Kansas notable books",0,0,0,0,0
"Basehor Community Library","Large Print",392,392,0,0,0
"Basehor Community Library","Large Print Non-Fiction",2,2,0,0,0
"Basehor Community Library",LGBTQ+,0,0,0,0,0
"Basehor Community Library","Lynda.com course",0,0,0,0,0
"Basehor Community Library",Magazine,107,77,1,29,0
"Basehor Community Library",Map,0,0,0,0,0
"Basehor Community Library","McNaughton Fiction",0,0,0,0,0
"Basehor Community Library","McNaughton Non-fiction",1,1,0,0,0
"Basehor Community Library",Miscellaneous,8,1,0,7,0
"Basehor Community Library","Music : compact disc",21,14,0,7,0
"Basehor Community Library","Music : record",0,0,0,0,0
"Basehor Community Library","Musical instrument : brass instruments",0,0,0,0,0
"Basehor Community Library","Musical instrument : drums and percussion",0,0,0,0,0
"Basehor Community Library","Musical instrument : misceleaneous",0,0,0,0,0
"Basehor Community Library","Musical instrument : stringed instruments",0,0,0,0,0
"Basehor Community Library","Musical instrument : woodwind instruments",0,0,0,0,0
"Basehor Community Library",Mystery,23,23,0,0,0
"Basehor Community Library",Mystery-Cozy,0,0,0,0,0
"Basehor Community Library",Non-Fiction,935,392,15,524,4
"Basehor Community Library","On Display",0,0,0,0,0
"Basehor Community Library","Online Resource",0,0,0,0,0
"Basehor Community Library",Oversize,0,0,0,0,0
"Basehor Community Library",Paperback,0,0,0,0,0
"Basehor Community Library",Parenting,0,0,0,0,0
"Basehor Community Library","Periodical - Comic books",0,0,0,0,0
"Basehor Community Library","Picture Book",1679,2,0,1677,0
"Basehor Community Library","Professional Collection",0,0,0,0,0
"Basehor Community Library","Public Computer",1,1,0,0,0
"Basehor Community Library","Puzzles & Board Games",6,6,0,0,0
"Basehor Community Library","Read and listen - easy reader",0,0,0,0,0
"Basehor Community Library","Read and listen - fiction",5,0,0,5,0
"Basehor Community Library","Read and listen - non-fiction",0,0,0,0,0
"Basehor Community Library","Read and listen - picture book",100,0,0,98,2
"Basehor Community Library","Record player",0,0,0,0,0
"Basehor Community Library","Recreation : athletic / sports equipment",0,0,0,0,0
"Basehor Community Library","Recreation : basketball equipment",0,0,0,0,0
"Basehor Community Library","Recreation : fishing equipment",0,0,0,0,0
"Basehor Community Library","Recreation : football equipment",0,0,0,0,0
"Basehor Community Library","Recreation : softball / baseball equipment",0,0,0,0,0
"Basehor Community Library","Recreation : tennis equipment",0,0,0,0,0
"Basehor Community Library",Reference,0,0,0,0,0
"Basehor Community Library",Romance,6,6,0,0,0
"Basehor Community Library","Sci Fi-Fantasy",8,8,0,0,0
"Basehor Community Library",Software,0,0,0,0,0
"Basehor Community Library",Spanish,4,2,2,0,0
"Basehor Community Library","Special collection - Dyslexic and Autistic Reading Engagement",0,0,0,0,0
"Basehor Community Library","Sports & Recreation",0,0,0,0,0
"Basehor Community Library",VG--Videogame,2,0,2,0,0
"Basehor Community Library",VG-Gameboy,0,0,0,0,0
"Basehor Community Library","VG-Nintendo 3DS",0,0,0,0,0
"Basehor Community Library","VG-Nintendo DS",0,0,0,0,0
"Basehor Community Library","VG-Nintendo Gamecube",0,0,0,0,0
"Basehor Community Library","VG-Nintendo Switch",121,17,18,86,0
"Basehor Community Library","VG-Nintendo Wii",22,1,3,18,0
"Basehor Community Library","VG-Nintendo Wii U",3,2,0,1,0
"Basehor Community Library","VG-PlayStation 2 (PS2)",0,0,0,0,0
"Basehor Community Library","VG-PlayStation 3 (PS3)",3,3,0,0,0
"Basehor Community Library","VG-PlayStation 4 (PS4)",31,4,15,12,0
"Basehor Community Library","VG-PlayStation 5 (PS5)",5,5,0,0,0
"Basehor Community Library","VG-PlayStation Portable (PSP)",0,0,0,0,0
"Basehor Community Library",VG-XBox,0,0,0,0,0
"Basehor Community Library","VG-XBox 360",15,2,8,5,0
"Basehor Community Library","VG-XBox One",3,0,3,0,0
"Basehor Community Library","VG-XBox X",1,1,0,0,0
"Basehor Community Library","Video (Blu-ray)",263,263,0,0,0
"Basehor Community Library","Video (Blu-ray/DVD combined edition)",41,40,0,1,0
"Basehor Community Library","Video (DVD)",832,631,3,197,1
"Basehor Community Library","Video (media player)",0,0,0,0,0
"Basehor Community Library","Video (VHS cassette)",0,0,0,0,0
"Basehor Community Library","Video-TV series (Blu-ray)",8,8,0,0,0
"Basehor Community Library","Video-TV series (Blu-ray/DVD combined edition)",0,0,0,0,0
"Basehor Community Library","Video-TV series (DVD)",142,135,0,7,0
"Basehor Community Library","Video-TV series (media player)",0,0,0,0,0
"Basehor Community Library",Western,53,53,0,0,0
"Bern Community Library",(Unclassified),0,0,0,0,0
"Bern Community Library","Action & Adventure",0,0,0,0,0
"Bern Community Library","Adult literacy",0,0,0,0,0
"Bern Community Library","African American history and literature",0,0,0,0,0
"Bern Community Library","Archival materials",0,0,0,0,0
"Bern Community Library",Atlas,0,0,0,0,0
"Bern Community Library","Audio-visual equipment",0,0,0,0,0
"Bern Community Library","Audiobook (cassette)",0,0,0,0,0
"Bern Community Library","Audiobook (CD)",27,27,0,0,0
"Bern Community Library","Audiobook (downloadable)",0,0,0,0,0
"Bern Community Library","Audiobook (media player)",1,1,0,0,0
"Bern Community Library",Bakeware,0,0,0,0,0
"Bern Community Library","Battle of the books",0,0,0,0,0
"Bern Community Library",Bicycle,0,0,0,0,0
"Bern Community Library",Bilingual,0,0,0,0,0
"Bern Community Library",Binder,0,0,0,0,0
"Bern Community Library",Biography,7,5,2,0,0
"Bern Community Library","Blu-ray player",0,0,0,0,0
"Bern Community Library","Board Book",6,0,0,6,0
"Bern Community Library","Chapter Books",0,0,0,0,0
"Bern Community Library",Classics,0,0,0,0,0
"Bern Community Library","Contemporary Issues",0,0,0,0,0
"Bern Community Library","Downloadable Book",0,0,0,0,0
"Bern Community Library","Downloadable Graphic Novel",0,0,0,0,0
"Bern Community Library","Downloadable Magazine",0,0,0,0,0
"Bern Community Library","Downloadable Movie",0,0,0,0,0
"Bern Community Library","Downloadable Music",0,0,0,0,0
"Bern Community Library","Downloadable TV Show",0,0,0,0,0
"Bern Community Library","Easy Reader",18,1,0,17,0
"Bern Community Library",Education,0,0,0,0,0
"Bern Community Library",Fiction,60,29,7,24,0
"Bern Community Library",Gadget,0,0,0,0,0
"Bern Community Library",Genealogy,0,0,0,0,0
"Bern Community Library","Graphic Novel",0,0,0,0,0
"Bern Community Library","Historical ",0,0,0,0,0
"Bern Community Library",Holiday,0,0,0,0,0
"Bern Community Library","Holiday video",0,0,0,0,0
"Bern Community Library",Inspirational,14,14,0,0,0
"Bern Community Library","Interlibrary Loan",9,9,0,0,0
"Bern Community Library",Kansas,0,0,0,0,0
"Bern Community Library","Kansas notable books",0,0,0,0,0
"Bern Community Library","Large Print",20,20,0,0,0
"Bern Community Library","Large Print Non-Fiction",0,0,0,0,0
"Bern Community Library",LGBTQ+,0,0,0,0,0
"Bern Community Library","Lynda.com course",0,0,0,0,0
"Bern Community Library",Magazine,0,0,0,0,0
"Bern Community Library",Map,0,0,0,0,0
"Bern Community Library","McNaughton Fiction",0,0,0,0,0
"Bern Community Library","McNaughton Non-fiction",0,0,0,0,0
"Bern Community Library",Miscellaneous,0,0,0,0,0
"Bern Community Library","Music : compact disc",0,0,0,0,0
"Bern Community Library","Music : record",0,0,0,0,0
"Bern Community Library","Musical instrument : brass instruments",0,0,0,0,0
"Bern Community Library","Musical instrument : drums and percussion",0,0,0,0,0
"Bern Community Library","Musical instrument : misceleaneous",0,0,0,0,0
"Bern Community Library","Musical instrument : stringed instruments",0,0,0,0,0
"Bern Community Library","Musical instrument : woodwind instruments",0,0,0,0,0
"Bern Community Library",Mystery,9,9,0,0,0
"Bern Community Library",Mystery-Cozy,5,5,0,0,0
"Bern Community Library",Non-Fiction,13,4,0,9,0
"Bern Community Library","On Display",0,0,0,0,0
