branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5493,4207,1286,11605,2733,2759
"Baldwin City Public Library",2759,2110,649,3701,1264,1495
"Basehor Community Library",9422,6930,2492,15502,3723,5691
"Bern Community Library",85,74,11,280,65,20
"Bonner Springs City Library",6201,4479,1722,11858,2370,3830
"Burlingame Community Library",768,626,142,1197,482,286
"Carbondale City Library",670,574,96,958,400,270
"Centralia Community Library",270,215,55,352,213,57
"Corning City Library",24,18,6,89,21,3
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",139,115,24,243,101,32
"Doniphan County Library - Highland",462,433,29,902,384,75
"Doniphan County Library - Troy",696,534,162,2450,441,255
"Doniphan County Library - Wathena",544,394,150,710,270,274
"Effingham Community Library",212,156,56,445,118,94
"Eudora Community Library",1935,1342,593,2814,760,1175
"Everest, Barnes Reading Room",345,195,150,452,111,234
"Hiawatha, Morrill Public Library",2675,2144,531,3636,1140,1535
"Highland Community College",59,41,18,143,58,1
"Holton, Beck-Bookman Library",2057,1849,208,3061,1197,860
"Horton Public Library",140,122,18,301,109,31
"Lansing Community Library",2305,1768,537,3748,1089,1216
"Leavenworth Public Library",9537,7322,2215,19266,4919,4613
"Linwood Community Library",644,496,148,1286,249,395
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",890,622,268,1209,544,346
"McLouth Public Library",215,190,25,371,80,135
"Meriden-Ozawkie Public Library",2112,1680,432,3284,926,1184
"Northeast Kansas Library System",86,76,10,145,40,46
"Nortonville Public Library",291,225,66,673,77,214
"Osage City Library",2131,1928,203,3531,1520,611
"Osawatomie Public Library",1029,797,232,1848,711,317
"Oskaloosa Public Library",890,788,102,1378,515,375
"Ottawa Library",6408,5251,1157,8883,2959,3448
"Overbrook Public Library",860,731,129,2025,582,278
"Paola Free Library",2836,2179,657,3705,1428,1407
"Perry-Lecompton Community Library",116,95,21,372,48,68
"Pomona Community Library",308,278,30,435,58,250
"Prairie Hills Schools - Axtell Public School",529,484,45,720,12,517
"Prairie Hills Schools - Sabetha Elementary School",2168,1868,300,2054,5,2163
"Prairie Hills Schools - Sabetha High School",14,10,4,56,11,3
"Prairie Hills Schools - Sabetha Middle School",182,130,52,156,2,180
"Prairie Hills Schools - Wetmore Academic Center",346,281,65,357,47,299
"Richmond Public Library",406,368,38,738,290,115
"Rossville Community Library",1564,1305,259,2759,780,783
"Sabetha, Mary Cotton Library",3641,2818,823,5408,1095,2546
"Seneca Free Library",1360,1115,245,2361,659,701
"Silver Lake Library",1472,1062,410,2599,519,952
"Tonganoxie Public Library",3400,2847,553,4670,1616,1784
"Valley Falls, Delaware Township Library",527,400,127,688,342,185
"Wellsville City Library",1999,1433,566,2900,753,1246
"Wetmore Public Library",303,193,110,637,228,75
"Williamsburg Community Library",319,301,18,808,78,241
"Winchester Public Library",384,304,80,820,203,181
