branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",566,6397,45,98,78
"Baldwin City Public Library",298,3836,25,48,27
"Basehor Community Library",845,6374,44,153,68
"Bern Community Library",12,154,0,3,0
"Bonner Springs City Library",630,8150,41,108,104
"Burlingame Community Library",101,616,4,13,8
"Carbondale City Library",100,706,9,14,2
"Centralia Community Library",46,216,1,21,0
"Corning City Library",7,130,0,2,2
"Digital Content",0,38,0,0,0
"Doniphan County Library - Elwood",23,377,5,2,5
"Doniphan County Library - Highland",52,376,1,9,63
"Doniphan County Library - Troy",121,904,8,18,26
"Doniphan County Library - Wathena",57,549,4,6,11
"Effingham Community Library",37,309,4,3,1
"Eudora Community Library",203,1749,4,28,31
"Everest, Barnes Reading Room",23,124,0,1,1
"Hiawatha, Morrill Public Library",284,2545,15,44,28
"Highland Community College",26,9211,1,1,1
"Holton, Beck-Bookman Library",353,3985,18,40,29
"Horton Public Library",36,1169,3,9,16
"Lansing Community Library",295,3080,14,56,41
"Leavenworth Public Library",966,14449,89,178,160
"Linwood Community Library",67,608,5,14,8
"Louisburg Library",0,554,5,1,0
"Lyndon Carnegie Library",102,953,4,23,4
"McLouth Public Library",38,572,0,5,2
"Meriden-Ozawkie Public Library",191,1652,6,38,7
"Northeast Kansas Library System",14,317,10,9,1
"Nortonville Public Library",41,501,5,7,6
"Osage City Library",287,1949,18,35,26
"Osawatomie Public Library",218,2700,16,30,18
"Oskaloosa Public Library",145,1193,6,26,10
"Ottawa Library",723,8907,48,140,106
"Overbrook Public Library",131,1149,6,23,13
"Paola Free Library",474,5210,33,56,51
"Perry-Lecompton Community Library",15,223,0,3,4
"Pomona Community Library",25,369,1,3,3
"Prairie Hills Schools - Axtell Public School",118,237,2,0,0
"Prairie Hills Schools - Sabetha Elementary School",361,565,2,2,7
"Prairie Hills Schools - Sabetha High School",11,337,0,0,0
"Prairie Hills Schools - Sabetha Middle School",113,216,0,0,0
"Prairie Hills Schools - Wetmore Academic Center",81,191,1,0,0
"Richmond Public Library",37,223,2,6,1
"Rossville Community Library",214,1318,5,39,14
"Sabetha, Mary Cotton Library",284,1934,2,59,1
"Seneca Free Library",229,1628,9,33,52
"Silver Lake Library",191,1068,3,17,10
"Tonganoxie Public Library",473,4825,39,69,47
"Valley Falls, Delaware Township Library",67,565,1,16,3
"Wellsville City Library",169,1134,8,28,4
"Wetmore Public Library",23,321,2,4,2
"Williamsburg Community Library",50,647,1,3,2
"Winchester Public Library",46,728,2,3,5
