branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-11-01,2022-11-02,2022-11-03,2022-11-04,2022-11-05,2022-11-06,2022-11-07,2022-11-08,2022-11-09,2022-11-10,2022-11-11,2022-11-12,2022-11-13,2022-11-14,2022-11-15,2022-11-16,2022-11-17,2022-11-18,2022-11-19,2022-11-20,2022-11-21,2022-11-22,2022-11-23,2022-11-24,2022-11-25,2022-11-26,2022-11-27,2022-11-28,2022-11-29,2022-11-30,NA,"2022-11-01 - 2022-11-30"
" DAY",Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,NA,-
"Atchison Public Library",53,64,66,41,33,3,64,71,54,64,53,36,5,72,55,46,68,70,29,3,82,49,45,3,3,37,5,93,56,59,,566
"Baldwin City Public Library",42,43,31,31,24,1,43,32,17,34,4,24,1,47,22,38,36,32,12,1,41,42,24,1,5,25,4,38,36,36,,298
"Basehor Community Library",109,96,68,43,66,42,95,71,82,84,10,67,43,90,88,68,74,52,65,37,92,72,79,3,9,60,32,75,72,95,,844
"Bern Community Library",1,4,1,,2,,1,,1,,1,4,,1,,4,,,2,,2,,,1,,2,,1,1,2,,12
"Bonner Springs City Library",77,71,47,36,40,27,56,49,68,63,5,52,21,57,61,72,50,51,24,24,59,44,56,1,6,45,18,47,62,68,,630
"Burlingame Community Library",16,15,3,9,1,,16,24,6,8,1,6,1,14,10,11,13,11,6,,14,7,13,,5,8,1,13,7,9,,101
"Carbondale City Library",6,10,13,12,6,2,7,9,12,8,,8,,10,8,9,11,9,6,,7,15,9,,1,5,1,9,7,15,,100
"Centralia Community Library",,10,3,4,2,,11,,9,4,3,4,,6,,11,,2,2,,9,,9,,3,,,7,,7,,46
"Corning City Library",,1,,,1,,,,,,,2,,,,,,,,,,,1,,,1,,4,,,,7
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",2,,2,2,2,,1,3,2,1,2,,,2,3,2,1,3,,,4,1,4,,,,,3,,6,,23
"Doniphan County Library - Highland",7,9,9,6,3,,10,7,9,4,5,5,,5,8,11,8,5,3,,12,6,12,,,,,7,5,8,,52
"Doniphan County Library - Troy",9,9,22,8,5,,14,4,11,9,13,2,1,10,13,13,12,6,5,,11,25,14,,,1,,13,13,8,,121
"Doniphan County Library - Wathena",6,3,3,3,4,,6,4,6,6,2,1,,10,4,2,6,5,1,,7,7,2,,,,,10,30,4,,57
"Effingham Community Library",1,1,1,2,2,1,2,12,1,5,,,,3,3,2,5,1,6,,4,1,4,,,2,1,4,2,2,,37
"Eudora Community Library",19,22,22,18,13,1,25,33,23,12,2,28,1,29,19,25,40,14,15,2,31,22,1,1,1,3,3,41,23,17,,203
"Everest, Barnes Reading Room",3,3,3,4,2,,1,6,3,5,,1,,,4,,,1,4,,6,2,2,,,,,1,5,1,,23
"Hiawatha, Morrill Public Library",39,30,31,27,22,11,26,34,23,40,2,16,12,29,27,26,29,23,11,18,23,32,13,2,3,15,10,34,30,18,,284
"Highland Community College",1,3,3,4,,,6,3,4,2,2,,,1,5,5,,,,,,,,,,,,2,1,4,,26
"Holton, Beck-Bookman Library",29,27,35,27,14,,23,35,27,43,4,,,41,30,32,41,29,17,,32,36,38,,,,,58,42,38,,353
"Horton Public Library",2,1,3,5,,,5,,3,1,,,,1,1,1,2,4,,,3,7,9,,,,,4,3,2,,35
"Lansing Community Library",22,39,16,26,18,1,26,28,27,21,4,23,4,27,27,23,34,30,18,7,27,21,31,1,23,19,1,29,26,19,,295
"Leavenworth Public Library",101,106,85,82,57,39,98,99,92,70,8,87,34,132,108,107,102,76,67,40,108,92,77,5,17,90,30,127,93,101,,966
"Linwood Community Library",7,8,8,6,3,,9,7,7,2,13,1,,6,6,4,4,5,,2,5,8,10,,,,2,11,10,3,,67
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",7,12,10,,7,2,15,13,15,10,1,5,1,18,7,20,11,,4,,12,13,9,2,1,9,,11,11,8,,102
"McLouth Public Library",1,4,4,2,2,,6,8,1,3,1,2,,6,3,5,5,1,,,3,1,3,,,,,3,3,3,,38
"Meriden-Ozawkie Public Library",15,15,31,12,12,,28,24,22,23,18,10,,16,23,17,15,19,11,1,21,12,39,1,,1,1,25,18,23,,191
"Northeast Kansas Library System",2,4,2,,,,,5,4,,2,,,4,,,4,1,,,,2,,,,,,3,1,1,,14
"Nortonville Public Library",3,6,3,5,1,,1,3,2,4,2,4,,,5,7,3,4,1,,3,7,3,1,,1,,,6,5,,41
"Osage City Library",30,45,42,18,21,,27,35,43,37,,26,1,35,29,24,31,34,19,,33,34,35,,1,22,,51,46,26,,287
"Osawatomie Public Library",27,14,15,15,14,,26,19,29,14,,21,,33,15,9,16,20,15,1,29,20,23,,,,1,38,9,17,,218
"Oskaloosa Public Library",11,15,15,11,7,1,20,13,18,14,,10,,23,20,20,19,15,12,4,14,12,28,,2,9,1,22,13,18,,145
"Ottawa Library",70,70,80,54,29,3,68,69,73,80,55,29,2,61,53,74,69,50,32,6,56,69,61,1,2,39,6,70,68,77,,723
"Overbrook Public Library",11,7,14,13,6,,13,11,11,9,14,11,,15,19,17,11,14,7,,12,19,17,,1,10,2,9,13,9,,131
"Paola Free Library",62,49,51,38,26,4,53,51,36,65,,32,2,56,52,39,35,38,23,1,63,43,60,2,,34,2,58,61,41,,474
"Perry-Lecompton Community Library",2,,4,,3,,,6,,3,,1,,,,,4,,1,,,4,,1,,1,,,6,,,15
"Pomona Community Library",4,4,1,2,,,,2,2,2,3,1,,,4,3,8,1,3,,,2,,2,,,,1,,2,,25
"Prairie Hills Schools - Axtell Public School",11,26,20,11,,,24,21,31,29,10,,,12,6,17,12,4,,,21,19,,,,,,19,24,21,,118
"Prairie Hills Schools - Sabetha Elementary School",58,64,62,46,,,75,33,78,81,40,,,71,68,65,64,46,,,67,60,,,,,,73,72,63,,361
"Prairie Hills Schools - Sabetha High School",,,1,2,,,,,,1,,,,1,1,1,,1,,,1,,,,,,,2,,,,11
"Prairie Hills Schools - Sabetha Middle School",27,10,4,6,,,4,21,4,13,10,,,5,16,9,6,1,,,3,3,,,,,,8,9,8,,113
"Prairie Hills Schools - Wetmore Academic Center",,16,17,8,,,18,,18,16,,,,2,9,21,16,8,,,,19,,,,,,,,21,,81
"Richmond Public Library",1,10,7,6,7,,11,1,10,7,11,7,,6,,8,7,9,3,,10,,7,,,,,10,,9,,37
"Rossville Community Library",30,14,27,15,7,1,17,20,15,10,26,11,,14,26,18,48,37,4,2,21,14,14,,,7,,28,13,9,,214
"Sabetha, Mary Cotton Library",31,35,33,30,12,,34,28,22,30,26,14,3,26,18,18,28,42,6,,40,35,32,1,24,14,1,30,19,25,,284
"Seneca Free Library",16,30,28,18,4,,20,21,26,27,13,9,1,29,15,19,23,26,6,,40,11,20,,6,,,40,15,19,,229
"Silver Lake Library",24,18,12,23,5,3,17,43,19,39,14,14,,17,26,26,35,16,5,,11,40,31,,1,5,,13,14,31,,191
"Tonganoxie Public Library",31,46,42,33,23,10,30,42,39,45,52,30,7,42,39,36,33,46,32,10,43,47,47,1,15,22,10,46,55,40,,473
"Valley Falls, Delaware Township Library",5,10,7,5,4,,7,6,11,5,6,2,1,7,4,10,7,12,1,,5,7,6,,5,6,,5,5,4,,67
"Wellsville City Library",18,25,23,16,9,,19,15,26,14,16,20,,18,13,19,21,21,7,,19,21,21,1,1,,,14,22,23,,169
"Wetmore Public Library",1,2,1,1,2,,2,2,4,4,6,1,,2,2,2,,5,1,,3,1,6,,,1,,3,,3,,23
"Williamsburg Community Library",2,12,,,,,10,6,6,1,,1,,,6,9,1,1,1,,4,2,6,,,,,4,1,6,,50
"Winchester Public Library",5,2,4,2,1,,10,5,8,5,6,3,,3,1,4,6,4,2,,7,5,5,1,,,,7,6,4,,46
