branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",955,814
"Baldwin City Public Library",394,304
"Basehor Community Library",720,902
"Bern Community Library",83,14
"Bonner Springs City Library",928,937
"Burlingame Community Library",149,132
"Carbondale City Library",162,91
"Centralia Community Library",63,26
"Corning City Library",29,3
"Digital Content",0,0
"Doniphan County Library - Elwood",51,20
"Doniphan County Library - Highland",167,179
"Doniphan County Library - Troy",260,92
"Doniphan County Library - Wathena",149,52
"Effingham Community Library",118,29
"Eudora Community Library",321,413
"Everest, Barnes Reading Room",34,101
"Hiawatha, Morrill Public Library",299,504
"Highland Community College",33,1
"Holton, Beck-Bookman Library",307,395
"Horton Public Library",59,17
"Lansing Community Library",495,422
"Leavenworth Public Library",1009,1185
"Linwood Community Library",260,103
"Louisburg Library",0,0
"Lyndon Carnegie Library",184,182
"McLouth Public Library",33,70
"Meriden-Ozawkie Public Library",385,501
"Northeast Kansas Library System",23,29
"Nortonville Public Library",211,41
"Osage City Library",419,510
"Osawatomie Public Library",362,277
"Oskaloosa Public Library",102,204
"Ottawa Library",656,713
"Overbrook Public Library",364,144
"Paola Free Library",294,355
"Perry-Lecompton Community Library",124,55
"Pomona Community Library",7,150
"Prairie Hills Schools - Axtell Public School",70,21
"Prairie Hills Schools - Sabetha Elementary School",25,64
"Prairie Hills Schools - Sabetha High School",18,4
"Prairie Hills Schools - Sabetha Middle School",4,0
"Prairie Hills Schools - Wetmore Academic Center",49,0
"Richmond Public Library",129,67
"Rossville Community Library",455,291
"Sabetha, Mary Cotton Library",479,520
"Seneca Free Library",473,168
"Silver Lake Library",91,306
"Tonganoxie Public Library",408,364
"Valley Falls, Delaware Township Library",58,111
"Wellsville City Library",425,314
"Wetmore Public Library",105,148
"Williamsburg Community Library",195,26
"Winchester Public Library",159,104
