branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",891,1103
"Baldwin City Public Library",359,395
"Basehor Community Library",887,854
"Bern Community Library",122,24
"Bonner Springs City Library",1026,785
"Burlingame Community Library",229,116
"Carbondale City Library",148,91
"Centralia Community Library",54,38
"Corning City Library",31,0
"Digital Content",0,0
"Doniphan County Library - Elwood",32,47
"Doniphan County Library - Highland",108,116
"Doniphan County Library - Troy",289,98
"Doniphan County Library - Wathena",244,116
"Effingham Community Library",168,45
"Eudora Community Library",365,410
"Everest, Barnes Reading Room",76,47
"Hiawatha, Morrill Public Library",323,427
"Highland Community College",61,6
"Holton, Beck-Bookman Library",339,359
"Horton Public Library",84,17
"Lansing Community Library",347,428
"Leavenworth Public Library",1018,1233
"Linwood Community Library",341,137
"Louisburg Library",0,0
"Lyndon Carnegie Library",124,211
"McLouth Public Library",54,40
"Meriden-Ozawkie Public Library",312,350
"Northeast Kansas Library System",9,23
"Nortonville Public Library",273,37
"Osage City Library",368,382
"Osawatomie Public Library",401,245
"Oskaloosa Public Library",71,129
"Ottawa Library",600,716
"Overbrook Public Library",387,201
"Paola Free Library",249,388
"Perry-Lecompton Community Library",135,8
"Pomona Community Library",44,51
"Prairie Hills Schools - Axtell Public School",1,0
"Prairie Hills Schools - Sabetha Elementary School",0,0
"Prairie Hills Schools - Sabetha High School",2,0
"Prairie Hills Schools - Sabetha Middle School",0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",129,65
"Rossville Community Library",474,274
"Sabetha, Mary Cotton Library",425,453
"Seneca Free Library",429,161
"Silver Lake Library",200,222
"Tonganoxie Public Library",404,563
"Valley Falls, Delaware Township Library",95,160
"Wellsville City Library",423,266
"Wetmore Public Library",207,116
"Williamsburg Community Library",192,19
"Winchester Public Library",168,154
