Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4764,1697,6461
"Baldwin City Public Library",3142,542,3684
"Basehor Community Library",10324,1342,11666
"Bern Community Library",170,90,260
"Bonner Springs City Library",6374,1085,7459
"Burlingame Community Library",441,163,604
"Carbondale City Library",805,128,933
"Centralia Community Library",409,54,463
"Corning City Library",24,,24
"Digital Content",,,
"Doniphan County Library - Elwood",149,22,171
"Doniphan County Library - Highland",344,139,483
"Doniphan County Library - Troy",604,129,733
"Doniphan County Library - Wathena",471,143,614
"Effingham Community Library",360,45,405
"Eudora Community Library",2059,534,2593
"Everest, Barnes Reading Room",74,53,127
"Hiawatha, Morrill Public Library",2286,586,2872
"Highland Community College",5,6,11
"Holton, Beck-Bookman Library",2061,451,2512
"Horton Public Library",158,22,180
"Lansing Community Library",2660,647,3307
"Leavenworth Public Library",9781,1711,11492
"Linwood Community Library",1030,230,1260
"Louisburg Library",,,
"Lyndon Carnegie Library",492,313,805
"McLouth Public Library",178,55,233
"Meriden-Ozawkie Public Library",1903,503,2406
"Northeast Kansas Library System",30,91,121
"Nortonville Public Library",308,42,350
"Osage City Library",1894,444,2338
"Osawatomie Public Library",1208,351,1559
"Oskaloosa Public Library",669,166,835
"Ottawa Library",8558,910,9468
"Overbrook Public Library",1122,246,1368
"Paola Free Library",3377,548,3925
"Perry-Lecompton Community Library",223,8,231
"Pomona Community Library",126,64,190
"Prairie Hills Schools - Axtell Public School",,,
"Prairie Hills Schools - Sabetha Elementary School",,,
"Prairie Hills Schools - Sabetha High School",,,
"Prairie Hills Schools - Sabetha Middle School",,,
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",426,75,501
"Rossville Community Library",1598,409,2007
"Sabetha, Mary Cotton Library",3416,732,4148
"Seneca Free Library",2396,205,2601
"Silver Lake Library",1290,322,1612
"Tonganoxie Public Library",4083,771,4854
"Valley Falls, Delaware Township Library",573,213,786
"Wellsville City Library",1535,361,1896
"Wetmore Public Library",235,194,429
"Williamsburg Community Library",242,25,267
"Winchester Public Library",369,205,574
