branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",669,6397,71,144,43
"Baldwin City Public Library",372,3823,37,72,22
"Basehor Community Library",1073,6477,80,223,56
"Bern Community Library",29,156,0,0,0
"Bonner Springs City Library",800,8443,71,167,242
"Burlingame Community Library",85,619,12,19,5
"Carbondale City Library",120,680,17,16,2
"Centralia Community Library",48,211,0,16,0
"Corning City Library",13,144,0,3,1
"Digital Content",0,36,0,0,2
"Doniphan County Library - Elwood",26,505,10,8,24
"Doniphan County Library - Highland",62,480,1,11,8
"Doniphan County Library - Troy",160,1078,7,37,23
"Doniphan County Library - Wathena",66,592,1,14,98
"Effingham Community Library",46,318,4,5,2
"Eudora Community Library",257,2147,27,49,15
"Everest, Barnes Reading Room",19,128,0,5,0
"Hiawatha, Morrill Public Library",359,2616,16,87,24
"Highland Community College",4,7836,0,4,1
"Holton, Beck-Bookman Library",364,3993,23,61,20
"Horton Public Library",44,1203,14,8,11
"Lansing Community Library",430,3156,56,93,20
"Leavenworth Public Library",1148,15043,255,298,144
"Linwood Community Library",93,627,9,18,2
"Louisburg Library",0,534,8,1,1
"Lyndon Carnegie Library",114,966,8,18,4
"McLouth Public Library",42,550,5,8,7
"Meriden-Ozawkie Public Library",222,1646,11,47,7
"Northeast Kansas Library System",35,322,0,2,1
"Nortonville Public Library",54,514,2,8,2
"Osage City Library",319,2106,15,44,16
"Osawatomie Public Library",258,2735,24,52,15
"Oskaloosa Public Library",165,1225,13,28,16
"Ottawa Library",943,12097,93,199,69
"Overbrook Public Library",180,1172,5,30,6
"Paola Free Library",609,5316,65,106,45
"Perry-Lecompton Community Library",48,232,6,2,2
"Pomona Community Library",30,370,3,6,4
"Prairie Hills Schools - Axtell Public School",0,210,0,0,0
"Prairie Hills Schools - Sabetha Elementary School",0,524,0,0,0
"Prairie Hills Schools - Sabetha High School",0,285,0,0,0
"Prairie Hills Schools - Sabetha Middle School",0,195,0,1,0
"Prairie Hills Schools - Wetmore Academic Center",0,188,0,0,0
"Richmond Public Library",41,219,3,5,1
"Rossville Community Library",229,1321,13,39,9
"Sabetha, Mary Cotton Library",309,1902,16,49,0
"Seneca Free Library",343,1708,18,53,12
"Silver Lake Library",209,1075,15,34,8
"Tonganoxie Public Library",628,4862,82,101,37
"Valley Falls, Delaware Township Library",74,568,9,9,7
"Wellsville City Library",198,1117,17,46,3
"Wetmore Public Library",30,323,2,3,4
"Williamsburg Community Library",43,662,6,6,1
"Winchester Public Library",62,741,1,13,4
