branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28,2022-07-29,2022-07-30,2022-07-31,"2022-07-01 - 2022-07-31"
" DAY",Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,-
"Atchison Public Library",66,34,2,7,83,85,75,61,47,4,78,72,83,63,64,30,5,84,70,62,88,64,26,4,67,77,79,75,56,42,5,669
"Baldwin City Public Library",49,13,4,10,48,55,47,32,23,,51,46,59,50,29,11,2,52,27,33,44,26,17,1,35,35,30,36,38,27,4,372
"Basehor Community Library",73,63,27,5,114,148,107,82,58,45,91,104,112,103,71,57,46,95,126,100,103,73,57,37,126,122,87,102,71,50,52,1072
"Bern Community Library",2,3,1,,2,5,2,,2,,,,5,1,1,3,,7,,5,1,,5,,4,1,2,1,3,2,,29
"Bonner Springs City Library",41,37,19,8,74,81,55,63,43,17,84,81,74,76,59,44,12,80,84,83,50,61,42,22,77,76,77,64,56,59,30,800
"Burlingame Community Library",5,5,3,,1,11,9,7,3,1,9,6,9,11,5,9,,6,5,14,8,13,10,,13,9,15,15,8,9,,85
"Carbondale City Library",11,,,,13,17,12,13,7,,11,8,8,20,12,7,,8,12,12,16,9,6,,10,8,7,13,12,6,,120
"Centralia Community Library",5,1,,,,6,3,6,3,,7,,8,6,10,4,,7,,9,2,6,7,,6,,4,4,7,1,,48
"Corning City Library",,1,,,,2,,,1,,,,1,,,3,,3,,4,,,1,,,,1,,,2,,13
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",1,,,,1,,2,1,,,1,6,,3,1,,,2,1,,6,4,,,2,5,,1,4,,,26
"Doniphan County Library - Highland",10,,,,8,12,7,8,5,,8,2,8,6,5,2,,6,8,19,6,5,5,,10,4,6,6,9,2,,62
"Doniphan County Library - Troy",18,,,,13,13,19,15,3,,16,12,11,16,16,5,,55,15,13,25,12,4,,16,14,13,8,10,3,1,160
"Doniphan County Library - Wathena",6,,,,7,12,7,6,3,,14,4,8,4,4,2,,8,3,5,8,4,2,,4,9,4,2,5,1,,66
"Effingham Community Library",4,4,,,3,11,4,6,4,,5,4,8,3,6,2,,1,7,8,3,1,1,,7,,11,6,2,,,46
"Eudora Community Library",29,2,4,2,44,43,26,29,17,3,44,31,36,28,21,21,1,37,26,29,14,22,13,2,22,30,38,22,19,21,3,257
"Everest, Barnes Reading Room",2,1,,,1,2,1,3,1,,,1,2,3,1,,,,2,3,2,2,3,,,,9,1,1,1,,19
"Hiawatha, Morrill Public Library",26,16,10,,43,43,42,16,18,13,43,24,40,41,33,14,15,38,27,29,42,25,25,7,35,33,29,47,30,13,14,359
"Highland Community College",,,,,,1,,,,,1,,,1,,,,3,1,1,,,,,,1,,,,,,4
"Holton, Beck-Bookman Library",29,,,,56,35,40,23,23,,42,29,24,38,28,7,,49,37,31,27,46,16,,39,45,22,34,29,14,,364
"Horton Public Library",5,,,,6,1,7,4,,,5,2,4,1,4,,,6,7,2,5,4,,,4,4,5,3,4,,,43
"Lansing Community Library",47,3,1,3,51,39,44,50,20,1,28,30,34,52,45,25,,43,53,35,34,25,20,2,44,35,22,35,41,19,4,430
"Leavenworth Public Library",85,77,4,8,140,127,98,82,84,10,114,127,115,96,41,67,5,118,122,132,126,83,67,2,124,124,110,102,19,96,13,1148
"Linwood Community Library",7,3,2,,17,7,12,6,5,,9,12,8,12,11,3,,18,4,6,12,13,5,1,11,9,12,7,8,3,1,93
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",,14,,,8,13,13,,10,,13,18,10,9,,9,1,16,7,6,10,,8,,16,9,13,9,,6,1,114
"McLouth Public Library",4,5,,,4,6,4,3,1,,4,6,5,4,6,1,,5,2,5,1,4,2,,3,2,8,1,7,1,,42
"Meriden-Ozawkie Public Library",24,,2,1,37,24,33,27,7,,21,30,19,37,25,11,1,18,22,24,20,29,12,1,15,25,19,28,10,1,,222
"Northeast Kansas Library System",,,,,,4,,3,,,3,2,2,2,1,,,26,,2,1,4,,,1,,5,2,,,,35
"Nortonville Public Library",6,,,,10,4,9,2,3,,,9,3,11,8,3,,,8,7,9,6,1,,,9,3,5,5,3,,54
"Osage City Library",34,20,,,46,41,35,27,23,1,33,59,29,39,32,17,,46,41,44,30,30,27,,48,35,32,31,21,15,,319
"Osawatomie Public Library",25,8,1,3,36,29,29,31,14,,30,27,24,31,24,18,,34,26,23,36,22,9,1,57,30,19,24,19,11,1,258
"Oskaloosa Public Library",18,12,1,1,22,18,9,21,7,1,17,23,14,17,11,10,,18,15,18,23,15,10,,19,12,16,21,12,8,,165
"Ottawa Library",86,39,1,3,121,106,82,104,26,1,113,87,73,79,64,34,6,127,84,87,87,112,30,6,91,84,79,73,73,27,4,943
"Overbrook Public Library",18,7,,1,20,20,20,16,14,,17,17,13,27,6,5,,22,29,19,17,14,5,,16,13,17,17,15,8,1,180
"Paola Free Library",32,42,,1,80,54,61,49,56,2,53,84,63,68,51,29,,55,58,73,70,46,25,1,60,75,45,50,52,22,,609
"Perry-Lecompton Community Library",,2,,,8,,16,,1,2,1,7,,13,,,,,3,,13,,4,,,1,,3,,,,48
"Pomona Community Library",4,,,,2,3,3,9,,,,1,2,3,5,,,,3,6,3,4,,,,1,2,2,4,,1,30
"Prairie Hills Schools - Axtell Public School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha Elementary School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha High School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Sabetha Middle School",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prairie Hills Schools - Wetmore Academic Center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",12,10,,1,,15,1,1,,,6,,10,3,13,5,,6,,6,9,8,6,,9,,8,10,6,2,,41
"Rossville Community Library",26,11,1,1,24,25,19,21,7,1,37,27,28,31,26,2,,24,18,11,19,19,4,,27,19,19,34,26,3,1,229
"Sabetha, Mary Cotton Library",26,15,,1,39,34,25,36,13,1,23,33,35,27,30,14,1,43,34,32,38,34,17,,37,27,26,27,30,15,,309
"Seneca Free Library",23,14,3,2,39,43,25,29,11,1,41,33,35,26,30,5,1,36,43,29,25,25,14,1,37,37,31,33,16,10,1,343
"Silver Lake Library",16,7,,1,48,23,29,13,4,2,21,32,21,30,24,8,,13,22,30,29,32,14,,32,23,23,33,28,17,1,209
"Tonganoxie Public Library",58,33,13,6,47,60,65,44,32,19,70,64,69,57,50,36,14,49,80,67,53,30,26,9,52,52,57,52,48,19,15,628
"Valley Falls, Delaware Township Library",4,2,,,5,10,7,4,6,1,4,7,9,7,3,3,1,8,8,7,5,11,1,1,9,8,5,2,7,,,74
"Wellsville City Library",24,9,1,,19,25,18,30,6,,18,25,31,16,16,9,,23,20,18,12,26,7,,23,16,46,16,19,11,,198
"Wetmore Public Library",3,,,,8,4,2,2,2,1,3,4,9,3,1,2,,5,2,4,3,6,1,,4,1,4,1,4,2,,30
"Williamsburg Community Library",,,,,2,7,,1,5,,6,6,7,3,1,1,,3,5,5,2,,1,,6,6,2,1,3,,,43
"Winchester Public Library",6,,,,17,3,7,7,2,1,7,5,4,4,9,3,,3,8,7,4,7,,,6,6,2,5,5,1,,62
