Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",3382,1344,4726
"Baldwin City Public Library",2384,438,2822
"Basehor Community Library",6903,1029,7932
"Bern Community Library",143,61,204
"Bonner Springs City Library",4240,927,5167
"Burlingame Community Library",292,105,397
"Carbondale City Library",554,84,638
"Centralia Community Library",248,77,325
"Corning City Library",18,,18
"Digital Content",,,
"Doniphan County Library - Elwood",66,15,81
"Doniphan County Library - Highland",201,185,386
"Doniphan County Library - Troy",527,119,646
"Doniphan County Library - Wathena",271,80,351
"Effingham Community Library",250,53,303
"Eudora Community Library",1342,574,1916
"Everest, Barnes Reading Room",56,96,152
"Hiawatha, Morrill Public Library",1334,620,1954
"Highland Community College",20,,20
"Holton, Beck-Bookman Library",1508,399,1907
"Horton Public Library",127,46,173
"Lansing Community Library",1637,675,2312
"Leavenworth Public Library",7473,1586,9059
"Linwood Community Library",614,149,763
"Louisburg Library",,,
"Lyndon Carnegie Library",365,216,581
"McLouth Public Library",101,51,152
"Meriden-Ozawkie Public Library",1029,430,1459
"Northeast Kansas Library System",8,45,53
"Nortonville Public Library",226,63,289
"Osage City Library",1258,354,1612
"Osawatomie Public Library",703,326,1029
"Oskaloosa Public Library",445,160,605
"Ottawa Library",5435,780,6215
"Overbrook Public Library",785,198,983
"Paola Free Library",2822,413,3235
"Perry-Lecompton Community Library",35,28,63
"Pomona Community Library",106,52,158
"Prairie Hills Schools - Axtell Public School",234,15,249
"Prairie Hills Schools - Sabetha Elementary School",1323,41,1364
"Prairie Hills Schools - Sabetha High School",21,2,23
"Prairie Hills Schools - Sabetha Middle School",67,5,72
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,
"Richmond Public Library",393,84,477
"Rossville Community Library",1258,511,1769
"Sabetha, Mary Cotton Library",2630,1019,3649
"Seneca Free Library",1183,194,1377
"Silver Lake Library",921,539,1460
"Tonganoxie Public Library",2690,868,3558
"Valley Falls, Delaware Township Library",367,193,560
"Wellsville City Library",905,406,1311
"Wetmore Public Library",135,107,242
"Williamsburg Community Library",118,20,138
"Winchester Public Library",389,279,668
