branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",935,767
"Baldwin City Public Library",292,272
"Basehor Community Library",820,686
"Bern Community Library",66,22
"Bonner Springs City Library",1009,652
"Burlingame Community Library",142,101
"Carbondale City Library",121,53
"Centralia Community Library",60,53
"Corning City Library",32,0
"Digital Content",0,0
"Doniphan County Library - Elwood",40,22
"Doniphan County Library - Highland",124,167
"Doniphan County Library - Troy",132,109
"Doniphan County Library - Wathena",170,58
"Effingham Community Library",123,50
"Eudora Community Library",354,449
"Everest, Barnes Reading Room",63,62
"Hiawatha, Morrill Public Library",244,425
"Highland Community College",34,0
"Holton, Beck-Bookman Library",286,373
"Horton Public Library",93,34
"Lansing Community Library",243,495
"Leavenworth Public Library",768,1059
"Linwood Community Library",182,111
"Louisburg Library",0,0
"Lyndon Carnegie Library",152,148
"McLouth Public Library",71,31
"Meriden-Ozawkie Public Library",306,276
"Northeast Kansas Library System",12,38
"Nortonville Public Library",199,32
"Osage City Library",404,321
"Osawatomie Public Library",403,253
"Oskaloosa Public Library",69,121
"Ottawa Library",671,690
"Overbrook Public Library",336,143
"Paola Free Library",227,282
"Perry-Lecompton Community Library",77,19
"Pomona Community Library",57,58
"Prairie Hills Schools - Axtell Public School",53,7
"Prairie Hills Schools - Sabetha Elementary School",67,29
"Prairie Hills Schools - Sabetha High School",20,2
"Prairie Hills Schools - Sabetha Middle School",16,5
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0
"Richmond Public Library",111,74
"Rossville Community Library",479,302
"Sabetha, Mary Cotton Library",340,562
"Seneca Free Library",418,153
"Silver Lake Library",173,350
"Tonganoxie Public Library",324,650
"Valley Falls, Delaware Township Library",146,168
"Wellsville City Library",279,283
"Wetmore Public Library",147,112
"Williamsburg Community Library",115,20
"Winchester Public Library",126,254
