branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",4726,3396,1330,8939,2251,2475
"Baldwin City Public Library",2822,2070,752,3214,1271,1551
"Basehor Community Library",7932,5875,2057,14032,3419,4512
"Bern Community Library",204,123,81,354,146,58
"Bonner Springs City Library",5167,4016,1151,10528,2482,2685
"Burlingame Community Library",397,337,60,769,242,155
"Carbondale City Library",638,556,82,862,454,184
"Centralia Community Library",325,225,100,487,230,95
"Corning City Library",18,11,7,75,10,8
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",81,68,13,226,49,30
"Doniphan County Library - Highland",386,350,36,661,222,164
"Doniphan County Library - Troy",646,539,107,1855,395,251
"Doniphan County Library - Wathena",351,284,67,668,226,125
"Effingham Community Library",303,215,88,503,161,142
"Eudora Community Library",1916,1419,497,2868,803,1113
"Everest, Barnes Reading Room",152,112,40,367,47,105
"Hiawatha, Morrill Public Library",1954,1514,440,2761,933,1021
"Highland Community College",20,16,4,69,17,3
"Holton, Beck-Bookman Library",1907,1663,244,2805,1254,653
"Horton Public Library",173,155,18,350,129,44
"Lansing Community Library",2312,1856,456,3531,1095,1217
"Leavenworth Public Library",9059,6786,2273,18156,4961,4097
"Linwood Community Library",763,636,127,1274,334,429
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",581,430,151,999,333,248
"McLouth Public Library",152,108,44,309,79,73
"Meriden-Ozawkie Public Library",1459,1109,350,2155,661,797
"Northeast Kansas Library System",53,45,8,113,24,29
"Nortonville Public Library",289,207,82,629,143,146
"Osage City Library",1612,1428,184,2992,1184,428
"Osawatomie Public Library",1029,814,215,1962,670,359
"Oskaloosa Public Library",605,466,139,933,447,158
"Ottawa Library",6215,5232,983,12456,2824,3387
"Overbrook Public Library",983,834,149,1874,663,320
"Paola Free Library",3235,2481,754,3920,1545,1689
"Perry-Lecompton Community Library",63,42,21,279,32,31
"Pomona Community Library",158,147,11,431,32,126
"Prairie Hills Schools - Axtell Public School",249,234,15,600,9,240
"Prairie Hills Schools - Sabetha Elementary School",1364,1196,168,1736,8,1356
"Prairie Hills Schools - Sabetha High School",23,20,3,59,22,1
"Prairie Hills Schools - Sabetha Middle School",72,65,7,115,2,70
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0,0
"Richmond Public Library",477,427,50,829,375,102
"Rossville Community Library",1769,1229,540,2667,945,797
"Sabetha, Mary Cotton Library",3649,2603,1046,4300,1158,2491
"Seneca Free Library",1377,1062,315,2130,652,725
"Silver Lake Library",1460,954,506,2622,492,968
"Tonganoxie Public Library",3558,3049,509,5201,1925,1632
"Valley Falls, Delaware Township Library",560,467,93,933,315,245
"Wellsville City Library",1311,1124,187,2370,583,728
"Wetmore Public Library",242,226,16,700,173,69
"Williamsburg Community Library",138,123,15,526,84,54
"Winchester Public Library",668,535,133,1084,247,421
