BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",60308,60404,209,113,59363
"Baldwin City Public Library",27013,27127,152,38,26765
"Basehor Community Library",63785,63299,252,738,61210
"Bern Community Library",12685,12721,37,1,12441
"Bonner Springs City Library",59970,60196,456,230,58490
"Burlingame Community Library",13263,13287,28,4,13127
"Carbondale City Library",10070,10090,98,78,10019
"Centralia Community Library",8454,8431,48,71,8377
"Corning City Library",5436,5464,28,0,5380
"Digital Content",362,362,0,0,362
"Doniphan County Library - Elwood",2009,2009,1,1,1962
"Doniphan County Library - Highland",4570,4579,12,3,4457
"Doniphan County Library - Troy",10884,10884,19,19,10657
"Doniphan County Library - Wathena",8114,8110,16,20,7952
"Effingham Community Library",8639,8662,30,7,8563
"Eudora Community Library",15941,15728,80,293,15539
"Everest, Barnes Reading Room",7834,7840,16,10,7756
"Hiawatha, Morrill Public Library",31733,31621,22,134,30992
"Highland Community College",4327,4325,22,24,4059
"Holton, Beck-Bookman Library",25971,26035,82,18,25399
"Horton Public Library",14407,14259,160,308,13709
"Lansing Community Library",23831,23651,132,312,23273
"Leavenworth Public Library",90251,90724,641,168,84868
"Linwood Community Library",12410,12495,97,12,12245
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13958,13789,71,240,13566
"McLouth Public Library",4382,4290,35,127,4253
"Meriden-Ozawkie Public Library",16348,16415,165,98,16283
"Northeast Kansas Library System",883,891,8,0,710
"Nortonville Public Library",16174,16119,128,183,15789
"Osage City Library",21824,21568,115,371,21489
"Osawatomie Public Library",18023,17881,48,190,17741
"Oskaloosa Public Library",10772,10805,46,13,10604
"Ottawa Library",70719,70726,385,378,68513
"Overbrook Public Library",22136,22063,87,160,21725
"Paola Free Library",29421,29362,121,180,28295
"Perry-Lecompton Community Library",12954,13103,156,8,13085
"Pomona Community Library",7982,7993,13,2,7843
"Prairie Hills Schools - Axtell Public School",12794,12915,140,19,11510
"Prairie Hills Schools - Sabetha Elementary School",16706,16708,3,1,13457
"Prairie Hills Schools - Sabetha High School",3979,3978,0,1,3752
"Prairie Hills Schools - Sabetha Middle School",4739,4739,0,0,4225
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",13415,13413,0,2,9516
"Richmond Public Library",8088,8130,44,2,8089
"Rossville Community Library",16067,16085,92,74,15992
"Sabetha, Mary Cotton Library",29095,29159,79,15,28522
"Seneca Free Library",22692,22643,47,96,22548
"Silver Lake Library",10207,10240,113,80,9497
"Tonganoxie Public Library",27144,26057,178,1265,25788
"Valley Falls, Delaware Township Library",9912,9900,11,23,9842
"Wellsville City Library",23429,23291,137,275,22501
"Wetmore Public Library",11803,11808,6,1,11721
"Williamsburg Community Library",14720,14738,23,5,14603
"Winchester Public Library",11036,9922,14,1128,9841
