branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-12-01,2023-12-02,2023-12-03,2023-12-04,2023-12-05,2023-12-06,2023-12-07,2023-12-08,2023-12-09,2023-12-10,2023-12-11,2023-12-12,2023-12-13,2023-12-14,2023-12-15,2023-12-16,2023-12-17,2023-12-18,2023-12-19,2023-12-20,2023-12-21,2023-12-22,2023-12-23,2023-12-24,2023-12-25,2023-12-26,2023-12-27,2023-12-28,2023-12-29,2023-12-30,2023-12-31,"2023-12-01 - 2023-12-31"
" DAY",Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,-
"Prairie Hills Schools - Sabetha High School",1,,,1,2,1,1,1,,,2,,2,,8,,,2,1,1,,,,,,,,,,,,20
"Prairie Hills Schools - Sabetha Middle School",,,,16,4,2,3,1,,,12,3,2,7,3,,,12,4,,,,,,,,,,,,,56
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond Public Library",13,6,2,12,,14,9,12,,,8,1,18,11,1,1,,8,,14,9,7,3,,,3,8,9,11,,,45
"Rossville Community Library",21,5,2,22,23,18,28,14,8,1,46,24,24,16,29,2,,27,28,19,23,17,,,,4,45,17,19,5,,231
"Sabetha, Mary Cotton Library",36,20,1,31,33,26,20,22,21,3,30,28,33,25,21,13,2,31,35,36,16,26,18,,1,24,38,16,26,11,1,268
"Seneca Free Library",10,13,,25,31,21,28,17,11,,24,19,18,25,13,8,,20,24,22,22,15,7,,,2,23,26,20,1,2,207
"Silver Lake Library",16,2,1,38,23,20,18,24,4,2,31,39,20,17,17,3,,20,11,20,34,14,4,,,,18,53,21,4,1,167
"Tonganoxie Public Library",35,30,18,47,47,51,45,37,37,13,45,37,41,46,46,44,9,46,72,46,51,53,26,4,1,38,50,50,48,39,11,515
"Valley Falls, Delaware Township Library",6,6,,6,4,9,5,13,4,,5,7,6,4,14,3,1,5,6,8,4,8,1,1,,4,13,5,8,5,,64
"Wellsville City Library",21,10,1,21,13,10,16,27,4,1,20,17,7,17,9,11,1,23,14,17,21,12,,,,4,24,10,9,4,,138
"Wetmore Public Library",11,1,,6,1,3,4,2,3,,1,2,2,,3,3,,6,2,4,6,3,,,,2,3,4,5,,,32
"Williamsburg Community Library",,3,,2,1,6,1,,1,,2,2,10,1,,2,,4,1,4,1,,,,,,8,1,1,,,30
"Winchester Public Library",4,1,,11,4,6,8,7,4,,12,2,2,7,2,2,,8,7,7,7,13,1,,,,10,8,6,,,60
