branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",556,6864,32,99,5
"Baldwin City Public Library",303,4196,15,65,1
"Basehor Community Library",833,6890,33,145,2
"Bern Community Library",24,184,1,4,0
"Bonner Springs City Library",624,8385,40,103,6
"Burlingame Community Library",60,706,5,8,1
"Carbondale City Library",93,833,5,13,0
"Centralia Community Library",50,253,2,11,0
"Corning City Library",12,159,3,0,0
"Digital Content",0,26,0,0,7
"Doniphan County Library - Elwood",23,428,1,2,0
"Doniphan County Library - Highland",42,396,0,9,0
"Doniphan County Library - Troy",120,981,3,15,2
"Doniphan County Library - Wathena",53,576,0,11,0
"Effingham Community Library",34,351,1,4,0
"Eudora Community Library",205,2040,9,22,2
"Everest, Barnes Reading Room",22,166,0,4,0
"Hiawatha, Morrill Public Library",259,2658,9,37,1
"Highland Community College",10,10206,0,1,3
"Holton, Beck-Bookman Library",266,4166,8,35,0
"Horton Public Library",45,1243,13,8,2
"Lansing Community Library",352,3392,28,62,2
"Leavenworth Public Library",997,15626,103,179,7
"Linwood Community Library",97,679,7,16,0
"Louisburg Library",0,688,7,2,0
"Lyndon Carnegie Library",89,1021,4,17,0
"McLouth Public Library",30,634,2,7,0
"Meriden-Ozawkie Public Library",169,1918,8,25,0
"Northeast Kansas Library System",9,201,0,0,25
"Nortonville Public Library",42,539,4,5,0
"Osage City Library",253,2131,9,46,1
"Osawatomie Public Library",198,2890,7,27,1
"Oskaloosa Public Library",126,1249,4,21,1
"Ottawa Library",736,9344,85,128,2
"Overbrook Public Library",126,1229,2,17,0
"Paola Free Library",514,5555,56,82,17
"Perry-Lecompton Community Library",14,299,0,3,0
"Pomona Community Library",22,445,1,3,0
"Prairie Hills Schools - Axtell Public School",94,267,0,2,0
"Prairie Hills Schools - Sabetha Elementary School",320,548,7,1,0
"Prairie Hills Schools - Sabetha High School",20,365,0,0,0
"Prairie Hills Schools - Sabetha Middle School",56,242,0,0,0
"Prairie Hills Schools - Wetmore Academic Center (Permanently closed)",0,0,0,0,0
"Richmond Public Library",45,246,1,3,1
"Rossville Community Library",231,1409,3,29,0
"Sabetha, Mary Cotton Library",268,2054,7,25,0
"Seneca Free Library",207,1720,5,19,0
"Silver Lake Library",167,1130,4,14,0
"Tonganoxie Public Library",515,5316,25,102,2
"Valley Falls, Delaware Township Library",64,625,3,6,0
"Wellsville City Library",138,1262,5,14,0
"Wetmore Public Library",32,329,0,3,0
"Williamsburg Community Library",30,687,3,5,0
"Winchester Public Library",60,782,4,3,0
