added,ccode,homebranch,location
1,EASY,EFFINGHAM,CHILDRENS
5,ERESOURCE,EFFINGHAM,ADULT
14,FICTION,EFFINGHAM,ADULT
2,FICTION,EFFINGHAM,CATALOGING
45,FICTION,EFFINGHAM,CHILDRENS
1,FICTION,EFFINGHAM,YOUNGADULT
4,GRAPHIC,EFFINGHAM,ADULT
15,GRAPHIC,EFFINGHAM,YOUNGADULT
8,INSPRATION,EFFINGHAM,ADULT
14,KANSAS,EFFINGHAM,ADULT
3,NEW,EFFINGHAM,ADULT
2,NEW,EFFINGHAM,YOUNGADULT
7,NONFICTION,EFFINGHAM,ADULT
2,NONFICTION,EFFINGHAM,CHILDRENS
1,READER,EFFINGHAM,CHILDRENS

1,BOOKONCD,EUDORA,ADULT
16,DVD,EUDORA,ADULT
15,EASY,EUDORA,CHILDRENS
14,FICTION,EUDORA,ADULT
18,FICTION,EUDORA,YOUNGADULT
7,LARGEPRINT,EUDORA,ADULT
2,NONFICTION,EUDORA,ADULT
13,NONFICTION,EUDORA,CHILDRENS
1,NONFICTION,EUDORA,YOUNGADULT
8,READER,EUDORA,CHILDRENS

1,,EVEREST,ADULT
1,BIOGRAPHY,EVEREST,ADULT
8,BOARDBK,EVEREST,CHILDRENS
3,EASY,EVEREST,CATALOGING
278,EASY,EVEREST,CHILDRENS
3,FICTION,EVEREST,ADULT
290,FICTION,EVEREST,CHILDRENS
268,FICTION,EVEREST,YOUNGADULT
1,FICTIONY,EVEREST,YOUNGADULT
1,HOLIDAY,EVEREST,ADULT
1,INSPRATION,EVEREST,
234,INSPRATION,EVEREST,ADULT
97,LARGEPRINT,EVEREST,ADULT
1,NONFICTION,EVEREST,ADULT
18,NONFICTION,EVEREST,CHILDRENS
2,READER,EVEREST,CATALOGING
189,READER,EVEREST,CHILDRENS
102,SF-FANT,EVEREST,ADULT
1,WALKIN,EVEREST,ADULT
142,WESTERN,EVEREST,ADULT

3,BIOGRAPHY,HIAWATHA,ADULT
5,BOARDBK,HIAWATHA,CHILDRENS
8,BOOKONCD,HIAWATHA,ADULT
1,BOOKONCD,HIAWATHA,CHILDRENS
2,BOOKONMP,HIAWATHA,ADULT
9,DVD,HIAWATHA,ADULT
7,DVD,HIAWATHA,CHILDRENS
14,EASY,HIAWATHA,CHILDRENS
25,FICTION,HIAWATHA,ADULT
6,FICTION,HIAWATHA,CHILDRENS
12,FICTION,HIAWATHA,YOUNGADULT
12,LARGEPRINT,HIAWATHA,ADULT
