branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6091,4663,1428,12042,2917,3174
"Baldwin City Public Library",2886,2284,602,3581,1436,1449
"Basehor Community Library",9946,7586,2360,15911,3843,6102
"Bern Community Library",103,72,31,253,55,48
"Bonner Springs City Library",6201,4916,1285,11994,2798,3399
"Burlingame Community Library",758,628,130,1235,507,251
"Carbondale City Library",884,772,112,1125,531,353
"Centralia Community Library",233,189,44,319,170,63
"Corning City Library",7,7,0,92,7,0
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",167,154,13,347,130,33
"Doniphan County Library - Highland",440,410,30,799,291,149
"Doniphan County Library - Troy",798,709,89,2470,470,327
"Doniphan County Library - Wathena",401,337,64,755,194,206
"Effingham Community Library",286,233,53,505,167,119
"Eudora Community Library",1947,1405,542,2750,754,1193
"Everest, Barnes Reading Room",265,179,86,533,72,191
"Hiawatha, Morrill Public Library",2376,2019,357,3410,1260,1116
"Highland Community College",35,27,8,148,32,3
"Holton, Beck-Bookman Library",2225,1928,297,3265,1439,786
"Horton Public Library",178,148,30,273,146,32
"Lansing Community Library",2312,1763,549,3983,1134,1177
"Leavenworth Public Library",10397,8519,1878,19939,5004,5385
"Linwood Community Library",710,633,77,1490,274,436
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",696,523,173,1072,516,180
"McLouth Public Library",210,167,43,380,80,130
"Meriden-Ozawkie Public Library",2300,1663,637,2795,997,1303
"Northeast Kansas Library System",76,48,28,200,60,16
"Nortonville Public Library",253,174,79,766,135,118
"Osage City Library",2169,1953,216,3551,1555,609
"Osawatomie Public Library",1404,1083,321,4107,769,635
"Oskaloosa Public Library",859,699,160,1288,575,284
"Ottawa Library",7535,6624,911,9137,3363,4172
"Overbrook Public Library",1047,906,141,2350,681,366
"Paola Free Library",3090,2469,621,3897,1534,1556
"Perry-Lecompton Community Library",186,120,66,460,71,115
"Pomona Community Library",290,257,33,830,30,260
"Prairie Hills Schools - Axtell Public School",510,475,35,815,17,493
"Prairie Hills Schools - Sabetha Elementary School",2120,1871,249,2233,5,2115
"Prairie Hills Schools - Sabetha High School",53,51,2,81,50,3
"Prairie Hills Schools - Sabetha Middle School",175,144,31,210,7,168
"Prairie Hills Schools - Wetmore Academic Center",335,293,42,305,20,315
"Richmond Public Library",452,425,27,782,293,159
"Rossville Community Library",1518,1215,303,2603,802,714
"Sabetha, Mary Cotton Library",4335,3364,971,5574,1307,3028
"Seneca Free Library",1575,1374,201,2582,885,690
"Silver Lake Library",1558,1147,411,2657,638,918
"Tonganoxie Public Library",4063,3536,527,5222,1946,2115
"Valley Falls, Delaware Township Library",557,470,87,873,340,217
"Wellsville City Library",1804,1372,432,2943,787,1017
"Wetmore Public Library",232,180,52,579,180,52
"Williamsburg Community Library",273,232,41,627,130,143
"Winchester Public Library",345,312,33,674,208,137
