BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58742,58794,283,231,57748
"Baldwin City Public Library",25968,26037,108,39,25670
"Basehor Community Library",64076,64038,485,523,61738
"Bern Community Library",12455,12468,13,0,12188
"Bonner Springs City Library",60713,60058,476,1131,58032
"Burlingame Community Library",14494,14549,92,37,14390
"Carbondale City Library",11056,11098,106,64,10993
"Centralia Community Library",8115,8143,31,3,8072
"Corning City Library",5257,5150,1,108,5078
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2753,2771,19,1,2719
"Doniphan County Library - Highland",4355,4385,50,20,4227
"Doniphan County Library - Troy",11445,11507,81,19,11259
"Doniphan County Library - Wathena",7757,7801,65,21,7654
"Effingham Community Library",8628,8661,34,1,8560
"Eudora Community Library",16554,16501,163,216,16315
"Everest, Barnes Reading Room",12444,10378,3,2069,10276
"Hiawatha, Morrill Public Library",30732,30773,91,50,30167
"Highland Community College",4403,4325,1,79,4064
"Holton, Beck-Bookman Library",25508,25607,108,9,25029
"Horton Public Library",14269,14188,50,131,13717
"Lansing Community Library",22940,23049,193,84,22680
"Leavenworth Public Library",88294,88648,510,156,82092
"Linwood Community Library",12015,12099,87,3,11955
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13787,13779,56,64,13549
"McLouth Public Library",3907,3927,23,3,3917
"Meriden-Ozawkie Public Library",16200,16269,85,16,16127
"Northeast Kansas Library System",739,769,37,7,701
"Nortonville Public Library",18454,18226,128,356,17774
"Osage City Library",23436,23246,178,368,23134
"Osawatomie Public Library",17430,17341,117,206,17198
"Oskaloosa Public Library",10674,10660,14,28,10454
"Ottawa Library",70270,70147,537,660,67879
"Overbrook Public Library",21830,21746,102,186,21406
"Paola Free Library",29768,29572,127,323,28453
"Perry-Lecompton Community Library",12431,12506,83,8,12487
"Pomona Community Library",7503,7552,57,8,7392
"Prairie Hills Schools - Axtell Public School",12180,12181,12,11,10662
"Prairie Hills Schools - Sabetha Elementary School",16314,16313,1,3,13123
"Prairie Hills Schools - Sabetha High School",3840,3841,2,1,3644
"Prairie Hills Schools - Sabetha Middle School",4969,4921,54,102,4303
"Prairie Hills Schools - Wetmore Academic Center",13528,13528,0,0,9621
"Richmond Public Library",8070,8084,35,21,8042
"Rossville Community Library",15809,15846,60,23,15758
"Sabetha, Mary Cotton Library",30003,30191,289,101,29549
"Seneca Free Library",22918,22539,48,427,22445
"Silver Lake Library",11451,11527,94,18,10825
"Tonganoxie Public Library",27275,26654,271,892,26373
"Valley Falls, Delaware Township Library",10667,10683,38,22,10612
"Wellsville City Library",23184,23461,302,25,22736
"Wetmore Public Library",11003,11059,80,24,10971
"Williamsburg Community Library",14222,14293,95,24,14166
"Winchester Public Library",10754,10802,59,11,10605
