branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",584,6385,77,86,73
"Baldwin City Public Library",301,3848,17,52,25
"Basehor Community Library",879,6341,65,163,77
"Bern Community Library",18,174,0,3,0
"Bonner Springs City Library",671,7928,45,116,145
"Burlingame Community Library",84,633,5,7,8
"Carbondale City Library",113,737,8,15,2
"Centralia Community Library",38,239,1,6,0
"Corning City Library",2,147,0,0,1
"Digital Content",0,55,0,0,0
"Doniphan County Library - Elwood",21,402,3,3,1
"Doniphan County Library - Highland",51,368,0,8,15
"Doniphan County Library - Troy",122,917,8,27,12
"Doniphan County Library - Wathena",54,553,1,7,11
"Effingham Community Library",36,328,0,15,2
"Eudora Community Library",202,1806,32,28,52
"Everest, Barnes Reading Room",17,145,2,2,1
"Hiawatha, Morrill Public Library",284,2521,8,53,27
"Highland Community College",13,9741,2293,5,2
"Holton, Beck-Bookman Library",325,3976,23,47,36
"Horton Public Library",41,1176,10,7,15
"Lansing Community Library",312,3118,45,42,26
"Leavenworth Public Library",1112,14254,197,227,259
"Linwood Community Library",76,630,5,16,4
"Louisburg Library",0,590,12,1,1
"Lyndon Carnegie Library",97,966,9,18,15
"McLouth Public Library",32,587,1,8,0
"Meriden-Ozawkie Public Library",204,1682,9,39,4
"Northeast Kansas Library System",11,339,0,1,0
"Nortonville Public Library",45,510,3,10,3
"Osage City Library",307,1967,21,52,14
"Osawatomie Public Library",236,2693,27,33,31
"Oskaloosa Public Library",136,1188,7,22,14
"Ottawa Library",790,8742,93,160,210
"Overbrook Public Library",150,1154,5,18,14
"Paola Free Library",522,5154,50,84,62
"Perry-Lecompton Community Library",21,240,2,2,4
"Pomona Community Library",21,386,3,6,5
"Prairie Hills Schools - Axtell Public School",117,257,0,2,0
"Prairie Hills Schools - Sabetha Elementary School",357,587,2,2,0
"Prairie Hills Schools - Sabetha High School",38,307,0,0,0
"Prairie Hills Schools - Sabetha Middle School",113,236,1,1,0
"Prairie Hills Schools - Wetmore Academic Center",85,214,3,1,0
"Richmond Public Library",43,240,0,6,2
"Rossville Community Library",204,1325,7,46,9
"Sabetha, Mary Cotton Library",297,1965,7,32,1
"Seneca Free Library",231,1632,8,57,18
"Silver Lake Library",186,1070,5,25,17
"Tonganoxie Public Library",580,4868,48,107,27
"Valley Falls, Delaware Township Library",73,579,0,13,3
"Wellsville City Library",166,1163,6,35,5
"Wetmore Public Library",27,339,2,2,4
"Williamsburg Community Library",53,651,1,6,8
"Winchester Public Library",52,739,2,5,5
