"homebranch","barcode","dateaccessioned","ccode","itemcallnumber","itype","author","title"
"EFFINGHAM",3021000281,"2009-04-29","FICTION","FICCLA","XXX","Clark, Mary Higgins.","All around the town /"
"EFFINGHAM",3021003328,"2009-03-21","FICTION","JF SOB","XXX","Sobol, Donald J.,","Encyclopedia Brown tracks them down /"
"EFFINGHAM",3021006761,"2010-03-22","EASY","J EASY STE","XXX","Leonard, Kimberly.","Stewie the Duck learns to swim"
"EFFINGHAM",,"2010-08-04","NONFICTION",,"XXX",,"101 Cool Science Expermints"
"EFFINGHAM",,"0000-00-00",,"YA","XXX","Adler, C. S.","Footsteps on the stairs :"
"EFFINGHAM",3021000579,"2009-04-29","FICTION","FIC GUL","XXX","Gulley, Philip.","Just shy of Harmony /"
"EFFINGHAM",,"2010-07-14",,,"XXX",,"Christmas sing-alongs"
"EFFINGHAM",3021000416,"2009-04-29","FICTION","FIC EDW","XXX","Edwards, Kim,","The memory keeper's daughter /"
"EFFINGHAM",,"2011-09-14",,"[Fic]",,"Forman, Gayle.","Where she went /"
"EFFINGHAM",3021000163,"2009-04-29","FICTION","FIC BIN","XXX","Binchy, Maeve.","Evening class /"
"EFFINGHAM",3021008434,"2011-08-04","DVD","J DVD FAM","XXX",,"4 movie marathon"
"EFFINGHAM",3021000213,"2009-04-29","FICTION","FIC BRO","XXX","Brown, Dee Alexander.","Killdeer Mountain :"
"EFFINGHAM",3021006327,"2009-10-22","FICTION","FIC FOL",,"Follett, Ken.","The third twin :"
"HIAWATHA",3010012546,"2011-08-03","SF-FANT","SF DENNING","XXX","Denning, Troy.","The summoning /"
"HIAWATHA",3010013241,"2011-10-29","MAGAZINE","MAG WEK V. 17 NO. 6 OCT 24, 2011",,,"The weekly standard."
"HIAWATHA",,"2011-06-06",,"[Fic]","XXX","Blume, Judy.","Tales of a fourth grade nothing /"
"LEAVENWRTH",,"2011-07-29",,"782.42 M134",,"McDermott, John,","Remembrance"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-07-11",,,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"LYNDON",3017008533,"2011-07-12",,,"XXX","Wingate, Lisa.","Good Hope Road /"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-05-16","DVD",,,,"Combat classics"
"LYNDON",,"2011-05-16","DVD",,,,"Western classics"
"NEKLS",,"2011-12-22",,,,,"A Christmas carol"
"NEKLS",,"2011-12-17",,,"XXX","Giusti, Debby","Protecting Her Child"
"NEKLS",,"2011-12-17",,"599.649/7/0979","XXX","Meloy, Ellen.","Eating stone :"
"NEKLS",,"2011-12-17",,133.5,"XXX","Gerwick-Brodeur, Madeline.","The complete idiot's guide to astrology /"
"NEKLS",,"2011-12-17",,,"XXX","Hansen, Valerie","Hidden in the Wall"
"NEKLS",,"2011-12-17",,"294.5/44","XXX","Yogananda,","Inner peace :"
"NEKLS",,"2011-12-17",,,"XXX","Black, Baxter,","Cowboy standard time /"
"NEKLS",,"2011-12-17",,,"XXX","Mimori, Ao.","B.O.D.Y."
"NEKLS",3008001825,"2011-10-24","MAGAZINE","MAGAZINE OCT 2011","XXX",,"Voice of youth advocates :"
"OSAGECITY","3ZC90000258873","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025883%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025892%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259481","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025925$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025870 ","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025882+","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025890/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258862","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027476%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025880$","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025874%","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258772","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258851","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025930Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025920Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025919%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258750","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258895","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025903Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025933 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025922-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027480.","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025955%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027467%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274882","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025942 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027475+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025927+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025914.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025906 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259290","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027485%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258930","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025921Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258963","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274860","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027483/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025873+","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258952","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027491$","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258794","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274781","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025902Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259571","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025954+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027493+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025900W","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274691","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027484+","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027482$","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025940-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027445 ","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025934$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025923.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258941","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025945+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025935/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258761","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025909+","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025953/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025924 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259582","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025950.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027451Z","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025913-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274770","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027455$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025908/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027440X","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027494%","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259593","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025946%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027474/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025943$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274950","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027464$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025911Y","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258996","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027492/","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259380","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274893","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027437$","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025952$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027490 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274680","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027471.","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274961","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027457+","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274871","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027461-","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027448+","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027449%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027442Z","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025941.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027472 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025907$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025917/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027443-","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025915 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027481 ","2010-01-26","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258884","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025932.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025916$","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258783","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259470","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025910X","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259492","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025951 ","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025944/","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258840","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025872/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000274792","2010-02-03","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025905.","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000027458%","2010-02-05","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000258974","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025912Z","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025904-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025937%","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259560","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC90000259391","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025931-","2009-03-19","XXX","CAF","XXX",,"Collection Agency Fee"
"OSAGECITY","3ZC9000025881/","2009-03-16","XXX","CAF","XXX",,"Collection Agency Fee"
"POMONA",3030003773,"2011-12-12","FICTION","F MEYER, STEPHENIE",,"Meyer, Stephenie,","Breaking dawn /"
"POMONA",3030003778,"2011-12-12","FICTION","F MEYER, STEPHENIE",,"Meyer, Stephenie,","Eclipse /"
