branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6221,4832,1389,12407,2894,3320
"Baldwin City Public Library",2829,2256,573,3616,1238,1590
"Basehor Community Library",10226,7346,2880,17808,4111,6112
"Bern Community Library",176,107,69,334,100,76
"Bonner Springs City Library",6314,5028,1286,12589,2614,3692
"Burlingame Community Library",914,757,157,1474,583,331
"Carbondale City Library",749,669,80,1046,499,250
"Centralia Community Library",245,226,19,402,193,52
"Corning City Library",21,21,0,101,14,7
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",72,61,11,184,47,18
"Doniphan County Library - Highland",361,333,28,759,292,69
"Doniphan County Library - Troy",738,531,207,2556,437,301
"Doniphan County Library - Wathena",372,323,49,647,179,193
"Effingham Community Library",249,190,59,391,128,121
"Eudora Community Library",2149,1685,464,3063,713,1434
"Everest, Barnes Reading Room",445,260,185,610,170,275
"Hiawatha, Morrill Public Library",2748,2254,494,3708,1239,1508
"Highland Community College",123,97,26,169,115,8
"Holton, Beck-Bookman Library",2298,1978,320,3171,1296,1002
"Horton Public Library",169,155,14,376,130,39
"Lansing Community Library",2460,1819,641,4118,1062,1397
"Leavenworth Public Library",10132,7873,2259,15872,5005,5126
"Linwood Community Library",639,558,81,1362,314,325
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",734,505,229,1046,508,226
"McLouth Public Library",161,148,13,367,71,90
"Meriden-Ozawkie Public Library",2262,1635,627,3381,919,1343
"Northeast Kansas Library System",30,19,11,107,30,0
"Nortonville Public Library",312,228,84,676,113,199
"Osage City Library",2058,1897,161,3416,1543,514
"Osawatomie Public Library",1438,1186,252,2347,840,598
"Oskaloosa Public Library",798,666,132,1135,562,236
"Ottawa Library",7105,5892,1213,8911,3333,3769
"Overbrook Public Library",1046,921,125,2051,710,336
"Paola Free Library",2814,2192,622,3682,1434,1379
"Perry-Lecompton Community Library",105,64,41,345,47,58
"Pomona Community Library",216,189,27,419,67,149
"Prairie Hills Schools - Axtell Public School",561,553,8,746,8,553
"Prairie Hills Schools - Sabetha Elementary School",2108,1902,206,2009,12,2096
"Prairie Hills Schools - Sabetha High School",56,52,4,48,55,1
"Prairie Hills Schools - Sabetha Middle School",204,124,80,210,1,203
"Prairie Hills Schools - Wetmore Academic Center",456,348,108,375,89,367
"Richmond Public Library",470,441,29,884,314,156
"Rossville Community Library",1864,1559,305,3001,921,942
"Sabetha, Mary Cotton Library",3880,2788,1092,5664,1114,2766
"Seneca Free Library",1755,1449,306,2707,799,956
"Silver Lake Library",1446,1030,416,2672,527,919
"Tonganoxie Public Library",4222,3567,655,5433,1719,2502
"Valley Falls, Delaware Township Library",592,470,122,772,357,235
"Wellsville City Library",1823,1251,572,3051,758,1065
"Wetmore Public Library",319,284,35,706,233,86
"Williamsburg Community Library",372,352,20,705,97,274
"Winchester Public Library",410,313,97,807,192,218
