branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-09-01,2022-09-02,2022-09-03,2022-09-04,2022-09-05,2022-09-06,2022-09-07,2022-09-08,2022-09-09,2022-09-10,2022-09-11,2022-09-12,2022-09-13,2022-09-14,2022-09-15,2022-09-16,2022-09-17,2022-09-18,2022-09-19,2022-09-20,2022-09-21,2022-09-22,2022-09-23,2022-09-24,2022-09-25,2022-09-26,2022-09-27,2022-09-28,2022-09-29,2022-09-30,NA,"2022-09-01 - 2022-09-30"
" DAY",Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,NA,-
"Atchison Public Library",65,65,37,4,6,73,77,77,78,35,2,62,76,59,67,58,31,4,54,56,55,71,72,31,6,71,64,52,67,62,,591
"Baldwin City Public Library",29,33,15,1,5,41,32,29,35,19,3,32,44,37,36,27,20,5,52,34,39,26,36,23,,31,25,45,25,18,,331
"Basehor Community Library",87,59,59,10,13,106,91,93,62,56,40,99,88,84,76,59,55,38,66,98,86,71,69,54,43,108,88,83,75,67,,897
"Bern Community Library",3,2,1,,,1,6,2,3,2,,2,,2,7,2,1,,3,1,4,2,,3,,1,,2,1,3,,24
"Bonner Springs City Library",61,47,34,4,8,64,84,48,46,39,25,49,71,80,52,37,35,28,63,77,53,49,37,32,17,50,64,65,54,40,,641
"Burlingame Community Library",17,8,13,1,,5,19,13,19,6,,14,9,17,15,20,13,,18,12,22,13,12,6,,17,14,14,9,16,,108
"Carbondale City Library",13,15,,,1,15,6,8,12,6,,6,13,14,10,15,4,1,7,11,13,10,11,4,,12,7,9,11,12,,112
"Centralia Community Library",4,5,3,,,,9,2,6,6,,4,,7,2,5,2,,6,,11,3,5,1,,6,,8,2,4,,44
"Corning City Library",,,,,,,2,,1,,,2,,2,,,1,,1,,1,,1,,,,,,,,,6
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,2,,,,2,1,,,,,,,1,,6,,,3,1,1,1,2,,,6,1,3,2,,,21
"Doniphan County Library - Highland",4,7,,,,9,3,4,8,5,,8,9,8,7,2,1,,8,3,10,6,5,2,,5,3,10,1,6,,48
"Doniphan County Library - Troy",8,11,,,1,11,13,6,7,6,,11,13,10,9,4,3,,9,48,13,6,16,2,,6,11,35,6,11,,145
"Doniphan County Library - Wathena",8,5,1,,,2,7,6,3,4,,5,8,1,3,3,3,1,5,7,9,3,2,3,,4,7,3,7,6,,57
"Effingham Community Library",2,5,2,,,6,7,3,3,5,,5,5,4,4,2,3,,5,5,4,4,1,2,,,4,5,6,1,,44
"Eudora Community Library",17,19,15,2,1,32,20,21,30,25,1,29,19,25,14,27,20,3,23,19,49,14,18,17,,28,23,29,22,11,,237
"Everest, Barnes Reading Room",5,5,1,,,4,5,2,2,,,,4,2,1,5,4,,,3,3,1,4,3,1,,3,5,3,7,,29
"Hiawatha, Morrill Public Library",29,27,16,7,2,46,27,30,21,9,14,28,29,30,32,28,13,6,29,29,13,43,34,14,8,32,33,24,27,24,,308
"Highland Community College",3,4,,,,5,3,7,3,,,3,7,4,2,4,,,2,4,2,1,11,,,4,1,6,4,1,,50
"Holton, Beck-Bookman Library",25,30,,,1,70,43,41,27,9,,47,29,25,27,30,11,,30,23,34,35,23,11,,41,19,29,29,32,,362
"Horton Public Library",2,3,,,,4,4,5,3,,,4,9,2,3,4,,,2,,4,7,1,,,4,4,2,1,3,,28
"Lansing Community Library",45,36,19,,2,49,27,22,45,24,3,34,28,26,31,40,16,,40,25,34,22,33,14,1,33,24,22,23,35,,370
"Leavenworth Public Library",89,97,79,5,11,144,101,92,62,72,21,102,95,94,88,84,65,20,112,96,100,90,87,65,33,105,84,105,80,78,,978
"Linwood Community Library",9,6,7,,,4,3,6,4,2,1,7,4,7,10,10,8,,6,8,10,7,10,2,,11,7,4,10,6,,77
