branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",837,1009
"Baldwin City Public Library",364,299
"Basehor Community Library",785,1001
"Bern Community Library",73,22
"Bonner Springs City Library",956,976
"Burlingame Community Library",168,208
"Carbondale City Library",138,93
"Centralia Community Library",72,18
"Corning City Library",51,3
"Digital Content",0,0
"Doniphan County Library - Elwood",35,11
"Doniphan County Library - Highland",179,136
"Doniphan County Library - Troy",313,83
"Doniphan County Library - Wathena",191,55
"Effingham Community Library",105,25
"Eudora Community Library",378,422
"Everest, Barnes Reading Room",144,154
"Hiawatha, Morrill Public Library",309,470
"Highland Community College",37,3
"Holton, Beck-Bookman Library",293,406
"Horton Public Library",67,28
"Lansing Community Library",426,491
"Leavenworth Public Library",1147,1072
"Linwood Community Library",317,78
"Louisburg Library",0,0
"Lyndon Carnegie Library",156,118
"McLouth Public Library",44,38
"Meriden-Ozawkie Public Library",384,490
"Northeast Kansas Library System",17,12
"Nortonville Public Library",161,60
"Osage City Library",471,431
"Osawatomie Public Library",349,372
"Oskaloosa Public Library",109,145
"Ottawa Library",773,727
"Overbrook Public Library",361,222
"Paola Free Library",246,427
"Perry-Lecompton Community Library",121,11
"Pomona Community Library",34,92
"Prairie Hills Schools - Axtell Public School",81,51
"Prairie Hills Schools - Sabetha Elementary School",20,75
"Prairie Hills Schools - Sabetha High School",8,3
"Prairie Hills Schools - Sabetha Middle School",5,5
"Prairie Hills Schools - Wetmore Academic Center",12,0
"Richmond Public Library",136,97
"Rossville Community Library",492,350
"Sabetha, Mary Cotton Library",453,553
"Seneca Free Library",531,178
"Silver Lake Library",138,271
"Tonganoxie Public Library",394,498
"Valley Falls, Delaware Township Library",51,147
"Wellsville City Library",407,286
"Wetmore Public Library",135,171
"Williamsburg Community Library",180,10
"Winchester Public Library",161,96
