BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58518,58708,353,163,57586
"Baldwin City Public Library",25526,25666,210,72,25295
"Basehor Community Library",64173,64156,498,515,61726
"Bern Community Library",12368,12385,18,1,12108
"Bonner Springs City Library",60584,60965,476,95,58534
"Burlingame Community Library",14947,14968,83,62,14822
"Carbondale City Library",11028,11138,128,18,11025
"Centralia Community Library",7991,8037,54,8,7958
"Corning City Library",5187,5191,7,3,5120
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2738,2752,17,3,2692
"Doniphan County Library - Highland",4203,4230,43,16,4089
"Doniphan County Library - Troy",11122,11293,229,58,11045
"Doniphan County Library - Wathena",7641,7630,85,96,7506
"Effingham Community Library",8720,8563,35,192,8464
"Eudora Community Library",16447,16380,118,185,16214
"Everest, Barnes Reading Room",12337,12374,42,5,12227
"Hiawatha, Morrill Public Library",30842,30923,109,28,30310
"Highland Community College",4413,4392,13,34,4131
"Holton, Beck-Bookman Library",25264,25290,104,78,24740
"Horton Public Library",14207,14256,59,10,13747
"Lansing Community Library",22429,22521,207,115,22167
"Leavenworth Public Library",87934,87934,658,658,81409
"Linwood Community Library",11818,11852,45,11,11731
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13439,13512,83,10,13291
"McLouth Public Library",3788,3826,39,1,3816
"Meriden-Ozawkie Public Library",16012,16078,176,110,15936
"Northeast Kansas Library System",746,749,3,0,683
"Nortonville Public Library",18236,18274,47,9,17765
"Osage City Library",23062,23221,191,32,23108
"Osawatomie Public Library",17193,17211,96,78,17069
"Oskaloosa Public Library",10579,10593,31,17,10383
"Ottawa Library",70268,69934,295,630,67640
"Overbrook Public Library",21561,21618,74,17,21273
"Paola Free Library",30926,30979,214,161,29841
"Perry-Lecompton Community Library",11920,12045,133,8,12026
"Pomona Community Library",7840,7755,10,95,7590
"Prairie Hills Schools - Axtell Public School",11946,11982,51,15,10500
"Prairie Hills Schools - Sabetha Elementary School",16091,16088,3,6,12946
"Prairie Hills Schools - Sabetha High School",3773,3773,0,0,3596
"Prairie Hills Schools - Sabetha Middle School",4922,4923,5,4,4297
"Prairie Hills Schools - Wetmore Academic Center",13464,13465,1,0,9557
"Richmond Public Library",8046,8020,38,64,7979
"Rossville Community Library",15635,15659,93,69,15590
"Sabetha, Mary Cotton Library",30311,30264,251,298,29604
"Seneca Free Library",22650,22746,103,7,22660
"Silver Lake Library",11226,11274,57,9,10631
"Tonganoxie Public Library",26736,26893,295,138,26620
"Valley Falls, Delaware Township Library",10549,10475,75,149,10405
"Wellsville City Library",23083,23030,58,111,22381
"Wetmore Public Library",10827,10906,146,67,10814
"Williamsburg Community Library",14206,14175,31,62,14054
"Winchester Public Library",10603,10629,41,15,10427
