branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",591,6406,64,86,95
"Baldwin City Public Library",331,3840,33,58,34
"Basehor Community Library",898,6449,66,146,84
"Bern Community Library",24,153,0,4,3
"Bonner Springs City Library",641,8246,42,114,145
"Burlingame Community Library",108,626,11,17,10
"Carbondale City Library",112,694,12,29,8
"Centralia Community Library",44,215,2,11,1
"Corning City Library",6,132,0,1,1
"Digital Content",0,35,0,0,1
"Doniphan County Library - Elwood",21,387,0,3,1
"Doniphan County Library - Highland",48,437,4,5,16
"Doniphan County Library - Troy",145,932,8,22,22
"Doniphan County Library - Wathena",57,580,5,6,13
"Effingham Community Library",44,305,1,9,7
"Eudora Community Library",237,2193,57,30,17
"Everest, Barnes Reading Room",29,125,2,9,4
"Hiawatha, Morrill Public Library",308,2575,20,60,29
"Highland Community College",50,8762,8,5,15
"Holton, Beck-Bookman Library",362,3998,42,55,44
"Horton Public Library",29,1188,4,12,5
"Lansing Community Library",370,3125,37,51,98
"Leavenworth Public Library",978,14648,138,189,263
"Linwood Community Library",77,615,7,24,13
"Louisburg Library",0,543,5,3,0
"Lyndon Carnegie Library",97,958,8,16,14
"McLouth Public Library",51,581,32,9,2
"Meriden-Ozawkie Public Library",192,1652,8,20,5
"Northeast Kansas Library System",8,310,0,2,20
"Nortonville Public Library",38,506,0,4,6
"Osage City Library",297,1958,20,56,168
"Osawatomie Public Library",224,2722,18,39,24
"Oskaloosa Public Library",152,1205,4,24,13
"Ottawa Library",783,12008,73,180,124
"Overbrook Public Library",153,1160,5,32,14
"Paola Free Library",522,5261,46,89,68
"Perry-Lecompton Community Library",21,231,3,1,2
"Pomona Community Library",26,373,3,7,6
"Prairie Hills Schools - Axtell Public School",114,235,0,0,3
"Prairie Hills Schools - Sabetha Elementary School",381,571,2,3,2
"Prairie Hills Schools - Sabetha High School",41,337,0,0,6
"Prairie Hills Schools - Sabetha Middle School",115,217,0,0,8
"Prairie Hills Schools - Wetmore Academic Center",72,190,0,0,10
"Richmond Public Library",38,221,0,5,0
"Rossville Community Library",206,1332,15,33,17
"Sabetha, Mary Cotton Library",298,1924,13,39,1
"Seneca Free Library",243,1681,14,46,28
"Silver Lake Library",212,1077,7,28,7
"Tonganoxie Public Library",499,4838,32,106,48
"Valley Falls, Delaware Township Library",77,570,7,9,5
"Wellsville City Library",183,1127,7,21,10
"Wetmore Public Library",35,324,2,13,1
"Williamsburg Community Library",37,655,0,5,2
"Winchester Public Library",52,738,2,12,3
