branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2023-03 (March)","2023-02 (February)","2023-01 (January)","2022-12 (December)","2022-11 (November)","2022-10 (October)","2022-09 (September)","2022-08 (August)","2022-07 (July)","2022-06 (June)","2022-05 (May)","2022-04 (April)","Previous 12 calendar months"
"Atchison Public Library",560,543,584,512,566,596,591,648,669,749,605,568,1864
"Baldwin City Public Library",314,306,301,278,298,312,331,351,372,409,327,305,1024
"Basehor Community Library",1010,874,878,816,844,925,897,1034,1072,1119,899,831,2826
"Bern Community Library",18,18,18,17,12,19,24,33,29,32,17,22,61
"Bonner Springs City Library",744,683,671,579,630,660,641,721,800,806,605,561,2295
"Burlingame Community Library",90,98,84,108,101,108,108,105,85,79,64,69,285
"Carbondale City Library",111,99,113,115,100,109,112,123,120,126,108,103,359
"Centralia Community Library",47,42,38,45,46,39,44,45,48,67,40,40,112
"Corning City Library",7,12,2,3,7,3,6,7,13,42,4,9,50
"Digital Content",,1,,,,,,,,,,,1
"Doniphan County Library - Elwood",25,16,21,23,23,19,21,31,26,26,27,17,102
"Doniphan County Library - Highland",54,51,51,47,52,54,48,69,62,68,61,50,169
"Doniphan County Library - Troy",119,120,122,140,121,162,145,154,160,146,116,115,450
"Doniphan County Library - Wathena",61,51,54,57,57,62,57,63,66,84,65,65,204
"Effingham Community Library",20,43,36,45,37,40,44,41,46,46,28,28,109
"Eudora Community Library",219,193,202,175,203,215,237,239,257,247,237,183,663
"Everest, Barnes Reading Room",23,18,17,20,23,27,29,19,19,22,22,22,66
"Hiawatha, Morrill Public Library",311,296,284,253,284,310,308,354,359,363,332,297,931
"Highland Community College",12,16,13,18,26,39,50,27,4,7,14,13,136
"Holton, Beck-Bookman Library",344,336,325,297,353,366,362,408,364,419,365,354,1174
"Horton Public Library",37,45,41,30,35,32,28,54,43,39,26,22,186
"Lansing Community Library",377,331,312,307,295,311,370,419,430,443,337,309,1248
"Leavenworth Public Library",1190,1094,1112,903,966,1043,978,1181,1148,1084,940,940,3576
"Linwood Community Library",85,85,76,71,67,73,77,78,93,103,97,84,295
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",102,94,97,79,102,111,97,120,114,127,112,104,334
"McLouth Public Library",40,30,32,36,38,41,51,38,42,59,43,41,172
"Meriden-Ozawkie Public Library",192,180,204,166,191,182,192,213,222,285,231,192,554
"Northeast Kansas Library System",16,13,11,9,14,9,8,21,35,14,10,11,79
"Nortonville Public Library",49,49,45,39,41,33,38,55,54,69,49,34,167
"Osage City Library",322,298,307,263,287,289,297,297,319,344,312,287,881
"Osawatomie Public Library",246,231,236,213,218,210,224,267,258,268,222,239,731
"Oskaloosa Public Library",160,138,136,139,145,164,152,157,165,174,146,147,441
"Ottawa Library",854,827,790,659,723,779,783,900,943,984,788,665,2617
"Overbrook Public Library",151,132,150,144,131,146,153,165,180,181,155,136,430
"Paola Free Library",547,501,522,488,474,480,522,556,609,590,483,403,1681
"Perry-Lecompton Community Library",23,17,21,21,15,20,21,24,48,63,28,19,104
"Pomona Community Library",36,20,21,11,25,20,26,24,30,32,22,26,128
"Prairie Hills Schools - Axtell Public School",112,107,117,98,118,122,114,140,,1,51,99,197
"Prairie Hills Schools - Sabetha Elementary School",355,350,357,338,361,363,381,367,,,6,328,489
"Prairie Hills Schools - Sabetha High School",25,76,38,15,11,20,41,43,,,4,14,184
"Prairie Hills Schools - Sabetha Middle School",55,88,113,92,113,99,115,148,,,19,84,191
"Prairie Hills Schools - Wetmore Academic Center",71,60,85,60,81,84,72,67,,,8,86,123
"Richmond Public Library",49,41,43,38,37,40,38,40,41,51,40,48,97
"Rossville Community Library",245,211,204,190,214,220,206,235,229,238,234,212,603
"Sabetha, Mary Cotton Library",296,281,297,269,284,280,298,329,309,340,309,274,795
"Seneca Free Library",269,244,231,231,229,233,243,313,343,368,331,253,810
"Silver Lake Library",199,188,186,176,191,198,212,224,209,212,201,180,433
"Tonganoxie Public Library",588,532,580,480,473,500,499,595,628,645,556,472,1812
"Valley Falls, Delaware Township Library",71,64,73,62,67,73,77,82,74,79,72,70,239
"Wellsville City Library",192,182,166,184,169,208,183,200,198,217,224,150,537
"Wetmore Public Library",34,26,27,28,23,33,35,33,30,42,50,25,104
"Williamsburg Community Library",62,56,53,34,50,35,37,42,43,49,33,38,182
"Winchester Public Library",31,34,52,36,46,50,52,55,62,73,71,63,202
