Library,"Items owned by this library checked out at this library this month","Items owned by other libraries checked out at this library this month","Total circulation this month"
"Atchison Public Library",4656,1436,6092
"Baldwin City Public Library",2311,500,2811
"Basehor Community Library",9958,1444,11402
"Bern Community Library",84,115,199
"Bonner Springs City Library",5285,1441,6726
"Burlingame Community Library",525,298,823
"Carbondale City Library",697,144,841
"Centralia Community Library",346,77,423
"Corning City Library",13,9,22
"Digital Content",,,
"Doniphan County Library - Elwood",154,19,173
"Doniphan County Library - Highland",264,155,419
"Doniphan County Library - Troy",551,146,697
"Doniphan County Library - Wathena",445,60,505
"Effingham Community Library",89,22,111
"Eudora Community Library",1804,644,2448
"Everest, Barnes Reading Room",126,142,268
"Hiawatha, Morrill Public Library",2221,730,2951
"Highland Community College",22,1,23
"Holton, Beck-Bookman Library",1925,630,2555
"Horton Public Library",194,25,219
"Lansing Community Library",2251,770,3021
"Leavenworth Public Library",9887,2252,12139
"Linwood Community Library",592,213,805
"Louisburg Library",,,
"Lyndon Carnegie Library",404,480,884
"McLouth Public Library",123,51,174
"Meriden-Ozawkie Public Library",1309,590,1899
"Northeast Kansas Library System",25,70,95
"Nortonville Public Library",216,119,335
"Osage City Library",1915,466,2381
"Osawatomie Public Library",925,459,1384
"Oskaloosa Public Library",642,259,901
"Ottawa Library",6948,993,7941
"Overbrook Public Library",947,255,1202
"Paola Free Library",3033,592,3625
"Perry-Lecompton Community Library",91,32,123
"Pomona Community Library",249,182,431
"Prairie Hills Schools - Axtell Public School",745,38,783
"Prairie Hills Schools - Sabetha Elementary School",1978,90,2068
"Prairie Hills Schools - Sabetha High School",20,16,36
"Prairie Hills Schools - Sabetha Middle School",71,8,79
"Prairie Hills Schools - Wetmore Academic Center",257,,257
"Richmond Public Library",342,58,400
"Rossville Community Library",1192,476,1668
"Sabetha, Mary Cotton Library",3410,856,4266
"Seneca Free Library",1771,237,2008
"Silver Lake Library",1342,328,1670
"Tonganoxie Public Library",3346,947,4293
"Valley Falls, Delaware Township Library",426,317,743
"Wellsville City Library",1709,630,2339
"Wetmore Public Library",141,97,238
"Williamsburg Community Library",279,43,322
"Winchester Public Library",116,106,222
