BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58988,59121,293,159,58066
"Baldwin City Public Library",26224,26334,144,34,25961
"Basehor Community Library",64314,64459,486,341,62190
"Bern Community Library",12513,12541,29,1,12261
"Bonner Springs City Library",60265,59918,538,885,57977
"Burlingame Community Library",13940,13865,76,151,13709
"Carbondale City Library",10764,10560,75,279,10471
"Centralia Community Library",8189,8219,55,25,8143
"Corning City Library",5120,5116,49,53,5045
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2797,2805,21,13,2752
"Doniphan County Library - Highland",4412,4398,71,85,4276
"Doniphan County Library - Troy",11640,11274,129,495,11035
"Doniphan County Library - Wathena",7755,7761,110,104,7610
"Effingham Community Library",8617,8625,8,0,8524
"Eudora Community Library",16420,16381,115,154,16191
"Everest, Barnes Reading Room",7729,7761,34,2,7678
"Hiawatha, Morrill Public Library",30842,30968,138,12,30327
"Highland Community College",4238,4223,20,35,3964
"Holton, Beck-Bookman Library",25645,25664,87,68,25077
"Horton Public Library",14239,14176,45,108,13695
"Lansing Community Library",23314,23335,190,169,22962
"Leavenworth Public Library",88652,88852,626,426,82730
"Linwood Community Library",12157,12219,71,9,12062
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13846,13914,124,56,13677
"McLouth Public Library",3989,4004,16,1,3993
"Meriden-Ozawkie Public Library",16263,16254,113,122,16110
"Northeast Kansas Library System",777,807,30,0,720
"Nortonville Public Library",17880,16998,177,1059,16585
"Osage City Library",22520,22171,149,498,22073
"Osawatomie Public Library",17419,17411,101,109,17268
"Oskaloosa Public Library",10716,10748,39,7,10537
"Ottawa Library",70319,70548,537,308,68323
"Overbrook Public Library",21786,21873,90,3,21532
"Paola Free Library",29485,29580,212,117,28464
"Perry-Lecompton Community Library",12517,12611,152,58,12592
"Pomona Community Library",7653,7670,22,5,7511
"Prairie Hills Schools - Axtell Public School",12214,12269,94,39,10758
"Prairie Hills Schools - Sabetha Elementary School",16357,16370,15,2,13166
"Prairie Hills Schools - Sabetha High School",3845,3848,3,0,3651
"Prairie Hills Schools - Sabetha Middle School",4823,4738,8,93,4192
"Prairie Hills Schools - Wetmore Academic Center",13527,13527,0,0,9621
"Richmond Public Library",8071,8077,42,36,8036
"Rossville Community Library",15851,15896,95,50,15816
"Sabetha, Mary Cotton Library",30157,30024,162,297,29415
"Seneca Free Library",22486,22461,84,109,22367
"Silver Lake Library",11548,11534,104,118,10848
"Tonganoxie Public Library",26189,26086,339,442,25811
"Valley Falls, Delaware Township Library",10699,10696,31,34,10625
"Wellsville City Library",23435,23477,114,72,22717
"Wetmore Public Library",11024,11192,242,74,11113
"Williamsburg Community Library",14343,14429,143,57,14301
"Winchester Public Library",10804,10763,57,98,10580
