branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",560,6419,46,138,50
"Baldwin City Public Library",314,3879,21,56,19
"Basehor Community Library",1011,6382,69,188,72
"Bern Community Library",18,175,0,5,0
"Bonner Springs City Library",744,7919,51,135,122
"Burlingame Community Library",90,638,7,18,7
"Carbondale City Library",111,748,6,17,6
"Centralia Community Library",47,239,1,24,1
"Corning City Library",7,146,0,0,1
"Digital Content",0,55,0,0,0
"Doniphan County Library - Elwood",25,404,1,5,1
"Doniphan County Library - Highland",54,373,4,11,3
"Doniphan County Library - Troy",119,920,7,25,9
"Doniphan County Library - Wathena",61,552,5,15,7
"Effingham Community Library",20,329,0,0,2
"Eudora Community Library",219,1822,20,33,17
"Everest, Barnes Reading Room",23,148,2,1,0
"Hiawatha, Morrill Public Library",311,2523,19,50,27
"Highland Community College",12,9693,3,2,49
"Holton, Beck-Bookman Library",344,3981,16,58,39
"Horton Public Library",37,1183,8,9,14
"Lansing Community Library",377,3145,32,84,31
"Leavenworth Public Library",1190,14300,138,243,217
"Linwood Community Library",85,634,6,16,8
"Louisburg Library",0,612,18,0,1
"Lyndon Carnegie Library",102,968,6,19,10
"McLouth Public Library",40,592,5,6,2
"Meriden-Ozawkie Public Library",192,1698,10,30,5
"Northeast Kansas Library System",16,347,8,2,1
"Nortonville Public Library",49,507,2,8,4
"Osage City Library",322,1986,26,64,22
"Osawatomie Public Library",246,2698,19,35,24
"Oskaloosa Public Library",160,1184,5,24,11
"Ottawa Library",854,8776,54,155,87
"Overbrook Public Library",151,1154,9,35,12
"Paola Free Library",547,5157,54,87,82
"Perry-Lecompton Community Library",23,247,5,1,0
"Pomona Community Library",36,393,6,5,1
"Prairie Hills Schools - Axtell Public School",112,260,3,0,0
"Prairie Hills Schools - Sabetha Elementary School",355,588,0,0,0
"Prairie Hills Schools - Sabetha High School",25,307,1,1,1
"Prairie Hills Schools - Sabetha Middle School",55,237,0,0,0
"Prairie Hills Schools - Wetmore Academic Center",71,214,0,0,0
"Richmond Public Library",49,240,0,16,1
"Rossville Community Library",245,1333,18,43,18
"Sabetha, Mary Cotton Library",296,1977,10,61,4
"Seneca Free Library",269,1634,13,43,15
"Silver Lake Library",199,1069,2,31,3
"Tonganoxie Public Library",588,4901,42,121,43
"Valley Falls, Delaware Township Library",71,588,8,18,1
"Wellsville City Library",192,1176,6,22,2
"Wetmore Public Library",34,318,0,3,22
"Williamsburg Community Library",62,654,4,7,3
"Winchester Public Library",31,741,2,5,2
