Library,"Other Next library materials checked out at our library","Our materials checked out at other Next libraries",NET,"Net borrower","Net lender","Borrowed to lent ratio"
"Atchison Public Library",1436,1235,201,"We borrowerd more than we lent",,"1.16 : 1"
"Baldwin City Public Library",500,530,-30,,"We lent more than we borrowed","0.94 : 1"
"Basehor Community Library",1444,1299,145,"We borrowerd more than we lent",,"1.11 : 1"
"Bern Community Library",115,111,4,"We borrowerd more than we lent",,"1.04 : 1"
"Bonner Springs City Library",1441,1714,-273,,"We lent more than we borrowed","0.84 : 1"
"Burlingame Community Library",298,315,-17,,"We lent more than we borrowed","0.95 : 1"
"Carbondale City Library",144,205,-61,,"We lent more than we borrowed","0.70 : 1"
"Centralia Community Library",77,76,1,"We borrowerd more than we lent",,"1.01 : 1"
"Corning City Library",9,39,-30,,"We lent more than we borrowed","0.23 : 1"
"Digital Content",0,0,0,,,
"Doniphan County Library - Elwood",19,29,-10,,"We lent more than we borrowed","0.66 : 1"
"Doniphan County Library - Highland",155,113,42,"We borrowerd more than we lent",,"1.37 : 1"
"Doniphan County Library - Troy",146,341,-195,,"We lent more than we borrowed","0.43 : 1"
"Doniphan County Library - Wathena",60,97,-37,,"We lent more than we borrowed","0.62 : 1"
"Effingham Community Library",22,104,-82,,"We lent more than we borrowed","0.21 : 1"
"Eudora Community Library",644,557,87,"We borrowerd more than we lent",,"1.16 : 1"
"Everest, Barnes Reading Room",142,119,23,"We borrowerd more than we lent",,"1.19 : 1"
"Hiawatha, Morrill Public Library",730,357,373,"We borrowerd more than we lent",,"2.04 : 1"
"Highland Community College",1,70,-69,,"We lent more than we borrowed","0.01 : 1"
"Holton, Beck-Bookman Library",630,459,171,"We borrowerd more than we lent",,"1.37 : 1"
"Horton Public Library",25,93,-68,,"We lent more than we borrowed","0.27 : 1"
"Lansing Community Library",770,602,168,"We borrowerd more than we lent",,"1.28 : 1"
"Leavenworth Public Library",2252,1547,705,"We borrowerd more than we lent",,"1.46 : 1"
"Linwood Community Library",213,383,-170,,"We lent more than we borrowed","0.56 : 1"
"Louisburg Library",0,0,0,,,
"Lyndon Carnegie Library",480,202,278,"We borrowerd more than we lent",,"2.38 : 1"
"McLouth Public Library",51,91,-40,,"We lent more than we borrowed","0.56 : 1"
"Meriden-Ozawkie Public Library",590,501,89,"We borrowerd more than we lent",,"1.18 : 1"
"Northeast Kansas Library System",70,17,53,"We borrowerd more than we lent",,"4.12 : 1"
"Nortonville Public Library",119,294,-175,,"We lent more than we borrowed","0.40 : 1"
"Osage City Library",466,784,-318,,"We lent more than we borrowed","0.59 : 1"
"Osawatomie Public Library",459,630,-171,,"We lent more than we borrowed","0.73 : 1"
"Oskaloosa Public Library",259,156,103,"We borrowerd more than we lent",,"1.66 : 1"
"Ottawa Library",993,1217,-224,,"We lent more than we borrowed","0.82 : 1"
"Overbrook Public Library",255,514,-259,,"We lent more than we borrowed","0.50 : 1"
"Paola Free Library",592,440,152,"We borrowerd more than we lent",,"1.35 : 1"
"Perry-Lecompton Community Library",32,166,-134,,"We lent more than we borrowed","0.19 : 1"
"Prairie Hills Schools - Axtell Public School",38,76,-38,,"We lent more than we borrowed","0.50 : 1"
"Prairie Hills Schools - Sabetha Elementary School",90,120,-30,,"We lent more than we borrowed","0.75 : 1"
"Prairie Hills Schools - Sabetha High School",16,27,-11,,"We lent more than we borrowed","0.59 : 1"
"Prairie Hills Schools - Sabetha Middle School",8,24,-16,,"We lent more than we borrowed","0.33 : 1"
"Prairie Hills Schools - Wetmore Academic Center",0,3,-3,,"We lent more than we borrowed","0.00 : 1"
"Pomona Community Library",182,81,101,"We borrowerd more than we lent",,"2.25 : 1"
"Richmond Public Library",58,166,-108,,"We lent more than we borrowed","0.35 : 1"
"Rossville Community Library",476,657,-181,,"We lent more than we borrowed","0.72 : 1"
"Sabetha, Mary Cotton Library",856,788,68,"We borrowerd more than we lent",,"1.09 : 1"
"Seneca Free Library",237,701,-464,,"We lent more than we borrowed","0.34 : 1"
"Silver Lake Library",328,187,141,"We borrowerd more than we lent",,"1.75 : 1"
"Tonganoxie Public Library",947,583,364,"We borrowerd more than we lent",,"1.62 : 1"
"Valley Falls, Delaware Township Library",317,106,211,"We borrowerd more than we lent",,"2.99 : 1"
"Wellsville City Library",630,580,50,"We borrowerd more than we lent",,"1.09 : 1"
"Wetmore Public Library",97,233,-136,,"We lent more than we borrowed","0.42 : 1"
"Williamsburg Community Library",43,277,-234,,"We lent more than we borrowed","0.16 : 1"
"Winchester Public Library",106,52,54,"We borrowerd more than we lent",,"2.04 : 1"
