branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2023-03-01,2023-03-02,2023-03-03,2023-03-04,2023-03-05,2023-03-06,2023-03-07,2023-03-08,2023-03-09,2023-03-10,2023-03-11,2023-03-12,2023-03-13,2023-03-14,2023-03-15,2023-03-16,2023-03-17,2023-03-18,2023-03-19,2023-03-20,2023-03-21,2023-03-22,2023-03-23,2023-03-24,2023-03-25,2023-03-26,2023-03-27,2023-03-28,2023-03-29,2023-03-30,2023-03-31,"2023-03-01 - 2023-03-30"
" DAY",Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,-
"Atchison Public Library",49,59,56,43,4,59,51,45,61,49,31,,58,56,47,51,51,35,4,62,51,50,72,50,27,2,58,64,60,59,53,560
"Baldwin City Public Library",32,32,29,18,3,40,30,28,24,36,22,2,36,23,35,21,22,11,3,52,34,34,30,28,15,1,35,26,33,24,30,314
"Basehor Community Library",97,75,62,69,46,74,74,93,87,92,77,55,114,91,87,67,68,75,43,94,86,96,77,65,75,65,85,78,89,72,64,1010
"Bern Community Library",2,,3,1,,,,5,1,1,2,,1,,5,3,,,,,,5,2,1,3,,1,,4,2,1,18
"Bonner Springs City Library",81,51,34,36,28,69,71,70,43,49,36,28,64,67,54,50,62,49,26,61,79,58,59,49,53,31,70,64,67,52,44,744
"Burlingame Community Library",18,7,17,6,,11,8,15,9,9,4,,12,11,6,3,7,11,1,10,3,11,11,11,2,,7,7,13,9,8,90
"Carbondale City Library",14,12,12,8,,4,9,12,7,16,3,,14,13,15,9,8,11,,10,11,13,10,8,10,,8,16,8,11,13,111
"Centralia Community Library",8,5,5,2,,12,1,5,,2,3,1,5,,11,2,8,1,,10,,4,2,5,3,,7,,8,3,12,47
"Corning City Library",3,,,,,,,,,,,,,,4,,1,,,1,,,,,1,,1,,1,,,7
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",3,,4,1,,3,,1,2,4,,,,,,5,2,,,4,4,3,4,4,,,1,3,,2,8,25
"Doniphan County Library - Highland",11,5,10,3,,6,2,11,4,7,2,,6,5,8,5,5,1,,5,4,12,4,8,2,1,5,3,9,7,9,54
"Doniphan County Library - Troy",12,12,9,1,1,13,11,13,14,9,10,,6,12,10,13,12,7,,10,7,12,9,4,9,1,7,13,16,12,14,119
"Doniphan County Library - Wathena",4,4,7,4,,10,1,9,5,2,2,1,4,5,8,5,4,,,16,4,5,6,5,2,,8,2,6,7,8,61
