BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",59023,58741,267,549,57705
"Baldwin City Public Library",25895,25975,108,28,25604
"Basehor Community Library",64374,64099,498,773,61729
"Bern Community Library",12412,12455,46,3,12175
"Bonner Springs City Library",60510,60716,435,229,58148
"Burlingame Community Library",14445,14494,79,30,14348
"Carbondale City Library",11071,11056,118,133,10949
"Centralia Community Library",8144,8115,38,67,8047
"Corning City Library",5254,5257,3,0,5184
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2750,2753,22,19,2701
"Doniphan County Library - Highland",4310,4357,71,24,4203
"Doniphan County Library - Troy",11407,11445,74,36,11192
"Doniphan County Library - Wathena",7701,7754,81,28,7614
"Effingham Community Library",8602,8628,36,10,8527
"Eudora Community Library",16593,16554,92,131,16374
"Everest, Barnes Reading Room",12452,12444,10,18,12297
"Hiawatha, Morrill Public Library",30696,30729,41,8,30125
"Highland Community College",4399,4403,4,0,4140
"Holton, Beck-Bookman Library",25394,25505,129,18,24936
"Horton Public Library",14242,14262,36,16,13718
"Lansing Community Library",22813,22940,155,28,22576
"Leavenworth Public Library",88228,88313,658,573,81747
"Linwood Community Library",11946,12015,76,7,11890
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13727,13787,117,57,13558
"McLouth Public Library",3887,3907,33,13,3897
"Meriden-Ozawkie Public Library",16229,16200,144,173,16059
"Northeast Kansas Library System",764,739,1,26,673
"Nortonville Public Library",18354,18454,106,6,17960
"Osage City Library",23398,23436,163,125,23322
"Osawatomie Public Library",17370,17430,78,18,17285
"Oskaloosa Public Library",10676,10672,13,17,10462
"Ottawa Library",70116,70256,405,265,67981
"Overbrook Public Library",21761,21832,86,15,21481
"Paola Free Library",30315,29768,75,622,28637
"Perry-Lecompton Community Library",12322,12431,133,24,12412
"Pomona Community Library",7452,7503,52,1,7342
"Prairie Hills Schools - Axtell Public School",12068,12180,168,56,10665
"Prairie Hills Schools - Sabetha Elementary School",16321,16315,0,6,13125
"Prairie Hills Schools - Sabetha High School",3837,3838,1,0,3641
"Prairie Hills Schools - Sabetha Middle School",4961,4968,7,0,4332
"Prairie Hills Schools - Wetmore Academic Center",13531,13528,0,3,9621
"Richmond Public Library",8061,8070,13,4,8029
"Rossville Community Library",15793,15809,53,37,15733
"Sabetha, Mary Cotton Library",30046,30003,126,169,29366
"Seneca Free Library",22879,22919,50,10,22825
"Silver Lake Library",11400,11441,107,66,10757
"Tonganoxie Public Library",27260,27276,228,212,26996
"Valley Falls, Delaware Township Library",10658,10667,52,43,10596
"Wellsville City Library",23079,23183,121,17,22486
"Wetmore Public Library",11007,11003,1,5,10914
"Williamsburg Community Library",14226,14221,35,40,14093
"Winchester Public Library",10743,10755,23,11,10558
