branchname,BORROWER_ACCT_USED_LM,TOTAL_BORROWERS,B_ADDED_LM,B_RENEWED_LM,B_DELETED_LM
"Atchison Public Library",512,6386,53,116,63
"Baldwin City Public Library",278,3857,43,47,20
"Basehor Community Library",817,6361,41,129,54
"Bern Community Library",17,174,22,4,2
"Bonner Springs City Library",579,8030,44,94,163
"Burlingame Community Library",108,634,22,11,5
"Carbondale City Library",115,731,28,20,3
"Centralia Community Library",45,238,22,28,1
"Corning City Library",3,149,20,0,1
"Digital Content",0,55,20,0,0
"Doniphan County Library - Elwood",23,399,23,6,2
"Doniphan County Library - Highland",47,383,20,9,12
"Doniphan County Library - Troy",140,919,24,12,9
"Doniphan County Library - Wathena",57,562,21,11,7
"Effingham Community Library",45,330,26,5,5
"Eudora Community Library",175,1826,98,33,24
"Everest, Barnes Reading Room",20,144,20,2,0
"Hiawatha, Morrill Public Library",253,2541,25,33,30
"Highland Community College",18,9230,20,2,1
"Holton, Beck-Bookman Library",297,3987,28,49,27
"Horton Public Library",30,1180,26,7,16
"Lansing Community Library",307,3096,42,54,33
"Leavenworth Public Library",903,14308,114,165,250
"Linwood Community Library",71,631,26,13,3
"Louisburg Library",0,578,25,0,1
"Lyndon Carnegie Library",79,971,25,10,7
"McLouth Public Library",36,584,20,5,6
"Meriden-Ozawkie Public Library",166,1678,24,34,0
"Northeast Kansas Library System",9,340,20,0,1
"Nortonville Public Library",39,510,20,9,11
"Osage City Library",263,1961,27,31,14
"Osawatomie Public Library",213,2697,33,23,35
"Oskaloosa Public Library",139,1196,22,28,19
"Ottawa Library",659,8860,46,117,92
"Overbrook Public Library",144,1164,26,32,10
"Paola Free Library",488,5164,55,75,103
"Perry-Lecompton Community Library",21,242,24,1,4
"Pomona Community Library",11,386,20,1,3
"Prairie Hills Schools - Axtell Public School",98,257,20,1,0
"Prairie Hills Schools - Sabetha Elementary School",338,586,21,0,0
"Prairie Hills Schools - Sabetha High School",15,307,20,0,50
"Prairie Hills Schools - Sabetha Middle School",92,235,20,1,1
"Prairie Hills Schools - Wetmore Academic Center",60,211,20,0,0
"Richmond Public Library",38,242,21,6,1
"Rossville Community Library",190,1326,27,32,19
"Sabetha, Mary Cotton Library",269,1958,24,36,0
"Seneca Free Library",231,1641,26,33,12
"Silver Lake Library",176,1083,24,21,9
"Tonganoxie Public Library",480,4839,55,81,40
"Valley Falls, Delaware Township Library",62,582,21,9,5
"Wellsville City Library",184,1162,32,13,4
"Wetmore Public Library",28,341,21,4,1
"Williamsburg Community Library",34,658,21,4,10
"Winchester Public Library",36,742,20,5,6
