branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2022-12-08,Thursday,"12:00 - 12:59",12,0,2,14,5,0,5
"Atchison Public Library",2022-12-08,Thursday,"13:00 - 13:59",33,0,37,70,5,0,5
"Atchison Public Library",2022-12-08,Thursday,"14:00 - 14:59",2,3,22,27,2,2,4
"Atchison Public Library",2022-12-08,Thursday,"15:00 - 15:59",28,7,14,49,4,2,6
"Atchison Public Library",2022-12-08,Thursday,"16:00 - 16:59",12,3,47,62,4,2,5
"Atchison Public Library",2022-12-08,Thursday,"17:00 - 17:59",21,1,12,34,3,1,3
"Atchison Public Library",2022-12-08,Thursday,"18:00 - 18:59",12,0,24,36,4,0,4
"Atchison Public Library",2022-12-08,Thursday,"19:00 - 19:59",10,1,24,35,6,1,6
"Atchison Public Library",2022-12-09,Friday,"7:00 - 7:59",0,0,1,1,0,0,
"Atchison Public Library",2022-12-09,Friday,"8:00 - 8:59",0,0,25,25,0,0,
"Atchison Public Library",2022-12-09,Friday,"9:00 - 9:59",14,6,30,50,4,1,5
"Atchison Public Library",2022-12-09,Friday,"10:00 - 10:59",10,8,161,179,6,3,8
"Atchison Public Library",2022-12-09,Friday,"11:00 - 11:59",14,2,28,44,5,1,6
"Atchison Public Library",2022-12-09,Friday,"12:00 - 12:59",6,3,38,47,2,3,3
"Atchison Public Library",2022-12-09,Friday,"13:00 - 13:59",12,4,10,26,5,1,6
"Atchison Public Library",2022-12-09,Friday,"14:00 - 14:59",31,1,21,53,11,1,11
"Atchison Public Library",2022-12-09,Friday,"15:00 - 15:59",50,0,77,127,5,0,5
"Atchison Public Library",2022-12-09,Friday,"16:00 - 16:59",51,6,65,122,7,3,9
"Atchison Public Library",2022-12-09,Friday,"19:00 - 19:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-10,Saturday,"7:00 - 7:59",0,4,0,4,0,2,2
"Atchison Public Library",2022-12-10,Saturday,"8:00 - 8:59",0,0,27,27,0,0,
"Atchison Public Library",2022-12-10,Saturday,"9:00 - 9:59",6,0,2,8,3,0,3
"Atchison Public Library",2022-12-10,Saturday,"10:00 - 10:59",27,5,44,76,9,3,10
"Atchison Public Library",2022-12-10,Saturday,"11:00 - 11:59",42,5,67,114,9,4,11
"Atchison Public Library",2022-12-10,Saturday,"12:00 - 12:59",53,5,50,108,9,2,10
"Atchison Public Library",2022-12-10,Saturday,"13:00 - 13:59",2,10,27,39,1,2,3
"Atchison Public Library",2022-12-10,Saturday,"17:00 - 17:59",0,14,0,14,0,1,1
"Atchison Public Library",2022-12-11,Sunday,"10:00 - 10:59",0,5,0,5,0,1,1
"Atchison Public Library",2022-12-11,Sunday,"17:00 - 17:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-11,Sunday,"18:00 - 18:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-11,Sunday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-12,Monday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-12,Monday,"8:00 - 8:59",0,0,33,33,0,0,
"Atchison Public Library",2022-12-12,Monday,"9:00 - 9:59",0,0,9,9,0,0,
"Atchison Public Library",2022-12-12,Monday,"10:00 - 10:59",10,56,66,132,4,1,5
"Atchison Public Library",2022-12-12,Monday,"11:00 - 11:59",9,5,139,153,5,3,8
"Atchison Public Library",2022-12-12,Monday,"12:00 - 12:59",43,0,61,104,9,0,9
"Atchison Public Library",2022-12-12,Monday,"13:00 - 13:59",42,0,42,84,6,0,6
"Atchison Public Library",2022-12-12,Monday,"14:00 - 14:59",10,5,39,54,5,2,5
"Atchison Public Library",2022-12-12,Monday,"15:00 - 15:59",8,2,31,41,5,2,7
"Atchison Public Library",2022-12-12,Monday,"16:00 - 16:59",27,15,39,81,8,1,9
"Atchison Public Library",2022-12-12,Monday,"17:00 - 17:59",15,0,67,82,6,0,6
"Atchison Public Library",2022-12-12,Monday,"18:00 - 18:59",11,2,4,17,2,1,3
"Atchison Public Library",2022-12-12,Monday,"19:00 - 19:59",13,2,37,52,4,1,5
"Atchison Public Library",2022-12-13,Tuesday,"3:00 - 3:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-13,Tuesday,"8:00 - 8:59",63,0,0,63,2,0,2
"Atchison Public Library",2022-12-13,Tuesday,"9:00 - 9:59",1,2,2,5,1,2,3
"Atchison Public Library",2022-12-13,Tuesday,"10:00 - 10:59",4,7,108,119,3,3,6
"Atchison Public Library",2022-12-13,Tuesday,"11:00 - 11:59",6,12,115,133,3,2,5
"Atchison Public Library",2022-12-13,Tuesday,"12:00 - 12:59",16,1,17,34,7,1,8
"Atchison Public Library",2022-12-13,Tuesday,"13:00 - 13:59",1,0,14,15,1,0,1
"Atchison Public Library",2022-12-13,Tuesday,"14:00 - 14:59",4,0,1,5,2,0,2
"Atchison Public Library",2022-12-13,Tuesday,"15:00 - 15:59",16,13,61,90,5,5,8
"Atchison Public Library",2022-12-13,Tuesday,"16:00 - 16:59",5,9,22,36,3,3,5
"Atchison Public Library",2022-12-13,Tuesday,"17:00 - 17:59",1,0,27,28,1,0,1
"Atchison Public Library",2022-12-13,Tuesday,"18:00 - 18:59",7,0,11,18,2,0,2
"Atchison Public Library",2022-12-13,Tuesday,"19:00 - 19:59",23,1,71,95,3,1,4
"Atchison Public Library",2022-12-14,Wednesday,"8:00 - 8:59",0,0,2,2,0,0,
"Atchison Public Library",2022-12-14,Wednesday,"9:00 - 9:59",5,12,33,50,2,2,4
"Atchison Public Library",2022-12-14,Wednesday,"10:00 - 10:59",5,4,42,51,2,1,3
"Atchison Public Library",2022-12-14,Wednesday,"11:00 - 11:59",23,3,216,242,6,2,8
"Atchison Public Library",2022-12-14,Wednesday,"12:00 - 12:59",5,10,39,54,4,3,6
"Atchison Public Library",2022-12-14,Wednesday,"13:00 - 13:59",21,1,37,59,7,1,8
"Atchison Public Library",2022-12-14,Wednesday,"14:00 - 14:59",2,5,25,32,2,2,3
"Atchison Public Library",2022-12-14,Wednesday,"15:00 - 15:59",25,1,42,68,10,1,11
"Atchison Public Library",2022-12-14,Wednesday,"16:00 - 16:59",28,1,35,64,7,1,8
"Atchison Public Library",2022-12-14,Wednesday,"17:00 - 17:59",5,0,7,12,2,0,2
"Atchison Public Library",2022-12-14,Wednesday,"18:00 - 18:59",12,4,5,21,1,1,2
"Atchison Public Library",2022-12-14,Wednesday,"19:00 - 19:59",15,1,4,20,2,1,3
"Atchison Public Library",2022-12-14,Wednesday,"20:00 - 20:59",2,0,0,2,1,0,1
"Atchison Public Library",2022-12-15,Thursday,"8:00 - 8:59",30,0,39,69,1,0,1
"Atchison Public Library",2022-12-15,Thursday,"9:00 - 9:59",26,3,104,133,5,1,6
"Atchison Public Library",2022-12-15,Thursday,"10:00 - 10:59",37,16,81,134,7,3,9
"Atchison Public Library",2022-12-15,Thursday,"11:00 - 11:59",19,0,31,50,8,0,8
"Atchison Public Library",2022-12-15,Thursday,"12:00 - 12:59",49,7,122,178,7,1,8
"Atchison Public Library",2022-12-15,Thursday,"13:00 - 13:59",14,0,23,37,10,0,10
"Atchison Public Library",2022-12-15,Thursday,"14:00 - 14:59",6,9,57,72,3,4,5
"Atchison Public Library",2022-12-15,Thursday,"15:00 - 15:59",26,4,70,100,11,3,13
"Atchison Public Library",2022-12-15,Thursday,"16:00 - 16:59",12,0,19,31,4,0,4
"Atchison Public Library",2022-12-15,Thursday,"17:00 - 17:59",16,0,34,50,5,0,5
"Atchison Public Library",2022-12-15,Thursday,"18:00 - 18:59",5,1,20,26,2,1,2
"Atchison Public Library",2022-12-15,Thursday,"19:00 - 19:59",6,3,16,25,3,2,4
"Atchison Public Library",2022-12-15,Thursday,"20:00 - 20:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-16,Friday,"8:00 - 8:59",0,0,31,31,0,0,
"Atchison Public Library",2022-12-16,Friday,"9:00 - 9:59",0,0,21,21,0,0,
"Atchison Public Library",2022-12-16,Friday,"10:00 - 10:59",10,0,132,142,5,0,5
"Atchison Public Library",2022-12-16,Friday,"11:00 - 11:59",12,6,10,28,2,3,3
"Atchison Public Library",2022-12-16,Friday,"12:00 - 12:59",54,2,72,128,7,2,8
"Atchison Public Library",2022-12-16,Friday,"13:00 - 13:59",14,4,10,28,7,1,7
"Atchison Public Library",2022-12-16,Friday,"14:00 - 14:59",52,19,47,118,14,4,16
"Atchison Public Library",2022-12-16,Friday,"15:00 - 15:59",9,7,10,26,5,3,7
"Atchison Public Library",2022-12-16,Friday,"16:00 - 16:59",20,11,63,94,5,2,5
"Atchison Public Library",2022-12-16,Friday,"17:00 - 17:59",0,0,3,3,0,0,
"Atchison Public Library",2022-12-16,Friday,"22:00 - 22:59",0,5,0,5,0,1,1
"Atchison Public Library",2022-12-16,Friday,"23:00 - 23:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-17,Saturday,"8:00 - 8:59",0,0,20,20,0,0,
"Atchison Public Library",2022-12-17,Saturday,"9:00 - 9:59",8,3,6,17,2,1,3
"Atchison Public Library",2022-12-17,Saturday,"10:00 - 10:59",12,0,24,36,4,0,4
"Atchison Public Library",2022-12-17,Saturday,"11:00 - 11:59",14,0,21,35,4,0,4
"Atchison Public Library",2022-12-17,Saturday,"12:00 - 12:59",6,1,32,39,2,1,3
"Atchison Public Library",2022-12-17,Saturday,"13:00 - 13:59",12,0,27,39,6,0,6
"Atchison Public Library",2022-12-17,Saturday,"14:00 - 14:59",1,0,0,1,1,0,1
"Atchison Public Library",2022-12-18,Sunday,"16:00 - 16:59",0,10,0,10,0,1,1
"Atchison Public Library",2022-12-18,Sunday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-19,Monday,"6:00 - 6:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-19,Monday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-19,Monday,"8:00 - 8:59",0,0,13,13,0,0,
"Atchison Public Library",2022-12-19,Monday,"9:00 - 9:59",7,3,61,71,2,2,4
"Atchison Public Library",2022-12-19,Monday,"10:00 - 10:59",11,7,80,98,6,4,9
"Atchison Public Library",2022-12-19,Monday,"11:00 - 11:59",11,9,53,73,5,3,8
"Atchison Public Library",2022-12-19,Monday,"12:00 - 12:59",23,3,53,79,8,2,9
"Atchison Public Library",2022-12-19,Monday,"13:00 - 13:59",33,12,18,63,8,3,10
"Atchison Public Library",2022-12-19,Monday,"14:00 - 14:59",67,0,23,90,15,0,15
"Atchison Public Library",2022-12-19,Monday,"15:00 - 15:59",22,6,70,98,6,2,7
"Atchison Public Library",2022-12-19,Monday,"16:00 - 16:59",22,4,40,66,8,3,9
"Atchison Public Library",2022-12-19,Monday,"17:00 - 17:59",6,1,14,21,2,1,3
"Atchison Public Library",2022-12-19,Monday,"18:00 - 18:59",10,0,5,15,2,0,2
"Atchison Public Library",2022-12-19,Monday,"19:00 - 19:59",2,0,1,3,1,0,1
"Atchison Public Library",2022-12-19,Monday,"20:00 - 20:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-20,Tuesday,"8:00 - 8:59",0,6,3,9,0,2,2
"Atchison Public Library",2022-12-20,Tuesday,"9:00 - 9:59",33,0,47,80,5,0,5
"Atchison Public Library",2022-12-20,Tuesday,"10:00 - 10:59",13,1,109,123,5,1,5
"Atchison Public Library",2022-12-20,Tuesday,"11:00 - 11:59",42,9,82,133,6,4,7
"Atchison Public Library",2022-12-20,Tuesday,"12:00 - 12:59",8,9,32,49,5,2,6
"Atchison Public Library",2022-12-20,Tuesday,"13:00 - 13:59",19,0,13,32,7,0,7
"Atchison Public Library",2022-12-20,Tuesday,"14:00 - 14:59",25,1,31,57,6,1,7
"Atchison Public Library",2022-12-20,Tuesday,"15:00 - 15:59",15,0,123,138,5,0,5
"Atchison Public Library",2022-12-20,Tuesday,"16:00 - 16:59",16,0,51,67,7,0,7
"Atchison Public Library",2022-12-20,Tuesday,"17:00 - 17:59",13,1,13,27,6,1,6
"Atchison Public Library",2022-12-20,Tuesday,"18:00 - 18:59",6,11,7,24,3,2,5
"Atchison Public Library",2022-12-20,Tuesday,"19:00 - 19:59",6,0,17,23,2,0,2
"Atchison Public Library",2022-12-20,Tuesday,"20:00 - 20:59",5,0,1,6,1,0,1
"Atchison Public Library",2022-12-20,Tuesday,"21:00 - 21:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-20,Tuesday,"22:00 - 22:59",0,9,0,9,0,1,1
"Atchison Public Library",2022-12-21,Wednesday,"9:00 - 9:59",14,4,38,56,8,2,9
"Atchison Public Library",2022-12-21,Wednesday,"10:00 - 10:59",7,0,79,86,4,0,4
"Atchison Public Library",2022-12-21,Wednesday,"11:00 - 11:59",12,1,35,48,4,1,5
"Atchison Public Library",2022-12-21,Wednesday,"12:00 - 12:59",22,1,55,78,8,1,8
"Atchison Public Library",2022-12-21,Wednesday,"13:00 - 13:59",16,10,63,89,8,4,11
"Atchison Public Library",2022-12-21,Wednesday,"14:00 - 14:59",30,3,23,56,10,2,11
"Atchison Public Library",2022-12-21,Wednesday,"15:00 - 15:59",9,1,15,25,5,1,5
"Atchison Public Library",2022-12-21,Wednesday,"16:00 - 16:59",8,0,5,13,3,0,3
"Atchison Public Library",2022-12-21,Wednesday,"17:00 - 17:59",10,3,23,36,4,3,6
"Atchison Public Library",2022-12-21,Wednesday,"18:00 - 18:59",4,0,37,41,1,0,1
"Atchison Public Library",2022-12-21,Wednesday,"19:00 - 19:59",8,0,50,58,3,0,3
"Atchison Public Library",2022-12-21,Wednesday,"20:00 - 20:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-22,Thursday,"9:00 - 9:59",1,0,24,25,1,0,1
"Atchison Public Library",2022-12-22,Thursday,"10:00 - 10:59",1,0,12,13,1,0,1
"Atchison Public Library",2022-12-22,Thursday,"11:00 - 11:59",0,5,5,10,0,2,2
"Atchison Public Library",2022-12-22,Thursday,"12:00 - 12:59",5,0,2,7,2,0,2
"Atchison Public Library",2022-12-22,Thursday,"13:00 - 13:59",3,15,9,27,2,3,5
"Atchison Public Library",2022-12-22,Thursday,"14:00 - 14:59",6,5,4,15,2,1,2
"Atchison Public Library",2022-12-22,Thursday,"15:00 - 15:59",16,8,49,73,4,3,6
"Atchison Public Library",2022-12-22,Thursday,"16:00 - 16:59",5,0,19,24,3,0,3
"Atchison Public Library",2022-12-22,Thursday,"19:00 - 19:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-23,Friday,"8:00 - 8:59",0,0,16,16,0,0,
"Atchison Public Library",2022-12-23,Friday,"9:00 - 9:59",8,1,10,19,2,1,3
"Atchison Public Library",2022-12-23,Friday,"10:00 - 10:59",9,9,33,51,3,3,6
"Atchison Public Library",2022-12-23,Friday,"11:00 - 11:59",8,23,149,180,2,3,5
"Atchison Public Library",2022-12-23,Friday,"12:00 - 12:59",7,6,66,79,3,3,5
"Atchison Public Library",2022-12-23,Friday,"13:00 - 13:59",8,8,58,74,5,2,6
"Atchison Public Library",2022-12-23,Friday,"14:00 - 14:59",7,1,14,22,4,1,4
"Atchison Public Library",2022-12-23,Friday,"15:00 - 15:59",35,6,30,71,7,2,8
"Atchison Public Library",2022-12-23,Friday,"16:00 - 16:59",23,2,11,36,7,1,7
"Atchison Public Library",2022-12-24,Saturday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-24,Saturday,"7:00 - 7:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-24,Saturday,"8:00 - 8:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-24,Saturday,"9:00 - 9:59",0,6,0,6,0,1,1
"Atchison Public Library",2022-12-24,Saturday,"10:00 - 10:59",0,3,0,3,0,1,1
"Atchison Public Library",2022-12-24,Saturday,"13:00 - 13:59",0,1,4,5,0,1,1
"Atchison Public Library",2022-12-25,Sunday,"15:00 - 15:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-25,Sunday,"23:00 - 23:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-26,Monday,"6:00 - 6:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-26,Monday,"8:00 - 8:59",0,0,108,108,0,0,
"Atchison Public Library",2022-12-26,Monday,"9:00 - 9:59",7,2,40,49,2,1,3
"Atchison Public Library",2022-12-26,Monday,"10:00 - 10:59",10,2,27,39,2,1,3
"Atchison Public Library",2022-12-26,Monday,"11:00 - 11:59",13,4,7,24,4,2,6
"Atchison Public Library",2022-12-26,Monday,"12:00 - 12:59",14,5,6,25,4,2,5
"Atchison Public Library",2022-12-26,Monday,"13:00 - 13:59",8,3,23,34,1,2,2
"Atchison Public Library",2022-12-26,Monday,"14:00 - 14:59",4,0,4,8,1,0,1
"Atchison Public Library",2022-12-26,Monday,"15:00 - 15:59",6,0,36,42,1,0,1
"Atchison Public Library",2022-12-26,Monday,"16:00 - 16:59",2,0,12,14,1,0,1
"Atchison Public Library",2022-12-26,Monday,"17:00 - 17:59",2,15,2,19,2,3,3
"Atchison Public Library",2022-12-26,Monday,"18:00 - 18:59",0,3,3,6,0,1,1
"Atchison Public Library",2022-12-26,Monday,"19:00 - 19:59",1,0,3,4,1,0,1
"Atchison Public Library",2022-12-26,Monday,"21:00 - 21:59",0,11,0,11,0,1,1
"Atchison Public Library",2022-12-27,Tuesday,"6:00 - 6:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-27,Tuesday,"7:00 - 7:59",0,21,0,21,0,1,1
"Atchison Public Library",2022-12-27,Tuesday,"8:00 - 8:59",0,1,12,13,0,1,1
"Atchison Public Library",2022-12-27,Tuesday,"9:00 - 9:59",18,3,51,72,6,2,6
"Atchison Public Library",2022-12-27,Tuesday,"10:00 - 10:59",32,3,74,109,8,2,9
"Atchison Public Library",2022-12-27,Tuesday,"11:00 - 11:59",14,2,72,88,3,2,5
"Atchison Public Library",2022-12-27,Tuesday,"12:00 - 12:59",14,3,31,48,4,1,5
"Atchison Public Library",2022-12-27,Tuesday,"13:00 - 13:59",48,4,44,96,7,1,8
"Atchison Public Library",2022-12-27,Tuesday,"14:00 - 14:59",28,41,52,121,6,3,8
"Atchison Public Library",2022-12-27,Tuesday,"15:00 - 15:59",17,7,32,56,4,2,5
"Atchison Public Library",2022-12-27,Tuesday,"16:00 - 16:59",7,0,52,59,6,0,6
"Atchison Public Library",2022-12-27,Tuesday,"17:00 - 17:59",1,4,0,5,1,1,2
"Atchison Public Library",2022-12-27,Tuesday,"18:00 - 18:59",0,0,6,6,0,0,
"Atchison Public Library",2022-12-27,Tuesday,"19:00 - 19:59",1,6,8,15,1,3,3
"Atchison Public Library",2022-12-28,Wednesday,"0:00 - 0:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-28,Wednesday,"8:00 - 8:59",0,6,2,8,0,1,1
"Atchison Public Library",2022-12-28,Wednesday,"9:00 - 9:59",34,5,97,136,6,2,7
"Atchison Public Library",2022-12-28,Wednesday,"10:00 - 10:59",15,1,65,81,5,1,5
"Atchison Public Library",2022-12-28,Wednesday,"11:00 - 11:59",14,0,65,79,4,0,4
"Atchison Public Library",2022-12-28,Wednesday,"12:00 - 12:59",6,0,3,9,2,0,2
"Atchison Public Library",2022-12-28,Wednesday,"13:00 - 13:59",21,0,74,95,3,0,3
"Atchison Public Library",2022-12-28,Wednesday,"14:00 - 14:59",7,1,30,38,5,1,5
"Atchison Public Library",2022-12-28,Wednesday,"15:00 - 15:59",1,5,2,8,1,3,4
"Atchison Public Library",2022-12-28,Wednesday,"16:00 - 16:59",18,0,35,53,5,0,5
"Atchison Public Library",2022-12-28,Wednesday,"17:00 - 17:59",20,0,27,47,6,0,6
