branchname,DATE,DAY,HOUR,CKO,RENEW,RETURNS,TOTAL_CKO_RENEW_RETURN,CKO_BORROWERS,RENEW_BORROWERS,CKO_AND_RENEW_BORROWERS
"Atchison Public Library",2022-12-01,Thursday,"6:00 - 6:59",0,4,0,4,0,2,2
"Atchison Public Library",2022-12-01,Thursday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-01,Thursday,"8:00 - 8:59",0,0,11,11,0,0,
"Atchison Public Library",2022-12-01,Thursday,"9:00 - 9:59",0,6,10,16,0,3,3
"Atchison Public Library",2022-12-01,Thursday,"10:00 - 10:59",38,5,190,233,7,4,10
"Atchison Public Library",2022-12-01,Thursday,"11:00 - 11:59",38,5,66,109,13,3,15
"Atchison Public Library",2022-12-01,Thursday,"12:00 - 12:59",42,0,32,74,7,0,7
"Atchison Public Library",2022-12-01,Thursday,"13:00 - 13:59",4,6,25,35,1,4,4
"Atchison Public Library",2022-12-01,Thursday,"14:00 - 14:59",21,12,42,75,9,1,9
"Atchison Public Library",2022-12-01,Thursday,"15:00 - 15:59",9,1,77,87,5,1,6
"Atchison Public Library",2022-12-01,Thursday,"16:00 - 16:59",6,5,3,14,4,2,6
"Atchison Public Library",2022-12-01,Thursday,"17:00 - 17:59",16,0,43,59,4,0,4
"Atchison Public Library",2022-12-01,Thursday,"18:00 - 18:59",5,0,28,33,3,0,3
"Atchison Public Library",2022-12-01,Thursday,"19:00 - 19:59",13,2,24,39,5,1,5
"Atchison Public Library",2022-12-02,Friday,"5:00 - 5:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-02,Friday,"6:00 - 6:59",0,10,0,10,0,2,2
"Atchison Public Library",2022-12-02,Friday,"7:00 - 7:59",0,4,0,4,0,1,1
"Atchison Public Library",2022-12-02,Friday,"8:00 - 8:59",0,0,2,2,0,0,
"Atchison Public Library",2022-12-02,Friday,"9:00 - 9:59",0,0,20,20,0,0,
"Atchison Public Library",2022-12-02,Friday,"10:00 - 10:59",13,5,106,124,4,2,6
"Atchison Public Library",2022-12-02,Friday,"11:00 - 11:59",39,19,30,88,4,2,5
"Atchison Public Library",2022-12-02,Friday,"12:00 - 12:59",14,1,74,89,3,1,4
"Atchison Public Library",2022-12-02,Friday,"13:00 - 13:59",3,1,16,20,3,1,3
"Atchison Public Library",2022-12-02,Friday,"14:00 - 14:59",21,1,53,75,8,1,8
"Atchison Public Library",2022-12-02,Friday,"15:00 - 15:59",27,3,10,40,7,1,8
"Atchison Public Library",2022-12-02,Friday,"16:00 - 16:59",9,1,29,39,5,1,6
"Atchison Public Library",2022-12-03,Saturday,"8:00 - 8:59",0,0,4,4,0,0,
"Atchison Public Library",2022-12-03,Saturday,"9:00 - 9:59",11,13,13,37,4,3,7
"Atchison Public Library",2022-12-03,Saturday,"10:00 - 10:59",11,0,33,44,3,0,3
"Atchison Public Library",2022-12-03,Saturday,"11:00 - 11:59",22,6,38,66,8,4,8
"Atchison Public Library",2022-12-03,Saturday,"12:00 - 12:59",35,1,47,83,5,1,6
"Atchison Public Library",2022-12-03,Saturday,"13:00 - 13:59",9,11,24,44,3,1,3
"Atchison Public Library",2022-12-03,Saturday,"14:00 - 14:59",0,25,0,25,0,1,1
"Atchison Public Library",2022-12-04,Sunday,"5:00 - 5:59",0,5,0,5,0,1,1
"Atchison Public Library",2022-12-04,Sunday,"16:00 - 16:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-04,Sunday,"19:00 - 19:59",0,5,0,5,0,3,3
"Atchison Public Library",2022-12-05,Monday,"1:00 - 1:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-05,Monday,"8:00 - 8:59",0,4,34,38,0,3,3
"Atchison Public Library",2022-12-05,Monday,"9:00 - 9:59",13,24,151,188,5,4,8
"Atchison Public Library",2022-12-05,Monday,"10:00 - 10:59",12,1,125,138,5,1,5
"Atchison Public Library",2022-12-05,Monday,"11:00 - 11:59",73,5,130,208,11,3,13
"Atchison Public Library",2022-12-05,Monday,"12:00 - 12:59",35,0,44,79,3,0,3
"Atchison Public Library",2022-12-05,Monday,"13:00 - 13:59",6,6,68,80,4,1,5
"Atchison Public Library",2022-12-05,Monday,"14:00 - 14:59",4,11,7,22,3,3,5
"Atchison Public Library",2022-12-05,Monday,"15:00 - 15:59",31,1,114,146,12,1,12
"Atchison Public Library",2022-12-05,Monday,"16:00 - 16:59",34,10,14,58,8,3,8
"Atchison Public Library",2022-12-05,Monday,"17:00 - 17:59",12,3,99,114,6,1,7
"Atchison Public Library",2022-12-05,Monday,"18:00 - 18:59",2,0,30,32,1,0,1
"Atchison Public Library",2022-12-05,Monday,"19:00 - 19:59",6,0,20,26,1,0,1
"Atchison Public Library",2022-12-05,Monday,"20:00 - 20:59",0,4,0,4,0,1,1
"Atchison Public Library",2022-12-06,Tuesday,"7:00 - 7:59",0,2,0,2,0,2,2
"Atchison Public Library",2022-12-06,Tuesday,"8:00 - 8:59",1,6,12,19,1,3,4
"Atchison Public Library",2022-12-06,Tuesday,"9:00 - 9:59",10,0,23,33,5,0,5
"Atchison Public Library",2022-12-06,Tuesday,"10:00 - 10:59",8,0,117,125,2,0,2
"Atchison Public Library",2022-12-06,Tuesday,"11:00 - 11:59",13,3,16,32,3,1,3
"Atchison Public Library",2022-12-06,Tuesday,"12:00 - 12:59",8,0,25,33,4,0,4
"Atchison Public Library",2022-12-06,Tuesday,"13:00 - 13:59",3,0,53,56,2,0,2
"Atchison Public Library",2022-12-06,Tuesday,"14:00 - 14:59",14,0,17,31,4,0,4
"Atchison Public Library",2022-12-06,Tuesday,"15:00 - 15:59",6,18,32,56,5,1,6
"Atchison Public Library",2022-12-06,Tuesday,"16:00 - 16:59",12,1,20,33,3,1,3
"Atchison Public Library",2022-12-06,Tuesday,"17:00 - 17:59",2,0,61,63,2,0,2
"Atchison Public Library",2022-12-06,Tuesday,"18:00 - 18:59",22,0,13,35,3,0,3
"Atchison Public Library",2022-12-06,Tuesday,"19:00 - 19:59",3,1,4,8,2,1,2
"Atchison Public Library",2022-12-06,Tuesday,"22:00 - 22:59",0,4,0,4,0,1,1
"Atchison Public Library",2022-12-07,Wednesday,"7:00 - 7:59",0,9,0,9,0,1,1
"Atchison Public Library",2022-12-07,Wednesday,"8:00 - 8:59",0,13,0,13,0,1,1
"Atchison Public Library",2022-12-07,Wednesday,"9:00 - 9:59",1,0,33,34,1,0,1
"Atchison Public Library",2022-12-07,Wednesday,"10:00 - 10:59",6,1,126,133,2,1,2
"Atchison Public Library",2022-12-07,Wednesday,"11:00 - 11:59",11,1,33,45,4,1,4
"Atchison Public Library",2022-12-07,Wednesday,"12:00 - 12:59",18,1,31,50,5,1,5
"Atchison Public Library",2022-12-07,Wednesday,"13:00 - 13:59",10,3,48,61,5,2,7
"Atchison Public Library",2022-12-07,Wednesday,"14:00 - 14:59",14,11,57,82,6,2,8
"Atchison Public Library",2022-12-07,Wednesday,"15:00 - 15:59",8,1,16,25,3,1,4
"Atchison Public Library",2022-12-07,Wednesday,"16:00 - 16:59",44,3,55,102,6,3,8
"Atchison Public Library",2022-12-07,Wednesday,"17:00 - 17:59",8,1,30,39,2,1,3
"Atchison Public Library",2022-12-07,Wednesday,"18:00 - 18:59",0,0,5,5,0,0,
"Atchison Public Library",2022-12-07,Wednesday,"19:00 - 19:59",9,0,4,13,4,0,4
"Atchison Public Library",2022-12-08,Thursday,"6:00 - 6:59",0,2,0,2,0,1,1
"Atchison Public Library",2022-12-08,Thursday,"7:00 - 7:59",0,1,0,1,0,1,1
"Atchison Public Library",2022-12-08,Thursday,"8:00 - 8:59",0,0,4,4,0,0,
"Atchison Public Library",2022-12-08,Thursday,"9:00 - 9:59",6,2,22,30,3,2,4
"Atchison Public Library",2022-12-08,Thursday,"10:00 - 10:59",35,15,228,278,7,5,10
"Atchison Public Library",2022-12-08,Thursday,"11:00 - 11:59",29,5,30,64,8,3,10
