branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",4887,3678,1209,10665,2679,2204
"Baldwin City Public Library",2603,1956,647,3001,1298,1305
"Basehor Community Library",8370,6050,2320,14420,3531,4837
"Bern Community Library",148,121,27,280,87,61
"Bonner Springs City Library",5454,4067,1387,11021,2464,2990
"Burlingame Community Library",685,524,161,1129,444,241
"Carbondale City Library",682,582,100,860,424,258
"Centralia Community Library",225,178,47,319,178,47
"Corning City Library",14,8,6,60,12,2
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",126,115,11,301,81,38
"Doniphan County Library - Highland",493,449,44,791,366,126
"Doniphan County Library - Troy",950,666,284,2262,573,377
"Doniphan County Library - Wathena",378,307,71,661,213,165
"Effingham Community Library",334,275,59,474,178,156
"Eudora Community Library",1614,1219,395,2313,788,826
"Everest, Barnes Reading Room",274,115,159,427,74,200
"Hiawatha, Morrill Public Library",2072,1644,428,2993,1101,971
"Highland Community College",49,33,16,102,49,0
"Holton, Beck-Bookman Library",1907,1603,304,2814,1247,660
"Horton Public Library",136,118,18,296,126,10
"Lansing Community Library",2228,1577,651,3581,1113,1114
"Leavenworth Public Library",8893,6367,2526,17775,4832,4058
"Linwood Community Library",652,529,123,1247,339,313
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",688,393,295,961,504,184
"McLouth Public Library",278,226,52,418,88,190
"Meriden-Ozawkie Public Library",1895,1378,517,2968,892,1003
"Northeast Kansas Library System",55,32,23,93,39,16
"Nortonville Public Library",285,231,54,761,94,191
"Osage City Library",1783,1596,187,2981,1298,484
"Osawatomie Public Library",1171,892,279,1940,755,416
"Oskaloosa Public Library",799,641,158,1111,505,294
"Ottawa Library",6208,5148,1060,8046,3003,3205
"Overbrook Public Library",1023,881,142,1792,682,341
"Paola Free Library",2727,2063,664,3212,1375,1352
"Perry-Lecompton Community Library",196,137,59,400,82,114
"Pomona Community Library",277,253,24,508,45,232
"Prairie Hills Schools - Axtell Public School",245,235,10,423,9,236
"Prairie Hills Schools - Sabetha Elementary School",1205,1043,162,1184,2,1203
"Prairie Hills Schools - Sabetha High School",19,18,1,35,19,0
"Prairie Hills Schools - Sabetha Middle School",135,124,11,158,3,132
"Prairie Hills Schools - Wetmore Academic Center",259,170,89,242,63,196
"Richmond Public Library",346,320,26,677,286,60
"Rossville Community Library",1457,1146,311,2498,766,691
"Sabetha, Mary Cotton Library",3728,2879,849,5352,1202,2526
"Seneca Free Library",1308,1048,260,1897,659,649
"Silver Lake Library",1419,902,517,2170,551,868
"Tonganoxie Public Library",3262,2740,522,4244,1586,1676
"Valley Falls, Delaware Township Library",598,416,182,775,287,311
"Wellsville City Library",1728,1059,669,2338,714,1014
"Wetmore Public Library",241,214,27,534,182,59
"Williamsburg Community Library",144,102,42,463,82,62
"Winchester Public Library",265,214,51,647,179,86
