branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-12-01,2022-12-02,2022-12-03,2022-12-04,2022-12-05,2022-12-06,2022-12-07,2022-12-08,2022-12-09,2022-12-10,2022-12-11,2022-12-12,2022-12-13,2022-12-14,2022-12-15,2022-12-16,2022-12-17,2022-12-18,2022-12-19,2022-12-20,2022-12-21,2022-12-22,2022-12-23,2022-12-24,2022-12-25,2022-12-26,2022-12-27,2022-12-28,2022-12-29,2022-12-30,2022-12-31,"2022-12-01 - 2022-12-31"
" DAY",Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,-
"Prairie Hills Schools - Sabetha Middle School",4,7,,,4,10,29,1,3,,,5,23,7,4,6,,,20,3,,,,,,,,,,,,92
"Prairie Hills Schools - Wetmore Academic Center",20,9,,,,1,19,18,10,,,,2,10,15,5,,,12,,,,,,,,,,,,,60
"Richmond Public Library",8,8,3,1,8,,7,11,11,1,,7,,17,8,6,3,,6,,8,,6,,,,,14,7,10,,38
"Rossville Community Library",12,18,6,,9,11,17,14,19,7,,31,21,27,24,19,7,,15,26,25,1,1,1,,,26,19,13,23,3,190
"Sabetha, Mary Cotton Library",27,36,13,,38,28,32,28,19,16,3,35,28,32,23,24,17,1,32,39,33,,20,1,,2,31,36,29,27,9,269
"Seneca Free Library",15,22,6,,24,15,25,12,19,8,1,27,24,20,19,13,6,,13,37,23,,22,2,1,,33,35,29,25,1,231
"Silver Lake Library",8,14,4,,64,20,25,20,21,1,,13,27,28,35,13,6,,10,11,19,,,,,3,37,21,55,19,5,176
"Tonganoxie Public Library",42,29,36,9,37,35,44,45,47,18,12,40,37,44,39,24,32,17,40,58,47,4,11,4,,29,42,46,30,50,20,480
"Valley Falls, Delaware Township Library",3,9,3,,4,6,5,2,4,4,,8,6,6,5,8,3,1,9,5,9,,,1,,,6,9,5,11,5,62
"Wellsville City Library",17,15,6,1,14,26,80,7,15,11,,16,13,12,16,17,7,,16,21,13,10,3,2,,3,15,20,18,17,1,184
"Wetmore Public Library",1,4,2,,1,,5,2,6,1,,4,2,4,1,4,1,,5,2,5,,,,,,3,4,3,5,,28
"Williamsburg Community Library",1,1,4,,8,1,5,,1,1,,5,3,3,2,,2,1,7,3,5,,,,1,1,4,6,,,1,34
"Winchester Public Library",6,5,,,8,1,2,9,4,1,,7,1,6,2,6,,,5,1,7,,5,,,1,,8,2,3,,36
