branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",931,670
"Baldwin City Public Library",262,261
"Basehor Community Library",769,849
"Bern Community Library",64,10
"Bonner Springs City Library",954,711
"Burlingame Community Library",202,84
"Carbondale City Library",124,53
"Centralia Community Library",44,17
"Corning City Library",30,0
"Digital Content",0,0
"Doniphan County Library - Elwood",10,48
"Doniphan County Library - Highland",125,126
"Doniphan County Library - Troy",206,110
"Doniphan County Library - Wathena",140,68
"Effingham Community Library",111,22
"Eudora Community Library",303,382
"Everest, Barnes Reading Room",35,62
"Hiawatha, Morrill Public Library",233,411
"Highland Community College",26,1
"Holton, Beck-Bookman Library",265,386
"Horton Public Library",48,29
"Lansing Community Library",377,395
"Leavenworth Public Library",901,956
"Linwood Community Library",228,89
"Louisburg Library",0,0
"Lyndon Carnegie Library",162,104
"McLouth Public Library",62,92
"Meriden-Ozawkie Public Library",352,389
"Northeast Kansas Library System",21,27
"Nortonville Public Library",193,63
"Osage City Library",351,346
"Osawatomie Public Library",307,316
"Oskaloosa Public Library",76,193
"Ottawa Library",737,566
"Overbrook Public Library",287,191
"Paola Free Library",270,329
"Perry-Lecompton Community Library",97,23
"Pomona Community Library",77,158
"Prairie Hills Schools - Axtell Public School",35,7
"Prairie Hills Schools - Sabetha Elementary School",8,36
"Prairie Hills Schools - Sabetha High School",12,1
"Prairie Hills Schools - Sabetha Middle School",7,4
"Prairie Hills Schools - Wetmore Academic Center",5,4
"Richmond Public Library",108,41
"Rossville Community Library",387,294
"Sabetha, Mary Cotton Library",328,630
"Seneca Free Library",339,148
"Silver Lake Library",116,248
"Tonganoxie Public Library",291,445
"Valley Falls, Delaware Township Library",77,139
"Wellsville City Library",301,274
"Wetmore Public Library",108,115
"Williamsburg Community Library",142,21
"Winchester Public Library",141,86
