Library,"Requests placed last month","Requests filled last month","Requests cancelled after placement on hold shelf","Requests cancelled while in transit","Requests cancelled before an item was found","Requests cancelled total","Requests expired last month","Requests placed by staff","Requests placed in the OPAC"
"Atchison Public Library",3096,1245,132,8,49,189,6,678,2418
"Baldwin City Public Library",1020,392,67,0,44,111,5,380,640
"Basehor Community Library",4526,1839,164,12,64,240,9,1048,3478
"Bern Community Library",30,16,0,0,1,1,0,24,6
"Bonner Springs City Library",3902,1396,215,6,144,365,11,1284,2618
"Burlingame Community Library",516,222,7,8,20,35,5,180,336
"Carbondale City Library",192,76,2,1,6,9,0,112,80
"Centralia Community Library",70,30,1,3,2,6,0,48,22
"Corning City Library",1,0,0,2,1,3,0,0,1
"Digital Content",0,0,0,0,0,0,0,0,0
"Doniphan County Library - Elwood",67,55,3,1,1,5,0,64,3
"Doniphan County Library - Highland",328,121,2,1,9,12,0,226,102
"Doniphan County Library - Troy",292,135,15,2,9,26,0,168,124
"Doniphan County Library - Wathena",296,93,5,40,6,51,0,182,114
"Effingham Community Library",38,27,2,0,1,3,0,28,10
"Eudora Community Library",1260,620,40,4,35,79,3,414,846
"Everest, Barnes Reading Room",144,53,0,0,2,2,0,46,98
"Hiawatha, Morrill Public Library",1440,596,60,8,72,140,22,606,834
"Highland Community College",1,2,1,0,0,1,0,1,0
"Holton, Beck-Bookman Library",1086,392,51,4,24,79,11,520,566
"Horton Public Library",62,27,0,1,0,1,0,38,24
"Lansing Community Library",1360,533,81,2,55,138,9,476,884
"Leavenworth Public Library",3810,1540,249,8,75,332,7,1058,2752
"Linwood Community Library",318,111,7,0,7,14,1,158,160
"Louisburg Library",0,0,0,0,0,0,0,0,0
"Lyndon Carnegie Library",314,152,2,4,10,16,2,194,120
"McLouth Public Library",104,40,8,0,2,10,1,50,54
"Meriden-Ozawkie Public Library",1532,696,2,0,14,16,1,488,1044
"Northeast Kansas Library System",84,24,6,0,8,14,1,54,30
"Nortonville Public Library",124,38,0,1,2,3,0,26,98
"Osage City Library",1206,438,61,12,97,170,16,804,402
"Osawatomie Public Library",1102,474,19,2,38,59,9,704,398
"Oskaloosa Public Library",354,147,17,0,6,23,0,198,156
"Ottawa Library",2514,951,163,5,54,222,14,896,1618
"Overbrook Public Library",500,191,16,0,8,24,2,204,296
"Paola Free Library",1100,428,79,4,65,148,41,470,630
"Perry-Lecompton Community Library",92,34,0,2,3,5,0,8,84
"Pomona Community Library",96,75,210,1,1,212,0,42,54
"Prairie Hills Schools - Axtell Public School",7,0,0,0,1,1,0,2,5
"Prairie Hills Schools - Sabetha Elementary School",56,5,0,0,0,0,0,54,2
"Prairie Hills Schools - Sabetha High School",8,7,0,0,0,0,0,2,6
"Prairie Hills Schools - Sabetha Middle School",10,1,0,0,0,0,0,10,0
"Prairie Hills Schools - Wetmore Academic Center",0,0,0,0,1,1,0,0,0
"Richmond Public Library",166,126,0,0,0,0,0,72,94
"Rossville Community Library",852,375,15,3,7,25,0,460,392
"Sabetha, Mary Cotton Library",1682,814,4,1,14,19,1,366,1316
"Seneca Free Library",646,266,20,0,41,61,8,244,402
"Silver Lake Library",856,383,22,3,20,45,1,470,386
"Tonganoxie Public Library",1724,700,59,7,23,89,3,518,1206
"Valley Falls, Delaware Township Library",256,133,16,0,6,22,1,114,142
"Wellsville City Library",732,268,15,2,13,30,0,438,294
"Wetmore Public Library",326,140,5,0,3,8,0,74,252
"Williamsburg Community Library",102,36,2,0,1,3,1,54,48
"Winchester Public Library",266,131,4,0,10,14,0,118,148
