branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",1195,1045
"Baldwin City Public Library",416,387
"Basehor Community Library",872,1228
"Bern Community Library",80,18
"Bonner Springs City Library",1222,1064
"Burlingame Community Library",198,201
"Carbondale City Library",142,97
"Centralia Community Library",76,6
"Corning City Library",28,1
"Digital Content",0,0
"Doniphan County Library - Elwood",46,30
"Doniphan County Library - Highland",149,108
"Doniphan County Library - Troy",331,115
"Doniphan County Library - Wathena",207,79
"Effingham Community Library",101,32
"Eudora Community Library",495,526
"Everest, Barnes Reading Room",93,63
"Hiawatha, Morrill Public Library",418,577
"Highland Community College",61,2
"Holton, Beck-Bookman Library",340,401
"Horton Public Library",89,31
"Lansing Community Library",468,487
"Leavenworth Public Library",1220,1268
"Linwood Community Library",355,129
"Louisburg Library",0,0
"Lyndon Carnegie Library",199,127
"McLouth Public Library",71,48
"Meriden-Ozawkie Public Library",480,649
"Northeast Kansas Library System",21,27
"Nortonville Public Library",259,43
"Osage City Library",451,369
"Osawatomie Public Library",381,375
"Oskaloosa Public Library",124,149
"Ottawa Library",1057,892
"Overbrook Public Library",379,190
"Paola Free Library",301,426
"Perry-Lecompton Community Library",114,41
"Pomona Community Library",42,37
"Prairie Hills Schools - Axtell Public School",38,0
"Prairie Hills Schools - Sabetha Elementary School",7,6
"Prairie Hills Schools - Sabetha High School",11,6
"Prairie Hills Schools - Sabetha Middle School",5,0
"Prairie Hills Schools - Wetmore Academic Center",0,0
"Richmond Public Library",155,77
"Rossville Community Library",480,349
"Sabetha, Mary Cotton Library",527,710
"Seneca Free Library",516,245
"Silver Lake Library",164,347
"Tonganoxie Public Library",398,669
"Valley Falls, Delaware Township Library",90,134
"Wellsville City Library",483,261
"Wetmore Public Library",135,134
"Williamsburg Community Library",206,48
"Winchester Public Library",120,110
