branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-08-01,2022-08-02,2022-08-03,2022-08-04,2022-08-05,2022-08-06,2022-08-07,2022-08-08,2022-08-09,2022-08-10,2022-08-11,2022-08-12,2022-08-13,2022-08-14,2022-08-15,2022-08-16,2022-08-17,2022-08-18,2022-08-19,2022-08-20,2022-08-21,2022-08-22,2022-08-23,2022-08-24,2022-08-25,2022-08-26,2022-08-27,2022-08-28,2022-08-29,2022-08-30,2022-08-31,"2022-08-01 - 2022-08-30"
" DAY",Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,-
"Atchison Public Library",70,69,70,84,57,32,3,76,68,58,84,54,29,4,68,61,60,73,74,36,4,61,44,68,66,56,32,4,70,59,62,648
"Baldwin City Public Library",41,44,30,29,26,17,2,34,39,36,20,31,17,5,40,38,32,38,24,24,1,38,34,40,29,29,15,1,48,42,40,351
"Basehor Community Library",101,102,106,88,49,70,44,90,116,95,103,74,55,39,96,76,99,73,74,57,44,90,95,91,86,90,55,56,94,71,95,1034
"Bern Community Library",4,,5,,1,1,,1,,3,1,2,2,,4,,1,2,,1,,2,,6,7,1,5,,2,,2,33
"Bonner Springs City Library",54,81,65,67,38,39,18,70,56,65,62,39,26,26,60,58,63,45,42,41,21,79,52,56,59,42,40,20,61,78,52,721
"Burlingame Community Library",10,7,17,5,11,8,,10,17,14,12,10,12,,8,10,15,3,2,9,,9,14,18,15,7,7,,19,14,20,105
"Carbondale City Library",17,13,10,8,8,13,,7,9,12,11,11,8,,12,7,8,6,9,7,,4,11,9,14,12,7,,12,8,13,123
"Centralia Community Library",4,,8,4,3,2,,5,1,7,3,4,5,1,8,,6,2,3,6,,3,,8,3,8,5,,1,,7,45
"Corning City Library",1,,3,,,,,,,,,,,,,,1,,,,,1,,2,,,1,,1,,,7
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",7,1,2,3,2,,,2,3,1,3,5,1,,4,4,,2,,,,2,2,6,2,3,3,,,2,2,31
"Doniphan County Library - Highland",10,15,4,12,2,3,,9,8,3,11,12,5,,10,4,7,5,8,2,,8,4,8,4,10,4,,7,2,3,69
"Doniphan County Library - Troy",28,18,12,16,14,6,1,16,14,44,10,8,11,,22,13,15,14,10,5,,12,12,12,14,16,3,1,11,12,23,154
"Doniphan County Library - Wathena",5,7,8,4,3,3,,5,5,7,6,6,,,5,9,2,11,4,2,,5,,9,5,6,2,,5,2,4,63
"Effingham Community Library",7,9,6,4,,5,,7,3,8,7,1,5,,,2,7,1,3,4,,,3,5,3,2,2,,5,4,9,41
"Eudora Community Library",46,26,24,21,25,13,2,43,22,29,17,26,16,2,36,21,32,26,18,13,1,34,21,34,10,23,20,1,40,26,23,239
"Everest, Barnes Reading Room",1,5,5,4,2,1,,,6,3,1,,2,,,4,1,5,2,,,,3,3,1,2,1,,,4,,19
"Hiawatha, Morrill Public Library",39,40,24,45,22,22,6,38,39,34,32,25,25,3,29,35,28,27,24,20,15,29,30,29,40,32,19,13,31,41,33,354
"Highland Community College",,2,,,1,,,3,1,1,,,,,2,1,2,2,1,,,1,3,4,3,3,,1,4,6,2,27
"Holton, Beck-Bookman Library",45,44,24,29,35,13,,47,32,23,29,30,18,,32,50,25,29,29,12,,36,32,30,33,24,17,,45,34,39,408
"Horton Public Library",9,9,1,2,2,,,6,3,4,8,2,2,,6,5,2,4,5,,,4,3,3,2,3,,,4,3,6,54
"Lansing Community Library",34,50,27,31,59,18,,51,38,42,26,39,20,,31,26,37,20,31,21,3,29,35,21,24,37,26,3,33,35,29,419
"Leavenworth Public Library",117,135,112,108,79,93,6,111,127,104,115,68,87,10,134,100,118,91,90,74,8,121,112,112,89,95,86,8,108,102,88,1181
"Linwood Community Library",8,2,2,1,3,1,,4,7,14,13,11,1,1,5,8,9,9,4,4,1,10,8,10,8,6,3,1,6,10,7,78
"Louisburg Library",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lyndon Carnegie Library",8,6,14,11,,17,3,11,15,6,5,,12,,13,10,10,7,,10,,16,8,7,9,,10,,17,6,14,120
"McLouth Public Library",3,6,3,1,6,,,2,1,3,2,2,1,,4,4,2,1,2,2,,4,,3,3,1,1,,6,3,2,38
"Meriden-Ozawkie Public Library",25,25,21,18,25,8,1,23,20,22,20,20,9,1,20,20,23,26,12,11,,23,24,20,22,19,12,,19,28,18,213
"Northeast Kansas Library System",2,3,3,1,2,,,3,,1,2,1,,,,1,,1,3,,,,,1,3,2,,1,3,7,2,21
"Nortonville Public Library",2,8,2,5,4,,,,5,6,12,3,4,,1,10,5,3,10,2,,,7,4,9,4,4,,,10,6,55
"Osage City Library",34,40,33,33,17,12,,35,54,18,25,21,13,,42,24,39,30,23,17,4,39,30,35,32,31,23,,45,37,33,297
"Osawatomie Public Library",47,29,28,28,25,18,1,31,31,28,19,15,6,3,35,31,16,18,26,10,,43,27,23,23,15,14,2,42,18,30,267
"Oskaloosa Public Library",26,17,15,21,14,5,1,29,13,12,22,12,6,,17,9,11,16,17,4,,22,13,17,20,15,7,1,15,8,14,157
"Ottawa Library",115,71,69,73,78,29,4,94,100,81,69,75,40,3,77,68,85,64,79,32,5,77,73,74,66,75,43,2,75,76,63,900
"Overbrook Public Library",25,11,13,20,19,6,,12,17,18,16,18,9,3,20,25,17,13,10,7,,13,10,12,9,13,6,,12,12,18,165
"Paola Free Library",40,73,50,49,45,23,1,61,47,70,53,39,25,2,42,61,48,55,44,20,,55,54,49,57,46,24,2,51,52,52,556
"Perry-Lecompton Community Library",,2,1,4,,2,,,6,,4,,2,1,,2,,4,,3,,1,2,,3,,2,,,4,,24
"Pomona Community Library",,2,,1,1,2,,1,2,3,1,4,,,,3,,1,,,,,4,2,6,1,2,,,1,2,24
"Prairie Hills Schools - Axtell Public School",,,,,,,,,,,,,,,,,3,60,24,,,43,12,17,,,,,,32,31,140
"Prairie Hills Schools - Sabetha Elementary School",,,,,,,,,,,,,,,1,,,72,57,,,86,76,78,76,26,,,122,81,72,367
"Prairie Hills Schools - Sabetha High School",,,,1,,,,,,,,,,,,,,1,7,,,3,1,7,,1,,,4,2,25,43
"Prairie Hills Schools - Sabetha Middle School",,,,,,,,,,,,,,,,,1,,,,,52,12,11,41,45,,,4,12,3,148
"Prairie Hills Schools - Wetmore Academic Center",,,,,,,,,,,,,,,,,,,11,,,,,23,24,9,,,14,,19,67
"Richmond Public Library",1,,2,,9,2,,5,,9,9,8,5,,10,,7,6,12,6,,10,,11,6,7,6,,9,3,6,40
"Rossville Community Library",18,24,15,23,23,7,1,21,29,27,22,14,1,,50,18,11,17,29,3,,23,18,21,23,16,3,,21,23,12,235
"Sabetha, Mary Cotton Library",35,34,32,28,24,8,4,24,33,33,22,31,20,1,39,41,31,19,33,18,2,39,41,35,27,39,17,1,36,44,36,329
"Seneca Free Library",33,32,43,25,23,18,2,31,26,24,27,21,8,,36,30,28,19,19,16,1,42,31,22,26,16,7,,30,4,31,313
"Silver Lake Library",20,29,11,15,23,9,1,45,17,23,28,24,6,,15,46,13,30,17,6,1,39,17,22,25,12,13,,29,33,35,224
"Tonganoxie Public Library",50,59,46,61,35,12,13,61,41,57,54,35,29,18,67,55,46,82,34,42,16,32,53,45,44,51,31,16,50,56,49,595
"Valley Falls, Delaware Township Library",5,8,11,4,10,3,1,6,7,11,7,8,4,,10,7,10,3,6,5,,8,8,9,3,2,7,,6,3,8,82
"Wellsville City Library",25,14,16,15,21,5,1,21,19,16,6,11,12,1,25,18,23,19,17,11,1,15,12,15,21,18,12,1,18,81,19,200
"Wetmore Public Library",2,4,2,,6,2,,4,,2,7,3,2,,4,1,13,3,4,4,,1,3,5,2,4,3,,14,1,4,33
