branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",6535,4966,1569,14755,3261,3272
"Baldwin City Public Library",3285,2607,678,4154,1418,1867
"Basehor Community Library",11960,8935,3025,20813,4749,7207
"Bern Community Library",239,174,65,375,122,117
"Bonner Springs City Library",6555,5275,1280,14038,2886,3661
"Burlingame Community Library",918,768,150,1462,653,264
"Carbondale City Library",823,726,97,1115,492,331
"Centralia Community Library",273,238,35,412,188,85
"Corning City Library",20,9,11,94,12,8
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",169,152,17,366,101,61
"Doniphan County Library - Highland",495,453,42,973,315,178
"Doniphan County Library - Troy",1022,758,264,3018,499,522
"Doniphan County Library - Wathena",435,378,57,976,258,177
"Effingham Community Library",256,216,40,465,135,121
"Eudora Community Library",2677,2071,606,3996,966,1709
"Everest, Barnes Reading Room",434,220,214,615,203,231
"Hiawatha, Morrill Public Library",3300,2687,613,4632,1456,1844
"Highland Community College",77,58,19,134,69,8
"Holton, Beck-Bookman Library",2511,2195,316,3690,1545,966
"Horton Public Library",223,210,13,444,165,58
"Lansing Community Library",3082,2397,685,4732,1221,1861
"Leavenworth Public Library",11586,9034,2552,15355,5485,6097
"Linwood Community Library",713,604,109,1576,241,472
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",834,633,201,1245,535,299
"McLouth Public Library",169,136,33,395,85,84
"Meriden-Ozawkie Public Library",2389,1984,405,4324,1089,1300
"Northeast Kansas Library System",101,84,17,268,90,11
"Nortonville Public Library",449,325,124,896,144,305
"Osage City Library",2201,1935,266,3699,1629,569
"Osawatomie Public Library",1665,1338,327,2729,1015,650
"Oskaloosa Public Library",895,734,161,1305,663,232
"Ottawa Library",8468,7267,1201,11914,3650,4815
"Overbrook Public Library",1325,1154,171,2561,827,498
"Paola Free Library",3475,2665,810,4527,1673,1801
"Perry-Lecompton Community Library",120,92,28,380,55,65
"Pomona Community Library",167,139,28,716,40,127
"Prairie Hills Schools - Axtell Public School",410,409,1,265,12,398
"Prairie Hills Schools - Sabetha Elementary School",1418,1345,73,681,6,1412
"Prairie Hills Schools - Sabetha High School",58,54,4,36,54,4
"Prairie Hills Schools - Sabetha Middle School",210,209,1,56,1,209
"Prairie Hills Schools - Wetmore Academic Center",237,156,81,78,80,157
"Richmond Public Library",479,440,39,909,338,141
"Rossville Community Library",1859,1527,332,3386,871,982
"Sabetha, Mary Cotton Library",4298,3242,1056,5673,1292,3005
"Seneca Free Library",2249,1869,380,3509,853,1396
"Silver Lake Library",1794,1285,509,3317,663,1130
"Tonganoxie Public Library",4922,4242,680,6571,2112,2810
"Valley Falls, Delaware Township Library",660,535,125,892,403,257
"Wellsville City Library",2270,1508,762,2960,1005,1265
"Wetmore Public Library",299,256,43,688,206,92
"Williamsburg Community Library",379,305,74,737,127,252
"Winchester Public Library",399,321,78,842,217,182
