BRANCH,START_I,END_I,ITEMS_ADD_L_M,ITEMS_DEL_L_M,TOTAL_HOLDINGS
"Atchison Public Library",58254,58517,451,188,57402
"Baldwin City Public Library",25458,25514,158,102,25137
"Basehor Community Library",64187,64214,574,547,61814
"Bern Community Library",12337,12368,33,2,12091
"Bonner Springs City Library",60644,60604,456,496,58220
"Burlingame Community Library",14913,14946,50,17,14800
"Carbondale City Library",10677,11028,612,261,10923
"Centralia Community Library",7938,7991,53,0,7911
"Corning City Library",5165,5187,23,1,5116
"Digital Content",361,361,0,0,361
"Doniphan County Library - Elwood",2678,2738,62,2,2678
"Doniphan County Library - Highland",4845,4198,88,736,4063
"Doniphan County Library - Troy",11290,11132,174,332,10880
"Doniphan County Library - Wathena",7732,7637,140,235,7474
"Effingham Community Library",8668,8720,55,3,8619
"Eudora Community Library",16494,16454,119,159,16286
"Everest, Barnes Reading Room",12279,12337,60,2,12189
"Hiawatha, Morrill Public Library",30752,30840,112,24,30237
"Highland Community College",4571,4413,34,192,4144
"Holton, Beck-Bookman Library",26001,25263,115,853,24715
"Horton Public Library",14238,14207,70,101,13738
"Lansing Community Library",22584,22429,214,369,22082
"Leavenworth Public Library",88207,87955,704,956,81404
"Linwood Community Library",11855,11818,47,84,11696
"Louisburg Library",0,0,0,0,0
"Lyndon Carnegie Library",13352,13441,95,6,13221
"McLouth Public Library",3755,3788,36,3,3778
"Meriden-Ozawkie Public Library",16220,16012,158,366,15874
"Northeast Kansas Library System",738,744,6,0,678
"Nortonville Public Library",18326,18235,104,195,17731
"Osage City Library",23021,23061,243,203,22954
"Osawatomie Public Library",17284,17193,89,180,17055
"Oskaloosa Public Library",10551,10581,51,21,10371
"Ottawa Library",70831,70268,454,1017,67953
"Overbrook Public Library",21681,21561,88,208,21219
"Paola Free Library",31216,30930,204,490,29815
"Perry-Lecompton Community Library",11607,11920,318,5,11900
"Pomona Community Library",7658,7840,187,5,7674
"Prairie Hills Schools - Axtell Public School",11947,11946,0,1,10471
"Prairie Hills Schools - Sabetha Elementary School",16012,16090,79,1,12946
"Prairie Hills Schools - Sabetha High School",3760,3773,17,4,3596
"Prairie Hills Schools - Sabetha Middle School",4921,4921,0,0,4295
"Prairie Hills Schools - Wetmore Academic Center",13458,13464,6,0,9556
"Richmond Public Library",8076,8046,31,61,8005
"Rossville Community Library",15628,15635,85,78,15561
"Sabetha, Mary Cotton Library",30284,30310,120,94,29642
"Seneca Free Library",22600,22650,62,12,22564
"Silver Lake Library",11205,11226,128,107,10597
"Tonganoxie Public Library",27627,26736,372,1263,26455
"Valley Falls, Delaware Township Library",10594,10549,31,76,10478
"Wellsville City Library",22962,23080,168,50,22443
"Wetmore Public Library",10924,10827,95,192,10736
"Williamsburg Community Library",14305,14205,56,156,14086
"Winchester Public Library",13703,10602,34,3135,10396
