branchname,M_01,M_02,M_03,M_04,M_05,M_06,M_07,M_08,M_09,M_10,M_11,M_12,LAST_12
"- Date range -","2022-10 (October)","2022-09 (September)","2022-08 (August)","2022-07 (July)","2022-06 (June)","2022-05 (May)","2022-04 (April)","2022-03 (March)","2022-02 (February)","2022-01 (January)","2021-12 (December)","2021-11 (November)","Previous 12 calendar months"
"Atchison Public Library",596,591,648,669,749,605,568,579,509,537,535,552,1850
"Baldwin City Public Library",312,331,351,372,409,327,305,313,265,258,254,276,1010
"Basehor Community Library",925,897,1034,1072,1119,899,831,885,806,827,750,828,2734
"Bern Community Library",19,24,33,29,32,17,22,19,12,15,21,21,63
"Bonner Springs City Library",660,641,721,800,806,605,561,617,561,583,564,563,2187
"Burlingame Community Library",108,108,105,85,79,64,69,73,66,72,78,70,263
"Carbondale City Library",109,112,123,120,126,108,103,124,93,104,99,99,377
"Centralia Community Library",39,44,45,48,67,40,40,44,35,33,35,31,106
"Corning City Library",3,6,7,13,42,4,9,3,1,6,4,6,51
"Digital Content",,,,,,,,,,,,1,1
"Doniphan County Library - Elwood",19,21,31,26,26,27,17,26,16,20,23,25,105
"Doniphan County Library - Highland",54,48,69,62,68,61,50,45,46,41,44,55,180
"Doniphan County Library - Troy",162,145,154,160,146,116,115,117,96,96,93,108,435
"Doniphan County Library - Wathena",62,57,63,66,84,65,65,64,53,63,43,62,211
"Effingham Community Library",40,44,41,46,46,28,28,27,23,29,30,27,95
"Eudora Community Library",215,237,239,257,247,237,183,189,177,186,180,175,644
"Everest, Barnes Reading Room",27,29,19,19,22,22,22,22,23,22,22,21,72
"Hiawatha, Morrill Public Library",310,308,354,359,363,332,297,333,279,274,281,288,950
"Highland Community College",39,50,27,4,7,14,13,20,13,9,13,27,161
"Holton, Beck-Bookman Library",366,362,408,364,419,365,354,371,338,353,330,336,1185
"Horton Public Library",32,28,54,43,39,26,22,23,28,24,27,37,177
"Lansing Community Library",311,370,419,430,443,337,309,321,205,322,281,307,1177
"Leavenworth Public Library",1043,978,1181,1148,1084,940,940,1015,888,842,904,930,3443
"Linwood Community Library",73,77,78,93,103,97,84,81,66,62,85,95,301
"Louisburg Library",,,,,,,,,,,,,
"Lyndon Carnegie Library",111,97,120,114,127,112,104,102,90,94,106,103,322
"McLouth Public Library",41,51,38,42,59,43,41,43,40,36,46,46,171
"Meriden-Ozawkie Public Library",182,192,213,222,285,231,192,196,184,192,190,189,559
"Northeast Kansas Library System",9,8,21,35,14,10,11,9,14,10,11,17,86
"Nortonville Public Library",33,38,55,54,69,49,34,42,38,31,38,49,155
"Osage City Library",289,297,297,319,344,312,287,298,272,268,272,271,873
"Osawatomie Public Library",210,224,267,258,268,222,239,228,262,291,244,252,793
"Oskaloosa Public Library",164,152,157,165,174,146,147,142,130,143,145,144,439
"Ottawa Library",779,783,900,943,984,788,665,751,647,640,615,681,2487
"Overbrook Public Library",146,153,165,180,181,155,136,150,144,139,139,129,426
"Paola Free Library",480,522,556,609,590,483,403,415,373,383,360,413,1615
"Perry-Lecompton Community Library",20,21,24,48,63,28,19,18,18,19,13,18,101
"Pomona Community Library",20,26,24,30,32,22,26,37,27,28,24,25,134
"Prairie Hills Schools - Axtell Public School",122,114,140,,1,51,99,96,88,132,87,104,205
"Prairie Hills Schools - Sabetha Elementary School",363,381,367,,,6,328,333,356,362,342,366,503
"Prairie Hills Schools - Sabetha High School",20,41,43,,,4,14,25,71,48,10,14,184
"Prairie Hills Schools - Sabetha Middle School",99,115,148,,,19,84,68,59,98,53,117,230
"Prairie Hills Schools - Wetmore Academic Center",84,72,67,,,8,86,86,93,89,70,73,149
"Richmond Public Library",40,38,40,41,51,40,48,43,40,37,39,33,98
"Rossville Community Library",220,206,235,229,238,234,212,207,187,193,184,196,570
"Sabetha, Mary Cotton Library",280,298,329,309,340,309,274,295,279,271,255,270,782
"Seneca Free Library",233,243,313,343,368,331,253,274,250,234,216,226,811
"Silver Lake Library",198,212,224,209,212,201,180,181,167,174,171,171,443
"Tonganoxie Public Library",500,499,595,628,645,556,472,486,406,409,407,419,1721
"Valley Falls, Delaware Township Library",73,77,82,74,79,72,70,69,56,63,67,56,233
"Wellsville City Library",208,183,200,198,217,224,150,168,150,137,143,166,518
"Wetmore Public Library",33,35,33,30,42,50,25,31,23,22,28,25,102
"Williamsburg Community Library",35,37,42,43,49,33,38,38,26,30,29,31,143
"Winchester Public Library",50,52,55,62,73,71,63,67,63,65,56,46,222
