branchname,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,MONTHLY_TOTAL
" DATE",2022-10-01,2022-10-02,2022-10-03,2022-10-04,2022-10-05,2022-10-06,2022-10-07,2022-10-08,2022-10-09,2022-10-10,2022-10-11,2022-10-12,2022-10-13,2022-10-14,2022-10-15,2022-10-16,2022-10-17,2022-10-18,2022-10-19,2022-10-20,2022-10-21,2022-10-22,2022-10-23,2022-10-24,2022-10-25,2022-10-26,2022-10-27,2022-10-28,2022-10-29,2022-10-30,2022-10-31,"2022-10-01 - 2022-10-30"
" DAY",Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,-
"Atchison Public Library",29,2,69,77,64,67,51,25,1,64,66,50,84,68,35,3,57,62,70,81,54,34,4,58,71,58,61,49,34,6,71,596
"Baldwin City Public Library",20,2,40,30,33,30,26,13,2,41,37,39,31,7,3,1,44,37,35,38,26,20,1,32,35,26,31,39,19,3,32,312
"Basehor Community Library",48,42,79,87,74,88,68,43,46,15,119,80,83,68,43,29,87,95,94,78,70,46,47,74,99,83,72,70,58,48,68,925
"Bern Community Library",3,,1,,4,3,1,,,,,5,1,3,,,,2,6,2,3,2,1,2,,3,1,,3,,2,19
"Bonner Springs City Library",36,21,68,84,60,43,58,28,17,59,47,63,54,51,33,20,63,73,68,36,41,30,29,37,67,59,59,48,29,18,60,660
"Burlingame Community Library",9,,16,9,15,15,9,5,,4,7,8,27,11,7,,11,6,11,14,13,7,,11,3,21,6,12,7,,7,108
"Carbondale City Library",3,,8,8,12,12,17,5,2,4,10,12,15,12,5,,8,5,8,13,12,4,,3,15,11,8,16,6,1,6,109
"Centralia Community Library",,,8,,5,2,5,2,,6,,8,2,5,3,,5,,7,4,3,5,,5,1,6,2,4,,,13,39
"Corning City Library",,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,3
"Digital Content",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doniphan County Library - Elwood",,,,,4,1,,2,,,2,4,3,3,1,,1,3,,7,1,,,1,3,1,3,3,,,,19
"Doniphan County Library - Highland",5,,5,7,8,4,6,2,,10,7,8,6,8,2,,5,5,12,8,6,4,,6,2,7,9,5,2,,6,54
"Doniphan County Library - Troy",27,,12,24,9,17,19,1,,7,11,7,36,10,3,,17,20,17,10,5,6,,8,8,6,9,37,2,,8,162
"Doniphan County Library - Wathena",2,,3,7,1,5,3,2,,3,4,7,6,4,,,5,5,3,5,7,3,,9,4,23,5,2,1,,7,62
"Effingham Community Library",4,,12,,5,2,,4,,,6,3,2,1,5,,4,3,7,1,3,3,,6,6,5,3,,1,,3,40
"Eudora Community Library",1,4,28,26,20,19,30,18,3,1,33,28,29,19,17,2,25,21,20,17,17,15,,28,22,15,15,19,16,,24,215
"Everest, Barnes Reading Room",,,1,5,1,4,1,,,,9,,2,5,2,,,5,3,1,4,3,,,4,3,4,2,2,,,27
