branchname,CHECKOUT_RENEW_LM,CHECKOUT_LM,RENEW_LM,RETURN_LM,CR_ADULT_LM,CR_YOUTH_LM
"Atchison Public Library",5802,4426,1376,12517,2833,2969
"Baldwin City Public Library",2870,2235,635,3502,1206,1664
"Basehor Community Library",9847,7346,2501,16723,3944,5900
"Bern Community Library",199,112,87,341,145,54
"Bonner Springs City Library",6079,4619,1460,12475,2553,3526
"Burlingame Community Library",908,727,181,1300,612,295
"Carbondale City Library",727,583,144,1027,444,283
"Centralia Community Library",250,203,47,386,192,58
"Corning City Library",6,6,0,121,4,2
"Digital Content",0,0,0,0,0,0
"Doniphan County Library - Elwood",127,100,27,219,80,43
"Doniphan County Library - Highland",510,496,14,844,359,151
"Doniphan County Library - Troy",889,566,323,2354,500,389
"Doniphan County Library - Wathena",422,306,116,770,217,204
"Effingham Community Library",284,196,88,416,133,151
"Eudora Community Library",2134,1542,592,2901,840,1293
"Everest, Barnes Reading Room",457,212,245,495,132,325
"Hiawatha, Morrill Public Library",2716,2191,525,3885,1247,1468
"Highland Community College",112,85,27,189,96,16
"Holton, Beck-Bookman Library",2389,2027,362,3237,1328,1061
"Horton Public Library",174,144,30,295,97,77
"Lansing Community Library",2297,1712,585,3524,935,1361
"Leavenworth Public Library",10105,7915,2190,19741,4961,5140
"Linwood Community Library",662,572,90,1463,260,402
"Louisburg Library",0,0,0,0,0,0
"Lyndon Carnegie Library",835,544,291,1081,517,318
"McLouth Public Library",214,174,40,3921,60,154
"Meriden-Ozawkie Public Library",2060,1602,458,3979,882,1178
"Northeast Kansas Library System",84,75,9,252,43,41
"Nortonville Public Library",239,206,33,622,73,166
"Osage City Library",2040,1851,189,3241,1440,600
"Osawatomie Public Library",1144,909,235,2140,718,426
"Oskaloosa Public Library",822,706,116,1287,605,217
"Ottawa Library",6786,5728,1058,9130,3134,3652
"Overbrook Public Library",1134,928,206,2275,704,430
"Paola Free Library",2514,1971,543,3488,1323,1191
"Perry-Lecompton Community Library",102,94,8,315,65,37
"Pomona Community Library",150,135,15,446,43,107
"Prairie Hills Schools - Axtell Public School",530,486,44,687,13,517
"Prairie Hills Schools - Sabetha Elementary School",2145,1847,298,2063,11,2134
"Prairie Hills Schools - Sabetha High School",23,21,2,51,21,2
"Prairie Hills Schools - Sabetha Middle School",159,134,25,182,2,157
"Prairie Hills Schools - Wetmore Academic Center",373,294,79,349,59,314
"Richmond Public Library",388,354,34,730,273,115
"Rossville Community Library",1774,1408,366,2776,881,892
"Sabetha, Mary Cotton Library",3573,2509,1064,5281,1133,2440
"Seneca Free Library",1538,1236,302,2516,706,832
"Silver Lake Library",1389,951,438,2483,464,924
"Tonganoxie Public Library",3820,3146,674,5099,1678,2142
"Valley Falls, Delaware Township Library",494,417,77,789,270,224
"Wellsville City Library",2040,1415,625,2756,777,1263
"Wetmore Public Library",303,263,40,646,244,59
"Williamsburg Community Library",367,339,28,759,69,298
"Winchester Public Library",370,315,55,9708,172,198
