branchname,NX_ILL_LOANED_LM,NX_ILL_BORROWED_LM
"Atchison Public Library",942,916
"Baldwin City Public Library",406,341
"Basehor Community Library",751,983
"Bern Community Library",84,18
"Bonner Springs City Library",1156,908
"Burlingame Community Library",178,130
"Carbondale City Library",147,90
"Centralia Community Library",67,24
"Corning City Library",45,0
"Digital Content",0,0
"Doniphan County Library - Elwood",32,16
"Doniphan County Library - Highland",128,162
"Doniphan County Library - Troy",240,91
"Doniphan County Library - Wathena",189,79
"Effingham Community Library",89,29
"Eudora Community Library",312,409
"Everest, Barnes Reading Room",91,79
"Hiawatha, Morrill Public Library",357,481
"Highland Community College",42,12
"Holton, Beck-Bookman Library",269,376
"Horton Public Library",66,32
"Lansing Community Library",332,412
"Leavenworth Public Library",946,1130
"Linwood Community Library",324,111
"Louisburg Library",0,0
"Lyndon Carnegie Library",153,141
"McLouth Public Library",54,58
"Meriden-Ozawkie Public Library",457,431
"Northeast Kansas Library System",14,65
"Nortonville Public Library",220,61
"Osage City Library",431,321
"Osawatomie Public Library",347,251
"Oskaloosa Public Library",103,215
"Ottawa Library",876,698
"Overbrook Public Library",408,203
"Paola Free Library",313,401
"Perry-Lecompton Community Library",105,16
"Pomona Community Library",10,107
"Prairie Hills Schools - Axtell Public School",72,30
"Prairie Hills Schools - Sabetha Elementary School",27,52
"Prairie Hills Schools - Sabetha High School",11,4
"Prairie Hills Schools - Sabetha Middle School",2,5
"Prairie Hills Schools - Wetmore Academic Center",24,0
"Richmond Public Library",117,76
"Rossville Community Library",463,288
"Sabetha, Mary Cotton Library",462,556
"Seneca Free Library",502,174
"Silver Lake Library",124,267
"Tonganoxie Public Library",414,527
"Valley Falls, Delaware Township Library",77,152
"Wellsville City Library",382,349
"Wetmore Public Library",100,146
"Williamsburg Community Library",201,24
"Winchester Public Library",164,98
